Date_UTC,SME
2019-11-27 16:50:00,50
2019-11-27 16:51:00,50
2019-11-27 16:52:00,51
2019-11-27 16:53:00,53
2019-11-27 16:54:00,51
2019-11-27 16:55:00,50
2019-11-27 16:56:00,50
2019-11-27 16:57:00,48
2019-11-27 16:58:00,56
2019-11-27 16:59:00,65
2019-11-27 17:00:00,70
2019-11-27 17:01:00,77
2019-11-27 17:02:00,71
2019-11-27 17:03:00,57
2019-11-27 17:04:00,54
2019-11-27 17:05:00,53
2019-11-27 17:06:00,55
2019-11-27 17:07:00,58
2019-11-27 17:08:00,58
2019-11-27 17:09:00,55
2019-11-27 17:10:00,52
2019-11-27 17:11:00,51
2019-11-27 17:12:00,48
2019-11-27 17:13:00,48
2019-11-27 17:14:00,52
2019-11-27 17:15:00,56
2019-11-27 17:16:00,60
2019-11-27 17:17:00,62
2019-11-27 17:18:00,61
2019-11-27 17:19:00,58
2019-11-27 17:20:00,56
2019-11-27 17:21:00,55
2019-11-27 17:22:00,53
2019-11-27 17:23:00,58
2019-11-27 17:24:00,62
2019-11-27 17:25:00,64
2019-11-27 17:26:00,65
2019-11-27 17:27:00,66
2019-11-27 17:28:00,66
2019-11-27 17:29:00,68
2019-11-27 17:30:00,68
2019-11-27 17:31:00,72
2019-11-27 17:32:00,75
2019-11-27 17:33:00,77
2019-11-27 17:34:00,78
2019-11-27 17:35:00,74
2019-11-27 17:36:00,67
2019-11-27 17:37:00,75
2019-11-27 17:38:00,67
2019-11-27 17:39:00,60
2019-11-27 17:40:00,75
2019-11-27 17:41:00,65
2019-11-27 17:42:00,55
2019-11-27 17:43:00,56
2019-11-27 17:44:00,50
2019-11-27 17:45:00,50
2019-11-27 17:46:00,50
2019-11-27 17:47:00,52
2019-11-27 17:48:00,50
2019-11-27 17:49:00,45
2019-11-27 17:50:00,38
2019-11-27 17:51:00,43
2019-11-27 17:52:00,46
2019-11-27 17:53:00,51
2019-11-27 17:54:00,49
2019-11-27 17:55:00,51
2019-11-27 17:56:00,52
2019-11-27 17:57:00,54
2019-11-27 17:58:00,58
2019-11-27 17:59:00,69
2019-11-27 18:00:00,70
2019-11-27 18:01:00,78
2019-11-27 18:02:00,86
2019-11-27 18:03:00,87
2019-11-27 18:04:00,79
2019-11-27 18:05:00,87
2019-11-27 18:06:00,112
2019-11-27 18:07:00,107
2019-11-27 18:08:00,116
2019-11-27 18:09:00,121
2019-11-27 18:10:00,114
2019-11-27 18:11:00,101
2019-11-27 18:12:00,100
2019-11-27 18:13:00,101
2019-11-27 18:14:00,85
2019-11-27 18:15:00,90
2019-11-27 18:16:00,89
2019-11-27 18:17:00,85
2019-11-27 18:18:00,98
2019-11-27 18:19:00,87
2019-11-27 18:20:00,74
2019-11-27 18:21:00,92
2019-11-27 18:22:00,68
2019-11-27 18:23:00,63
2019-11-27 18:24:00,69
2019-11-27 18:25:00,72
2019-11-27 18:26:00,70
2019-11-27 18:27:00,65
2019-11-27 18:28:00,72
2019-11-27 18:29:00,76
2019-11-27 18:30:00,70
2019-11-27 18:31:00,77
2019-11-27 18:32:00,82
2019-11-27 18:33:00,81
2019-11-27 18:34:00,80
2019-11-27 18:35:00,95
2019-11-27 18:36:00,90
2019-11-27 18:37:00,84
2019-11-27 18:38:00,93
2019-11-27 18:39:00,115
2019-11-27 18:40:00,131
2019-11-27 18:41:00,123
2019-11-27 18:42:00,97
2019-11-27 18:43:00,87
2019-11-27 18:44:00,85
2019-11-27 18:45:00,89
2019-11-27 18:46:00,86
2019-11-27 18:47:00,87
2019-11-27 18:48:00,89
2019-11-27 18:49:00,87
2019-11-27 18:50:00,90
2019-11-27 18:51:00,93
2019-11-27 18:52:00,96
2019-11-27 18:53:00,101
2019-11-27 18:54:00,102
2019-11-27 18:55:00,101
2019-11-27 18:56:00,106
2019-11-27 18:57:00,104
2019-11-27 18:58:00,107
2019-11-27 18:59:00,123
2019-11-27 19:00:00,121
2019-11-27 19:01:00,134
2019-11-27 19:02:00,125
2019-11-27 19:03:00,131
2019-11-27 19:04:00,148
2019-11-27 19:05:00,178
2019-11-27 19:06:00,230
2019-11-27 19:07:00,234
2019-11-27 19:08:00,225
2019-11-27 19:09:00,218
2019-11-27 19:10:00,209
2019-11-27 19:11:00,194
2019-11-27 19:12:00,143
2019-11-27 19:13:00,171
2019-11-27 19:14:00,170
2019-11-27 19:15:00,161
2019-11-27 19:16:00,154
2019-11-27 19:17:00,164
2019-11-27 19:18:00,196
2019-11-27 19:19:00,203
2019-11-27 19:20:00,201
2019-11-27 19:21:00,248
2019-11-27 19:22:00,248
2019-11-27 19:23:00,233
2019-11-27 19:24:00,263
2019-11-27 19:25:00,273
2019-11-27 19:26:00,301
2019-11-27 19:27:00,321
2019-11-27 19:28:00,330
2019-11-27 19:29:00,324
2019-11-27 19:30:00,334
2019-11-27 19:31:00,320
2019-11-27 19:32:00,314
2019-11-27 19:33:00,309
2019-11-27 19:34:00,320
2019-11-27 19:35:00,328
2019-11-27 19:36:00,318
2019-11-27 19:37:00,306
2019-11-27 19:38:00,375
2019-11-27 19:39:00,409
2019-11-27 19:40:00,434
2019-11-27 19:41:00,427
2019-11-27 19:42:00,382
2019-11-27 19:43:00,328
2019-11-27 19:44:00,316
2019-11-27 19:45:00,336
2019-11-27 19:46:00,327
2019-11-27 19:47:00,347
2019-11-27 19:48:00,403
2019-11-27 19:49:00,448
