UT__yyyy-mm-ddThh:mm:ss.sssZ,BX_FGS-D_(@_1_)_nT_GSE,BY_FGS-D_(@_2_)_nT_GSE,BZ_FGS-D_(@_3_)_nT_GSE
2014-02-27T16:30:03.769Z,1.13157,-3.74642,-4.75402
2014-02-27T16:30:08.047Z,1.24727,-3.79836,-4.69694
2014-02-27T16:30:12.325Z,1.20750,-3.69815,-4.78809
2014-02-27T16:30:16.603Z,1.18766,-3.70780,-4.80114
2014-02-27T16:30:20.881Z,1.20216,-3.58699,-4.81380
2014-02-27T16:30:25.159Z,1.32083,-3.66344,-4.76762
2014-02-27T16:30:29.437Z,1.26905,-3.64298,-4.72954
2014-02-27T16:30:33.715Z,1.20161,-3.56630,-4.76431
2014-02-27T16:30:37.993Z,1.28111,-3.66901,-4.69053
2014-02-27T16:30:42.271Z,1.35953,-3.71419,-4.63722
2014-02-27T16:30:46.549Z,1.36920,-3.80019,-4.57442
2014-02-27T16:30:50.827Z,1.39133,-3.75366,-4.61966
2014-02-27T16:30:55.105Z,1.44887,-3.77679,-4.61348
2014-02-27T16:30:59.383Z,1.40593,-3.92885,-4.49063
2014-02-27T16:31:03.661Z,1.27356,-3.85681,-4.56239
2014-02-27T16:31:07.939Z,1.32509,-3.73322,-4.64292
2014-02-27T16:31:12.217Z,1.33390,-3.83791,-4.65039
2014-02-27T16:31:16.495Z,1.27135,-3.96717,-4.57479
2014-02-27T16:31:20.773Z,1.30319,-3.88989,-4.60136
2014-02-27T16:31:25.051Z,1.32508,-3.87581,-4.61239
2014-02-27T16:31:29.329Z,1.59679,-3.75567,-4.55016
2014-02-27T16:31:33.607Z,1.59916,-3.51558,-4.67748
2014-02-27T16:31:37.885Z,1.58797,-3.52377,-4.66448
2014-02-27T16:31:42.163Z,1.59824,-3.64092,-4.57353
2014-02-27T16:31:46.441Z,1.61221,-3.53618,-4.67440
2014-02-27T16:31:50.719Z,1.48732,-3.63544,-4.67619
2014-02-27T16:31:54.997Z,1.46044,-3.82976,-4.58206
2014-02-27T16:31:59.275Z,1.40283,-4.03609,-4.52982
2014-02-27T16:32:03.553Z,1.30773,-3.98293,-4.50822
2014-02-27T16:32:07.831Z,1.23095,-3.91134,-4.54509
2014-02-27T16:32:12.109Z,1.16957,-3.89046,-4.55090
2014-02-27T16:32:16.386Z,1.12278,-3.81821,-4.66992
2014-02-27T16:32:20.664Z,1.12037,-4.21746,-4.38963
2014-02-27T16:32:24.942Z,1.01716,-4.29347,-4.26638
2014-02-27T16:32:29.220Z,0.972285,-4.22210,-4.37064
2014-02-27T16:32:33.498Z,0.988443,-4.23926,-4.37980
2014-02-27T16:32:37.776Z,0.960159,-4.29506,-4.29218
2014-02-27T16:32:42.054Z,1.12144,-4.27499,-4.36915
2014-02-27T16:32:46.332Z,0.804085,-4.48977,-3.92536
2014-02-27T16:32:50.610Z,0.892151,-4.59512,-3.79565
