EPOCH__yyyy-mm-ddThh:mm:ss.sssZ,X_(@_x_)_RE,Y_(@_y_)_RE,Z_(@_z_)_RE
2014-02-27T16:30:00.000Z,53.996929,-23.000008,5.0537062
2014-02-27T16:31:00.000Z,53.997581,-22.992088,5.0536604
2014-02-27T16:32:00.000Z,53.998287,-22.984299,5.0536947
2014-02-27T16:33:00.000Z,53.997204,-22.980169,5.0536661
2014-02-27T16:34:00.000Z,53.997860,-22.972244,5.0536346
2014-02-27T16:35:00.000Z,53.998508,-22.964319,5.0536041
2014-02-27T16:36:00.000Z,53.999168,-22.956396,5.0535746
2014-02-27T16:37:00.000Z,53.999619,-22.948391,5.0534821
2014-02-27T16:38:00.000Z,54.000267,-22.940462,5.0534668
2014-02-27T16:39:00.000Z,53.999210,-22.936275,5.0534515
2014-02-27T16:40:00.000Z,53.999813,-22.928213,5.0533743
2014-02-27T16:41:00.000Z,54.000320,-22.920338,5.0533600
2014-02-27T16:42:00.000Z,54.000824,-22.912464,5.0533419
2014-02-27T16:43:00.000Z,54.001423,-22.904392,5.0532799
2014-02-27T16:44:00.000Z,54.001877,-22.896389,5.0532026
2014-02-27T16:45:00.000Z,54.000824,-22.892164,5.0531998
2014-02-27T16:46:00.000Z,54.001278,-22.884150,5.0531368
2014-02-27T16:47:00.000Z,54.001728,-22.876137,5.0530748
2014-02-27T16:48:00.000Z,54.002232,-22.868252,5.0530882
2014-02-27T16:49:00.000Z,54.002682,-22.860233,5.0530233
2014-02-27T16:50:00.000Z,54.001556,-22.855927,5.0529757
2014-02-27T16:51:00.000Z,54.001862,-22.847961,5.0529261
2014-02-27T16:52:00.000Z,54.002312,-22.839941,5.0528755
2014-02-27T16:53:00.000Z,54.002712,-22.831787,5.0527649
2014-02-27T16:54:00.000Z,54.003017,-22.823826,5.0527172
2014-02-27T16:55:00.000Z,54.003464,-22.815800,5.0526819
2014-02-27T16:56:00.000Z,54.002209,-22.811516,5.0526457
2014-02-27T16:57:00.000Z,54.002605,-22.803352,5.0525484
2014-02-27T16:58:00.000Z,54.002911,-22.795387,5.0525141
2014-02-27T16:59:00.000Z,54.003159,-22.787285,5.0524187
2014-02-27T17:00:00.000Z,54.003605,-22.779249,5.0523968
2014-02-27T17:01:00.000Z,54.002277,-22.774887,5.0523005
2014-02-27T17:02:00.000Z,54.002529,-22.766777,5.0522194
2014-02-27T17:03:00.000Z,54.002777,-22.758665,5.0521355
2014-02-27T17:04:00.000Z,54.003078,-22.750685,5.0521297
2014-02-27T17:05:00.000Z,54.003326,-22.742573,5.0520468
2014-02-27T17:06:00.000Z,54.003578,-22.734461,5.0519781
2014-02-27T17:07:00.000Z,54.002129,-22.730099,5.0518961
2014-02-27T17:08:00.000Z,54.002373,-22.721979,5.0518265
2014-02-27T17:09:00.000Z,54.002571,-22.713732,5.0516968
2014-02-27T17:10:00.000Z,54.002670,-22.705667,5.0516443
2014-02-27T17:11:00.000Z,54.002914,-22.697552,5.0515738
2014-02-27T17:12:00.000Z,54.002964,-22.689354,5.0514593
2014-02-27T17:13:00.000Z,54.001637,-22.684961,5.0514050
2014-02-27T17:14:00.000Z,54.001740,-22.676897,5.0513506
2014-02-27T17:15:00.000Z,54.001930,-22.668644,5.0512333
2014-02-27T17:16:00.000Z,54.001976,-22.660437,5.0511312
2014-02-27T17:17:00.000Z,54.002071,-22.652372,5.0510778
2014-02-27T17:18:00.000Z,54.000572,-22.647854,5.0509768
2014-02-27T17:19:00.000Z,54.000626,-22.639645,5.0508747
2014-02-27T17:20:00.000Z,54.000671,-22.631432,5.0507860
2014-02-27T17:21:00.000Z,54.000713,-22.623228,5.0506849
2014-02-27T17:22:00.000Z,54.000759,-22.615021,5.0505981
2014-02-27T17:23:00.000Z,54.000805,-22.606812,5.0504961
2014-02-27T17:24:00.000Z,53.999153,-22.602339,5.0504084
2014-02-27T17:25:00.000Z,53.999149,-22.593990,5.0502729
2014-02-27T17:26:00.000Z,53.999195,-22.585777,5.0501842
2014-02-27T17:27:00.000Z,53.999092,-22.577618,5.0501127
2014-02-27T17:28:00.000Z,53.999081,-22.569271,5.0499620
2014-02-27T17:29:00.000Z,53.998978,-22.561111,5.0498896
2014-02-27T17:30:00.000Z,53.997280,-22.556503,5.0497532
2014-02-27T17:31:00.000Z,53.997269,-22.548143,5.0496311
2014-02-27T17:32:00.000Z,53.997162,-22.539988,5.0495586
2014-02-27T17:33:00.000Z,53.997005,-22.531681,5.0494385
2014-02-27T17:34:00.000Z,53.996849,-22.523384,5.0493183
2014-02-27T17:35:00.000Z,53.995155,-22.518768,5.0491962
2014-02-27T17:36:00.000Z,53.994999,-22.510456,5.0490894
2014-02-27T17:37:00.000Z,53.994843,-22.502157,5.0489693
2014-02-27T17:38:00.000Z,53.994686,-22.493855,5.0488634
2014-02-27T17:39:00.000Z,53.994476,-22.485411,5.0486937
2014-02-27T17:40:00.000Z,53.994164,-22.477161,5.0485868
2014-02-27T17:41:00.000Z,53.992451,-22.472582,5.0484934
2014-02-27T17:42:00.000Z,53.992241,-22.464144,5.0483255
2014-02-27T17:43:00.000Z,53.991879,-22.455750,5.0481701
2014-02-27T17:44:00.000Z,53.991718,-22.447437,5.0480776
2014-02-27T17:45:00.000Z,53.991364,-22.439047,5.0479240
2014-02-27T17:46:00.000Z,53.989475,-22.434334,5.0477829
2014-02-27T17:47:00.000Z,53.989311,-22.426020,5.0476913
2014-02-27T17:48:00.000Z,53.988953,-22.417627,5.0475521
2014-02-27T17:49:00.000Z,53.988594,-22.409225,5.0474110
2014-02-27T17:50:00.000Z,53.988174,-22.400700,5.0472069
2014-02-27T17:51:00.000Z,53.987820,-22.392292,5.0470810
2014-02-27T17:52:00.000Z,53.985935,-22.387589,5.0469418
2014-02-27T17:53:00.000Z,53.985565,-22.379187,5.0468149
2014-02-27T17:54:00.000Z,53.985153,-22.370649,5.0466270
2014-02-27T17:55:00.000Z,53.984791,-22.362238,5.0465155
2014-02-27T17:56:00.000Z,53.984238,-22.353760,5.0463285
2014-02-27T17:57:00.000Z,53.983868,-22.345352,5.0462170
2014-02-27T17:58:00.000Z,53.981930,-22.340490,5.0460424
2014-02-27T17:59:00.000Z,53.981369,-22.332001,5.0458679
2014-02-27T18:00:00.000Z,53.980949,-22.323462,5.0456953
2014-02-27T18:01:00.000Z,53.980438,-22.315102,5.0455961
2014-02-27T18:02:00.000Z,53.979877,-22.306608,5.0454388
2014-02-27T18:03:00.000Z,53.977741,-22.301666,5.0452147
2014-02-27T18:04:00.000Z,53.977325,-22.293114,5.0450554
2014-02-27T18:05:00.000Z,53.976761,-22.284618,5.0449123
2014-02-27T18:06:00.000Z,53.976196,-22.276123,5.0447531
2014-02-27T18:07:00.000Z,53.975582,-22.267490,5.0445452
2014-02-27T18:08:00.000Z,53.975018,-22.258993,5.0444002
2014-02-27T18:09:00.000Z,53.972851,-22.254087,5.0442057
2014-02-27T18:10:00.000Z,53.972137,-22.245644,5.0440598
2014-02-27T18:11:00.000Z,53.971519,-22.237001,5.0438671
2014-02-27T18:12:00.000Z,53.970909,-22.228361,5.0436754
2014-02-27T18:13:00.000Z,53.970142,-22.219784,5.0434828
2014-02-27T18:14:00.000Z,53.969524,-22.211138,5.0433044
2014-02-27T18:15:00.000Z,53.967239,-22.206244,5.0431108
2014-02-27T18:16:00.000Z,53.966618,-22.197598,5.0429325
2014-02-27T18:17:00.000Z,53.965855,-22.188999,5.0427675
2014-02-27T18:18:00.000Z,53.965034,-22.180277,5.0425272
2014-02-27T18:19:00.000Z,53.964268,-22.171682,5.0423622
2014-02-27T18:20:00.000Z,53.962070,-22.166616,5.0421209
2014-02-27T18:21:00.000Z,53.961300,-22.158016,5.0419712
2014-02-27T18:22:00.000Z,53.960480,-22.149288,5.0417433
2014-02-27T18:23:00.000Z,53.959663,-22.140556,5.0415182
2014-02-27T18:24:00.000Z,53.958744,-22.132011,5.0413675
2014-02-27T18:25:00.000Z,53.957920,-22.123280,5.0411558
2014-02-27T18:26:00.000Z,53.955589,-22.118219,5.0409575
2014-02-27T18:27:00.000Z,53.954765,-22.109486,5.0407448
2014-02-27T18:28:00.000Z,53.953747,-22.100670,5.0404844
2014-02-27T18:29:00.000Z,53.952927,-22.091927,5.0402870
2014-02-27T18:30:00.000Z,53.951954,-22.083244,5.0400887
