UT__yyyy-mm-ddThh:mm:ss.sssZ,BX_FGS-D_(@_1_)_nT_GSE,BY_FGS-D_(@_2_)_nT_GSE,BZ_FGS-D_(@_3_)_nT_GSE
2014-02-27T17:00:00.258Z,7.01156,-11.8357,-2.16640
2014-02-27T17:00:03.372Z,6.51420,-12.0798,-1.99954
2014-02-27T17:00:06.485Z,6.87178,-11.7441,-1.91421
2014-02-27T17:00:09.598Z,6.83967,-11.6407,-2.08001
2014-02-27T17:00:12.711Z,6.80318,-11.5578,-1.80011
2014-02-27T17:00:15.824Z,6.80823,-11.3035,-1.99557
2014-02-27T17:00:18.937Z,6.35916,-11.3064,-1.46128
2014-02-27T17:00:22.051Z,6.82995,-11.0866,-2.03413
2014-02-27T17:00:25.164Z,6.47815,-10.7572,-2.12218
2014-02-27T17:00:28.277Z,6.28770,-10.5722,-1.91847
2014-02-27T17:00:31.390Z,6.69778,-10.5904,-2.20638
2014-02-27T17:00:34.503Z,6.30992,-10.7373,-2.00175
2014-02-27T17:00:37.617Z,6.69703,-10.9169,-1.93162
2014-02-27T17:00:40.730Z,6.66913,-11.1934,-2.16561
2014-02-27T17:00:43.843Z,6.80462,-11.0821,-2.29210
2014-02-27T17:00:46.956Z,6.76876,-11.0270,-2.17194
2014-02-27T17:00:50.069Z,6.94691,-10.8545,-1.83829
2014-02-27T17:00:53.183Z,7.02117,-10.7722,-2.07384
2014-02-27T17:00:56.296Z,7.47331,-10.8281,-2.44311
2014-02-27T17:00:59.409Z,7.36512,-10.5887,-2.18538
2014-02-27T17:01:02.522Z,7.07196,-10.6421,-2.34537
2014-02-27T17:01:05.635Z,6.96183,-10.7116,-2.22339
2014-02-27T17:01:08.749Z,7.24250,-11.0472,-2.02600
2014-02-27T17:01:11.862Z,7.62601,-11.0897,-2.71991
2014-02-27T17:01:14.975Z,7.65754,-11.1190,-2.65686
2014-02-27T17:01:18.088Z,7.21970,-10.8502,-2.27922
2014-02-27T17:01:21.201Z,7.02681,-10.5921,-2.16654
2014-02-27T17:01:24.315Z,6.80588,-10.9225,-1.93909
2014-02-27T17:01:27.428Z,7.24882,-10.7178,-2.33595
2014-02-27T17:01:30.541Z,6.31968,-11.0299,-1.63763
2014-02-27T17:01:33.654Z,6.69726,-10.3392,-2.36662
2014-02-27T17:01:36.767Z,6.75342,-10.7374,-2.50082
2014-02-27T17:01:39.881Z,6.54498,-10.8518,-2.74951
2014-02-27T17:01:42.994Z,6.71530,-10.0357,-2.41046
2014-02-27T17:01:46.107Z,7.07775,-10.0192,-2.58182
2014-02-27T17:01:49.220Z,7.84352,-9.96427,-3.18266
2014-02-27T17:01:52.333Z,7.14535,-9.39933,-2.37273
2014-02-27T17:01:55.447Z,7.02121,-8.84256,-2.28417
2014-02-27T17:01:58.560Z,6.79706,-9.55705,-2.07797
2014-02-27T17:02:01.673Z,6.72110,-9.19764,-1.97446
2014-02-27T17:02:04.786Z,6.34752,-9.04715,-1.29396
2014-02-27T17:02:07.899Z,6.89453,-7.74846,0.284554
2014-02-27T17:02:11.013Z,6.35071,-7.84889,1.67971
2014-02-27T17:02:14.126Z,5.88933,-8.43933,-0.406039
2014-02-27T17:02:17.239Z,5.52306,-8.68124,0.108796
2014-02-27T17:02:20.352Z,4.96997,-8.61374,2.00135
2014-02-27T17:02:23.465Z,4.60305,-8.95860,2.47093
2014-02-27T17:02:26.579Z,4.55936,-8.77456,0.784039
2014-02-27T17:02:29.692Z,5.62208,-8.57143,-0.205276
2014-02-27T17:02:32.805Z,6.35985,-9.05869,-0.953841
2014-02-27T17:02:35.918Z,6.94074,-9.11528,-2.52613
2014-02-27T17:02:39.031Z,7.11818,-9.22288,-2.18023
2014-02-27T17:02:42.144Z,7.31584,-8.65514,-3.98988
2014-02-27T17:02:45.258Z,7.82904,-9.12481,-4.10631
2014-02-27T17:02:48.371Z,8.00337,-9.39296,-4.10166
2014-02-27T17:02:51.484Z,7.41720,-9.99536,-1.46014
2014-02-27T17:02:54.597Z,6.97512,-9.65025,-1.65804
2014-02-27T17:02:57.710Z,6.67993,-10.1053,-1.42877
2014-02-27T17:03:00.824Z,6.06260,-10.2190,-0.979041
2014-02-27T17:03:03.937Z,5.45143,-10.2309,-0.0230147
2014-02-27T17:03:07.050Z,5.57517,-10.1400,-0.153109
2014-02-27T17:03:10.163Z,4.76912,-10.4220,0.603614
2014-02-27T17:03:13.276Z,4.64912,-10.4223,0.681491
2014-02-27T17:03:16.390Z,4.30039,-10.1938,0.524724
2014-02-27T17:03:19.503Z,7.21521,-9.42610,-2.13379
2014-02-27T17:03:22.616Z,8.25958,-10.6694,-3.69793
2014-02-27T17:03:25.729Z,8.16080,-11.6545,-2.52606
2014-02-27T17:03:28.842Z,8.03027,-11.6042,-2.07004
2014-02-27T17:03:31.956Z,7.99067,-11.6819,-2.13140
2014-02-27T17:03:35.069Z,8.53804,-11.7649,-2.50003
2014-02-27T17:03:38.182Z,8.26828,-11.9588,-2.09904
2014-02-27T17:03:41.295Z,8.80704,-11.8131,-2.15876
2014-02-27T17:03:44.408Z,8.47105,-12.0709,-1.49514
2014-02-27T17:03:47.522Z,7.53862,-11.2760,-1.38091
2014-02-27T17:03:50.635Z,7.32825,-11.0960,0.0183504
2014-02-27T17:03:53.748Z,6.87174,-9.64987,-0.693241
2014-02-27T17:03:56.861Z,6.40752,-10.4578,0.193705
2014-02-27T17:03:59.974Z,7.50516,-11.1252,-0.234736
2014-02-27T17:04:03.088Z,5.28653,-11.0143,1.32525
2014-02-27T17:04:06.201Z,6.15819,-10.6828,0.231893
2014-02-27T17:04:09.314Z,6.88113,-11.0473,-0.217821
2014-02-27T17:04:12.427Z,7.47817,-10.4175,-0.214775
2014-02-27T17:04:15.540Z,6.41250,-10.3806,0.0557582
2014-02-27T17:04:18.654Z,6.51937,-10.7415,0.175029
