EPOCH__yyyy-mm-ddThh:mm:ss.sssZ,X_(@_x_)_RE,Y_(@_y_)_RE,Z_(@_z_)_RE
2014-02-27T17:00:00.000Z,11.073859,0.95080185,0.82380879
2014-02-27T17:01:00.000Z,11.077955,0.95966905,0.82171726
2014-02-27T17:02:00.000Z,11.081957,0.96929258,0.81962878
2014-02-27T17:03:00.000Z,11.085908,0.97891307,0.81753552
2014-02-27T17:04:00.000Z,11.089815,0.98851705,0.81544352
2014-02-27T17:05:00.000Z,11.093669,0.99813282,0.81334198
2014-02-27T17:06:00.000Z,11.097491,1.0077373,0.81124061
2014-02-27T17:07:00.000Z,11.101335,1.0165803,0.80913568
2014-02-27T17:08:00.000Z,11.105076,1.0261853,0.80702603
2014-02-27T17:09:00.000Z,11.108752,1.0357813,0.80491161
2014-02-27T17:10:00.000Z,11.112398,1.0453671,0.80279857
2014-02-27T17:11:00.000Z,11.115995,1.0549495,0.80068076
2014-02-27T17:12:00.000Z,11.119557,1.0645359,0.79855943
2014-02-27T17:13:00.000Z,11.123145,1.0733497,0.79643214
2014-02-27T17:14:00.000Z,11.126609,1.0829294,0.79430139
2014-02-27T17:15:00.000Z,11.130029,1.0924932,0.79217207
2014-02-27T17:16:00.000Z,11.133415,1.1020606,0.79003781
2014-02-27T17:17:00.000Z,11.136752,1.1116240,0.78789902
2014-02-27T17:18:00.000Z,11.140120,1.1204112,0.78576159
2014-02-27T17:19:00.000Z,11.143377,1.1299622,0.78362048
2014-02-27T17:20:00.000Z,11.146586,1.1395099,0.78147358
2014-02-27T17:21:00.000Z,11.149747,1.1490549,0.77932310
2014-02-27T17:22:00.000Z,11.152857,1.1585970,0.77716792
2014-02-27T17:23:00.000Z,11.155937,1.1681285,0.77501267
2014-02-27T17:24:00.000Z,11.159048,1.1768961,0.77285403
2014-02-27T17:25:00.000Z,11.162046,1.1864274,0.77069074
2014-02-27T17:26:00.000Z,11.164998,1.1959424,0.76852870
2014-02-27T17:27:00.000Z,11.167903,1.2054555,0.76636326
2014-02-27T17:28:00.000Z,11.170758,1.2149651,0.76419187
2014-02-27T17:29:00.000Z,11.173578,1.2244778,0.76201546
2014-02-27T17:30:00.000Z,11.176436,1.2332109,0.75984204
2014-02-27T17:31:00.000Z,11.179163,1.2427037,0.75766242
2014-02-27T17:32:00.000Z,11.181856,1.2522006,0.75547922
2014-02-27T17:33:00.000Z,11.184499,1.2616938,0.75328994
2014-02-27T17:34:00.000Z,11.187098,1.2711712,0.75110340
2014-02-27T17:35:00.000Z,11.189751,1.2798890,0.74891222
2014-02-27T17:36:00.000Z,11.192270,1.2893517,0.74672103
2014-02-27T17:37:00.000Z,11.194736,1.2988266,0.74452031
2014-02-27T17:38:00.000Z,11.197175,1.3082906,0.74232090
2014-02-27T17:39:00.000Z,11.199567,1.3177381,0.74012297
2014-02-27T17:40:00.000Z,11.201904,1.3271962,0.73791397
2014-02-27T17:41:00.000Z,11.204304,1.3358678,0.73570645
2014-02-27T17:42:00.000Z,11.206564,1.3453124,0.73349416
2014-02-27T17:43:00.000Z,11.208781,1.3547411,0.73128331
2014-02-27T17:44:00.000Z,11.210962,1.3641729,0.72906739
2014-02-27T17:45:00.000Z,11.213095,1.3736012,0.72684693
2014-02-27T17:46:00.000Z,11.215277,1.3822480,0.72462797
2014-02-27T17:47:00.000Z,11.217325,1.3916761,0.72239798
2014-02-27T17:48:00.000Z,11.219330,1.4010887,0.72016919
2014-02-27T17:49:00.000Z,11.221290,1.4104842,0.71794188
2014-02-27T17:50:00.000Z,11.223203,1.4198778,0.71570992
2014-02-27T17:51:00.000Z,11.225078,1.4292732,0.71347320
2014-02-27T17:52:00.000Z,11.227017,1.4379048,0.71123165
2014-02-27T17:53:00.000Z,11.228802,1.4472818,0.70899147
2014-02-27T17:54:00.000Z,11.230550,1.4566610,0.70674658
2014-02-27T17:55:00.000Z,11.232268,1.4660302,0.70450294
2014-02-27T17:56:00.000Z,11.233926,1.4753910,0.70225453
2014-02-27T17:57:00.000Z,11.235546,1.4847541,0.70000148
2014-02-27T17:58:00.000Z,11.237239,1.4933401,0.69774973
2014-02-27T17:59:00.000Z,11.238775,1.5027030,0.69548708
2014-02-27T18:00:00.000Z,11.240275,1.5120369,0.69323206
2014-02-27T18:01:00.000Z,11.241720,1.5213814,0.69096601
2014-02-27T18:02:00.000Z,11.243133,1.5307140,0.68869978
2014-02-27T18:03:00.000Z,11.244610,1.5392648,0.68643677
2014-02-27T18:04:00.000Z,11.245925,1.5485919,0.68416256
2014-02-27T18:05:00.000Z,11.247213,1.5579091,0.68188822
2014-02-27T18:06:00.000Z,11.248456,1.5672100,0.67961699
2014-02-27T18:07:00.000Z,11.249664,1.5765135,0.67734081
2014-02-27T18:08:00.000Z,11.250822,1.5858142,0.67505836
2014-02-27T18:09:00.000Z,11.252048,1.5943204,0.67277741
2014-02-27T18:10:00.000Z,11.253115,1.6036026,0.67049301
2014-02-27T18:11:00.000Z,11.254146,1.6128867,0.66820258
2014-02-27T18:12:00.000Z,11.255149,1.6221604,0.66591346
2014-02-27T18:13:00.000Z,11.256086,1.6314254,0.66361952
2014-02-27T18:14:00.000Z,11.256989,1.6406937,0.66132092
2014-02-27T18:15:00.000Z,11.257960,1.6491760,0.65902352
2014-02-27T18:16:00.000Z,11.258792,1.6584177,0.65672767
2014-02-27T18:17:00.000Z,11.259569,1.6676689,0.65441948
2014-02-27T18:18:00.000Z,11.260316,1.6769102,0.65211397
2014-02-27T18:19:00.000Z,11.261004,1.6861293,0.64980859
2014-02-27T18:20:00.000Z,11.261773,1.6945770,0.64749980
2014-02-27T18:21:00.000Z,11.262393,1.7038009,0.64518487
2014-02-27T18:22:00.000Z,11.262968,1.7130094,0.64287126
2014-02-27T18:23:00.000Z,11.263494,1.7222151,0.64055288
2014-02-27T18:24:00.000Z,11.263977,1.7314038,0.63823599
2014-02-27T18:25:00.000Z,11.264423,1.7405959,0.63591421
2014-02-27T18:26:00.000Z,11.264941,1.7490172,0.63358760
2014-02-27T18:27:00.000Z,11.265310,1.7581947,0.63126117
2014-02-27T18:28:00.000Z,11.265629,1.7673703,0.62893128
2014-02-27T18:29:00.000Z,11.265905,1.7765296,0.62660134
2014-02-27T18:30:00.000Z,11.266148,1.7856915,0.62426674
