UT__yyyy-mm-ddThh:mm:ss.sssZ,BX_FGS-D_(@_1_)_nT_GSE,BY_FGS-D_(@_2_)_nT_GSE,BZ_FGS-D_(@_3_)_nT_GSE
2014-02-27T18:30:03.625Z,7.11494,-19.9134,2.22560
2014-02-27T18:30:07.903Z,6.82870,-19.8588,3.06095
2014-02-27T18:30:12.181Z,7.03964,-19.5130,3.03941
2014-02-27T18:30:16.459Z,7.19042,-19.5694,1.64050
2014-02-27T18:30:20.737Z,7.65560,-19.3590,2.88136
2014-02-27T18:30:25.015Z,7.38945,-19.7730,0.717136
2014-02-27T18:30:29.293Z,7.36810,-19.2712,-2.26343
2014-02-27T18:30:33.571Z,9.29225,-18.9533,-2.16613
2014-02-27T18:30:37.849Z,8.75068,-18.3379,-7.37841
2014-02-27T18:30:42.127Z,7.71853,-19.0504,-7.31750
2014-02-27T18:30:46.405Z,7.10669,-19.7167,-6.63101
2014-02-27T18:30:50.683Z,6.89883,-20.0300,-5.19890
2014-02-27T18:30:54.961Z,7.67003,-19.4765,-5.19337
2014-02-27T18:30:59.239Z,7.56243,-18.9762,-6.89230
2014-02-27T18:31:03.517Z,7.36568,-19.0511,-6.35643
2014-02-27T18:31:07.795Z,8.33437,-19.6487,-4.37190
2014-02-27T18:31:12.073Z,8.34315,-18.8295,-7.11436
2014-02-27T18:31:16.351Z,8.27864,-19.7214,-5.70883
2014-02-27T18:31:20.629Z,7.98922,-19.8225,-4.55433
2014-02-27T18:31:24.907Z,7.33794,-20.1605,-4.00542
2014-02-27T18:31:29.185Z,5.36765,-20.7984,-3.57116
2014-02-27T18:31:33.463Z,7.72433,-19.9520,-3.90453
2014-02-27T18:31:37.741Z,7.17504,-20.0939,-3.55269
2014-02-27T18:31:42.019Z,7.52013,-19.6164,-3.97809
2014-02-27T18:31:46.297Z,7.84758,-19.0382,-4.40413
2014-02-27T18:31:50.575Z,5.39477,-20.7078,-3.30728
2014-02-27T18:31:54.853Z,4.43093,-20.7137,-3.26665
2014-02-27T18:31:59.131Z,5.13704,-21.0317,-3.64565
2014-02-27T18:32:03.409Z,5.46707,-20.6119,-3.70829
2014-02-27T18:32:07.687Z,5.14279,-20.6814,-3.75465
2014-02-27T18:32:11.965Z,5.97040,-20.3068,-3.82449
2014-02-27T18:32:16.243Z,6.39815,-20.6123,-3.84140
2014-02-27T18:32:20.521Z,5.66037,-20.4429,-4.13566
2014-02-27T18:32:24.799Z,5.45654,-20.6455,-4.32316
2014-02-27T18:32:29.077Z,4.68014,-20.5614,-4.96982
2014-02-27T18:32:33.355Z,5.48556,-20.0516,-5.31461
2014-02-27T18:32:37.633Z,7.33784,-19.5192,-3.83412
2014-02-27T18:32:41.911Z,8.74406,-19.2383,-3.20809
2014-02-27T18:32:46.189Z,9.16003,-19.1962,-3.38907
2014-02-27T18:32:50.467Z,8.58614,-19.1910,-3.41050
2014-02-27T18:32:54.745Z,9.10126,-19.4941,-3.07432
2014-02-27T18:32:59.023Z,8.50873,-19.4755,-4.09208
2014-02-27T18:33:03.301Z,6.73085,-20.0427,-5.00026
2014-02-27T18:33:07.579Z,6.44272,-20.0642,-5.24712
