EPOCH__yyyy-mm-ddThh:mm:ss.sssZ,X_(@_x_)_RE,Y_(@_y_)_RE,Z_(@_z_)_RE
2014-02-27T18:30:00.000Z,53.951954,-22.083244,5.0400887
2014-02-27T18:31:00.000Z,53.949562,-22.078070,5.0398436
2014-02-27T18:32:00.000Z,53.948589,-22.069384,5.0396461
2014-02-27T18:33:00.000Z,53.947567,-22.060562,5.0393991
2014-02-27T18:34:00.000Z,53.946690,-22.051680,5.0391550
2014-02-27T18:35:00.000Z,53.945721,-22.042984,5.0389853
2014-02-27T18:36:00.000Z,53.944695,-22.034155,5.0387545
2014-02-27T18:37:00.000Z,53.942165,-22.029009,5.0385065
2014-02-27T18:38:00.000Z,53.941143,-22.020172,5.0382900
2014-02-27T18:39:00.000Z,53.940063,-22.011208,5.0379953
2014-02-27T18:40:00.000Z,53.938896,-22.002426,5.0377798
2014-02-27T18:41:00.000Z,53.937866,-21.993593,5.0375624
2014-02-27T18:42:00.000Z,53.936794,-21.984619,5.0372839
2014-02-27T18:43:00.000Z,53.934116,-21.979519,5.0370665
2014-02-27T18:44:00.000Z,53.933033,-21.970539,5.0367994
2014-02-27T18:45:00.000Z,53.931812,-21.961618,5.0365353
2014-02-27T18:46:00.000Z,53.930782,-21.952776,5.0363312
2014-02-27T18:47:00.000Z,53.929558,-21.943848,5.0360823
2014-02-27T18:48:00.000Z,53.926811,-21.938667,5.0358171
2014-02-27T18:49:00.000Z,53.925587,-21.929737,5.0355663
2014-02-27T18:50:00.000Z,53.924454,-21.920616,5.0352678
2014-02-27T18:51:00.000Z,53.923218,-21.911690,5.0350161
2014-02-27T18:52:00.000Z,53.921997,-21.902756,5.0347786
2014-02-27T18:53:00.000Z,53.920715,-21.893688,5.0344820
2014-02-27T18:54:00.000Z,53.917843,-21.888485,5.0342445
2014-02-27T18:55:00.000Z,53.916561,-21.879414,5.0339594
2014-02-27T18:56:00.000Z,53.915276,-21.870342,5.0336790
2014-02-27T18:57:00.000Z,53.913994,-21.861269,5.0333929
2014-02-27T18:58:00.000Z,53.912560,-21.852253,5.0331097
2014-02-27T18:59:00.000Z,53.911278,-21.843168,5.0328388
2014-02-27T19:00:00.000Z,53.908348,-21.837858,5.0325689
2014-02-27T19:01:00.000Z,53.907013,-21.828644,5.0322351
2014-02-27T19:02:00.000Z,53.905582,-21.819624,5.0319662
2014-02-27T19:03:00.000Z,53.904148,-21.810591,5.0317116
2014-02-27T19:04:00.000Z,53.902664,-21.801430,5.0313931
2014-02-27T19:05:00.000Z,53.899693,-21.795950,5.0310745
2014-02-27T19:06:00.000Z,53.898212,-21.786781,5.0307722
2014-02-27T19:07:00.000Z,53.896725,-21.777611,5.0304689
2014-02-27T19:08:00.000Z,53.895237,-21.768442,5.0301647
2014-02-27T19:09:00.000Z,53.893749,-21.759274,5.0298595
2014-02-27T19:10:00.000Z,53.892262,-21.750099,5.0295725
2014-02-27T19:11:00.000Z,53.889133,-21.744686,5.0292826
2014-02-27T19:12:00.000Z,53.887596,-21.735373,5.0289307
2014-02-27T19:13:00.000Z,53.886108,-21.726200,5.0286427
2014-02-27T19:14:00.000Z,53.884418,-21.716938,5.0283051
2014-02-27T19:15:00.000Z,53.882732,-21.707680,5.0279684
2014-02-27T19:16:00.000Z,53.879707,-21.702032,5.0276451
2014-02-27T19:17:00.000Z,53.878021,-21.692776,5.0273085
2014-02-27T19:18:00.000Z,53.876328,-21.683510,5.0269852
2014-02-27T19:19:00.000Z,53.874649,-21.674240,5.0266771
2014-02-27T19:20:00.000Z,53.872955,-21.664970,5.0263538
2014-02-27T19:21:00.000Z,53.871204,-21.655569,5.0259848
2014-02-27T19:22:00.000Z,53.868038,-21.649975,5.0256748
2014-02-27T19:23:00.000Z,53.866295,-21.640558,5.0253181
2014-02-27T19:24:00.000Z,53.864552,-21.631149,5.0249634
2014-02-27T19:25:00.000Z,53.862808,-21.621735,5.0246067
