UT__yyyy-mm-ddThh:mm:ss.sssZ,BX_FGS-D_(@_1_)_nT_GSE,BY_FGS-D_(@_2_)_nT_GSE,BZ_FGS-D_(@_3_)_nT_GSE
2014-02-27T19:00:01.078Z,0.0613155,-2.48724,-18.9023
2014-02-27T19:00:04.191Z,0.0447494,-2.67142,-18.9085
2014-02-27T19:00:07.304Z,0.187797,-2.50548,-18.7385
2014-02-27T19:00:10.418Z,-0.563961,-2.39589,-18.7997
2014-02-27T19:00:13.531Z,-0.133504,-3.27187,-18.7094
2014-02-27T19:00:16.644Z,0.550012,-3.92085,-18.6807
2014-02-27T19:00:19.757Z,1.31824,-4.91118,-18.4135
2014-02-27T19:00:22.870Z,1.91202,-5.70714,-18.3631
2014-02-27T19:00:25.984Z,2.41264,-5.74750,-18.1904
2014-02-27T19:00:29.097Z,2.82242,-6.62811,-18.3217
2014-02-27T19:00:32.210Z,2.75466,-7.56001,-18.1819
2014-02-27T19:00:35.323Z,2.25890,-6.86664,-18.2860
2014-02-27T19:00:38.436Z,2.00842,-6.87798,-18.3509
2014-02-27T19:00:41.550Z,1.92994,-6.62252,-18.2809
2014-02-27T19:00:44.663Z,1.62822,-6.46635,-18.4971
2014-02-27T19:00:47.776Z,-0.159656,-6.93007,-18.5534
2014-02-27T19:00:50.889Z,0.103134,-6.23856,-18.5981
2014-02-27T19:00:54.002Z,0.0738541,-6.12208,-18.8471
2014-02-27T19:00:57.116Z,0.577380,-5.81833,-18.7414
2014-02-27T19:01:00.229Z,-0.322171,-4.39142,-19.1619
2014-02-27T19:01:03.342Z,0.333851,-5.03244,-18.9310
2014-02-27T19:01:06.455Z,0.702656,-4.51363,-18.9736
2014-02-27T19:01:09.568Z,0.223348,-4.36785,-19.1825
2014-02-27T19:01:12.681Z,0.717563,-4.48248,-19.1987
2014-02-27T19:01:15.795Z,-0.189795,-3.91759,-19.1247
2014-02-27T19:01:18.908Z,0.0978079,-3.67740,-19.2161
2014-02-27T19:01:22.021Z,0.520618,-5.21947,-19.1111
2014-02-27T19:01:25.134Z,-0.308611,-3.80890,-18.7224
2014-02-27T19:01:28.247Z,-0.228607,-3.51069,-19.0961
2014-02-27T19:01:31.361Z,-0.406420,-3.37557,-19.7547
2014-02-27T19:01:34.474Z,0.0710074,-2.79898,-19.5330
2014-02-27T19:01:37.587Z,0.290267,-2.84925,-19.6479
2014-02-27T19:01:40.700Z,0.733484,-3.26670,-19.3589
2014-02-27T19:01:43.813Z,-0.0546929,-2.60401,-19.4393
2014-02-27T19:01:46.927Z,-0.403611,-3.70615,-19.3101
2014-02-27T19:01:50.040Z,-1.06665,-4.03946,-19.3588
2014-02-27T19:01:53.153Z,-0.411346,-3.54554,-19.5641
2014-02-27T19:01:56.266Z,-0.450833,-3.70124,-19.1839
2014-02-27T19:01:59.379Z,-0.566017,-3.66645,-19.0054
2014-02-27T19:02:02.493Z,-0.413247,-3.95128,-18.8359
2014-02-27T19:02:05.606Z,-0.803639,-2.89872,-18.6383
2014-02-27T19:02:08.719Z,-0.538648,-3.54982,-18.8094
2014-02-27T19:02:11.832Z,-0.493975,-3.99188,-18.9733
2014-02-27T19:02:14.945Z,-0.848165,-3.74329,-18.9113
2014-02-27T19:02:18.059Z,-1.00927,-3.88789,-18.8280
2014-02-27T19:02:21.172Z,-0.674326,-4.09338,-18.7562
2014-02-27T19:02:24.285Z,-0.0475203,-3.50023,-18.8000
2014-02-27T19:02:27.398Z,0.274712,-3.54422,-18.8133
2014-02-27T19:02:30.511Z,-0.479864,-3.92432,-18.7715
2014-02-27T19:02:33.625Z,-0.299225,-3.85249,-18.8215
2014-02-27T19:02:36.738Z,-0.246537,-3.36287,-18.6139
2014-02-27T19:02:39.851Z,-0.257240,-3.04018,-18.6729
2014-02-27T19:02:42.964Z,-0.734777,-1.53518,-18.8623
2014-02-27T19:02:46.077Z,-0.292810,-1.86549,-18.9053
2014-02-27T19:02:49.190Z,-0.438288,-1.76210,-18.8590
2014-02-27T19:02:52.304Z,-0.963801,-0.416279,-19.0938
2014-02-27T19:02:55.417Z,-0.642230,-1.37513,-18.9672
2014-02-27T19:02:58.530Z,-0.734235,-1.69787,-18.7308
2014-02-27T19:03:01.643Z,-1.15948,-1.76976,-18.6710
2014-02-27T19:03:04.756Z,-0.550061,-1.30128,-18.8979
2014-02-27T19:03:07.870Z,-0.489258,-1.44703,-18.5858
2014-02-27T19:03:10.983Z,-0.266061,-1.91290,-18.2510
2014-02-27T19:03:14.096Z,-0.700227,-1.83819,-18.2044
2014-02-27T19:03:17.209Z,-1.35897,-2.43766,-18.1782
2014-02-27T19:03:20.322Z,-0.957656,-1.84751,-18.2581
2014-02-27T19:03:23.436Z,-0.744579,-1.84980,-18.3093
2014-02-27T19:03:26.549Z,-0.631690,-2.67824,-18.2410
2014-02-27T19:03:29.662Z,-0.837919,-1.73315,-18.3505
2014-02-27T19:03:32.775Z,-0.184195,-3.33656,-18.0204
2014-02-27T19:03:35.888Z,0.561878,-4.34966,-18.1825
2014-02-27T19:03:39.002Z,0.817273,-4.58789,-17.6658
2014-02-27T19:03:42.115Z,0.468269,-3.98817,-18.0332
2014-02-27T19:03:45.228Z,-0.107178,-2.59156,-18.2353
2014-02-27T19:03:48.341Z,-0.429716,-2.72881,-18.4556
2014-02-27T19:03:51.454Z,-0.460187,-2.83303,-18.5541
2014-02-27T19:03:54.568Z,0.825658,-3.55754,-18.3275
2014-02-27T19:03:57.681Z,0.115844,-3.06800,-18.4708
2014-02-27T19:04:00.794Z,0.127169,-3.03046,-18.5627
2014-02-27T19:04:03.907Z,0.113893,-3.03942,-18.4687
2014-02-27T19:04:07.020Z,-0.174945,-2.72420,-18.2089
2014-02-27T19:04:10.134Z,-0.154580,-2.08884,-18.0909
2014-02-27T19:04:13.247Z,0.500512,-3.13216,-18.1004
2014-02-27T19:04:16.360Z,0.334355,-3.37922,-18.0509
2014-02-27T19:04:19.473Z,0.260363,-3.41329,-18.2472
2014-02-27T19:04:22.586Z,0.487813,-3.36087,-18.3400
2014-02-27T19:04:25.700Z,0.735011,-4.03928,-18.1407
2014-02-27T19:04:28.813Z,0.939385,-5.11618,-18.2244
2014-02-27T19:04:31.926Z,2.20630,-5.37609,-18.3609
2014-02-27T19:04:35.039Z,2.40725,-5.28881,-17.9340
2014-02-27T19:04:38.152Z,1.61919,-4.08007,-18.4280
2014-02-27T19:04:41.265Z,1.68615,-4.62395,-18.5608
2014-02-27T19:04:44.379Z,2.31572,-4.86730,-17.3432
2014-02-27T19:04:47.492Z,2.33521,-4.26529,-17.8217
2014-02-27T19:04:50.605Z,2.15702,-4.35333,-17.6879
2014-02-27T19:04:53.718Z,2.20807,-4.22972,-17.6087
2014-02-27T19:04:56.831Z,2.25207,-4.08931,-17.7593
2014-02-27T19:04:59.945Z,1.38378,-6.40310,-17.4281
2014-02-27T19:05:03.058Z,0.528416,-5.47056,-17.3992
2014-02-27T19:05:06.171Z,1.06130,-3.96111,-17.4404
2014-02-27T19:05:09.284Z,0.865031,-4.37578,-17.1314
2014-02-27T19:05:12.397Z,0.539200,-5.00875,-17.2128
2014-02-27T19:05:15.511Z,0.101590,-3.77421,-17.2615
2014-02-27T19:05:18.624Z,0.579261,-3.32431,-17.1111
2014-02-27T19:05:21.737Z,0.435667,-3.60799,-17.0854
2014-02-27T19:05:24.850Z,0.692353,-3.49284,-17.3135
2014-02-27T19:05:27.963Z,0.381042,-2.81212,-17.3168
2014-02-27T19:05:31.077Z,0.410035,-2.51728,-17.5051
2014-02-27T19:05:34.190Z,0.546259,-2.56883,-17.8150
2014-02-27T19:05:37.303Z,1.16530,-2.47928,-17.6608
2014-02-27T19:05:40.416Z,-0.295154,-1.11531,-18.1028
2014-02-27T19:05:43.529Z,-0.212505,-0.367271,-18.0380
2014-02-27T19:05:46.643Z,-0.194302,-1.11627,-18.2686
2014-02-27T19:05:49.756Z,-0.00968140,-1.33987,-17.9193
2014-02-27T19:05:52.869Z,-0.798527,-0.326677,-17.9335
2014-02-27T19:05:55.982Z,0.320386,0.127897,-17.5358
2014-02-27T19:05:59.095Z,-1.17247,0.541077,-17.6886
2014-02-27T19:06:02.209Z,-0.221416,0.00821879,-17.6924
2014-02-27T19:06:05.322Z,-0.463927,0.0670995,-17.3140
2014-02-27T19:06:08.435Z,-0.557799,0.182928,-17.7429
2014-02-27T19:06:11.548Z,-0.794998,0.0645474,-17.8754
2014-02-27T19:06:14.661Z,-0.874122,0.576752,-17.2870
2014-02-27T19:06:17.774Z,-0.452749,1.05902,-17.3729
2014-02-27T19:06:20.888Z,0.338289,1.43481,-17.4699
2014-02-27T19:06:24.001Z,0.522960,1.74368,-17.2205
2014-02-27T19:06:27.114Z,0.617701,1.86969,-17.5339
2014-02-27T19:06:30.227Z,-0.0900121,1.85874,-17.4895
2014-02-27T19:06:33.340Z,-0.437539,1.16277,-17.4586
2014-02-27T19:06:36.454Z,-0.708492,1.18267,-17.1606
2014-02-27T19:06:39.567Z,-0.759239,0.968159,-17.3566
2014-02-27T19:06:42.680Z,-0.647154,0.547235,-17.2294
2014-02-27T19:06:45.793Z,-0.864032,0.973496,-17.5181
2014-02-27T19:06:48.906Z,-0.656222,0.975405,-17.4971
2014-02-27T19:06:52.020Z,-0.494046,1.36719,-17.4864
2014-02-27T19:06:55.133Z,-0.636548,1.58058,-17.4423
2014-02-27T19:06:58.246Z,-0.491459,2.14121,-17.5047
2014-02-27T19:07:01.359Z,-0.402710,2.15487,-17.4774
2014-02-27T19:07:04.472Z,-0.378886,2.13752,-17.5357
2014-02-27T19:07:07.586Z,-0.632936,1.51314,-17.0720
2014-02-27T19:07:10.699Z,-0.670560,1.36062,-16.4006
2014-02-27T19:07:13.812Z,-0.557926,2.20250,-16.8075
2014-02-27T19:07:16.925Z,-0.636108,0.679987,-16.5986
2014-02-27T19:07:20.038Z,-0.452041,0.582030,-17.0380
2014-02-27T19:07:23.152Z,-0.812211,0.909788,-18.3510
2014-02-27T19:07:26.265Z,-0.725813,1.30447,-18.2673
2014-02-27T19:07:29.378Z,-0.782475,1.18740,-18.1288
2014-02-27T19:07:32.491Z,-0.657726,2.03536,-18.0973
2014-02-27T19:07:35.604Z,-0.662956,2.12811,-18.0539
2014-02-27T19:07:38.718Z,-0.432792,2.66849,-17.9834
2014-02-27T19:07:41.831Z,-0.546692,2.49814,-18.1250
2014-02-27T19:07:44.944Z,-0.552714,2.71445,-18.1681
2014-02-27T19:07:48.057Z,-0.749133,2.46090,-18.0028
2014-02-27T19:07:51.170Z,-0.854147,1.96766,-17.9404
2014-02-27T19:07:54.283Z,-0.867529,0.386017,-17.8837
2014-02-27T19:07:57.397Z,-0.969912,1.41180,-17.6064
2014-02-27T19:08:00.510Z,-0.361933,4.38066,-15.9123
2014-02-27T19:08:03.623Z,0.0858829,4.48133,-15.8934
2014-02-27T19:08:06.736Z,0.103265,6.28039,-16.2095
2014-02-27T19:08:09.849Z,0.150636,6.19624,-16.5968
2014-02-27T19:08:12.963Z,-0.539560,5.35922,-16.6201
2014-02-27T19:08:16.076Z,-0.306004,5.48919,-16.7779
2014-02-27T19:08:19.189Z,-0.142346,5.73037,-16.7071
2014-02-27T19:08:22.302Z,-0.304327,5.17825,-16.4408
2014-02-27T19:08:25.415Z,-0.200822,5.26129,-15.9086
