EPOCH__yyyy-mm-ddThh:mm:ss.sssZ,X_(@_x_)_RE,Y_(@_y_)_RE,Z_(@_z_)_RE
2014-02-27T19:00:00.000Z,11.254733,2.0525916,0.55322182
2014-02-27T19:01:00.000Z,11.253685,2.0615380,0.55081707
2014-02-27T19:02:00.000Z,11.252591,2.0704679,0.54841387
2014-02-27T19:03:00.000Z,11.251470,2.0793877,0.54601192
2014-02-27T19:04:00.000Z,11.250297,2.0883033,0.54360384
2014-02-27T19:05:00.000Z,11.249219,2.0964499,0.54119253
2014-02-27T19:06:00.000Z,11.247969,2.1053529,0.53878093
2014-02-27T19:07:00.000Z,11.246675,2.1142390,0.53636956
2014-02-27T19:08:00.000Z,11.245331,2.1231225,0.53395462
2014-02-27T19:09:00.000Z,11.243954,2.1320093,0.53153366
2014-02-27T19:10:00.000Z,11.242532,2.1408794,0.52911401
2014-02-27T19:11:00.000Z,11.241228,2.1489658,0.52669585
2014-02-27T19:12:00.000Z,11.239714,2.1578169,0.52427292
2014-02-27T19:13:00.000Z,11.238184,2.1666625,0.52184993
2014-02-27T19:14:00.000Z,11.236590,2.1754999,0.51942217
2014-02-27T19:15:00.000Z,11.234962,2.1843388,0.51698816
2014-02-27T19:16:00.000Z,11.233445,2.1923833,0.51456326
2014-02-27T19:17:00.000Z,11.231739,2.2012098,0.51212591
2014-02-27T19:18:00.000Z,11.229994,2.2100062,0.50969613
2014-02-27T19:19:00.000Z,11.228199,2.2187994,0.50726020
2014-02-27T19:20:00.000Z,11.226371,2.2275958,0.50481951
2014-02-27T19:21:00.000Z,11.224497,2.2363753,0.50238037
2014-02-27T19:22:00.000Z,11.222728,2.2443862,0.49993616
2014-02-27T19:23:00.000Z,11.220778,2.2531531,0.49749213
2014-02-27T19:24:00.000Z,11.218782,2.2619028,0.49504945
2014-02-27T19:25:00.000Z,11.216737,2.2706501,0.49260205
2014-02-27T19:26:00.000Z,11.214664,2.2793863,0.49015453
2014-02-27T19:27:00.000Z,11.212542,2.2881191,0.48770237
2014-02-27T19:28:00.000Z,11.210542,2.2960849,0.48524532
2014-02-27T19:29:00.000Z,11.208331,2.3047860,0.48279598
2014-02-27T19:30:00.000Z,11.206100,2.3134952,0.48034039
2014-02-27T19:31:00.000Z,11.203804,2.3221953,0.47787988
2014-02-27T19:32:00.000Z,11.201483,2.3308856,0.47541955
2014-02-27T19:33:00.000Z,11.199272,2.3387940,0.47296062
2014-02-27T19:34:00.000Z,11.196872,2.3474703,0.47049683
2014-02-27T19:35:00.000Z,11.194419,2.3561432,0.46802679
2014-02-27T19:36:00.000Z,11.191930,2.3647876,0.46556601
2014-02-27T19:37:00.000Z,11.189400,2.3734469,0.46309119
2014-02-27T19:38:00.000Z,11.186831,2.3820765,0.46062553
2014-02-27T19:39:00.000Z,11.184377,2.3899350,0.45815361
2014-02-27T19:40:00.000Z,11.181711,2.3985593,0.45567688
2014-02-27T19:41:00.000Z,11.179019,2.4071591,0.45320645
2014-02-27T19:42:00.000Z,11.176289,2.4157748,0.45072490
