UT__yyyy-mm-ddThh:mm:ss.sssZ,BX_FGS-D_(@_1_)_nT_GSE,BY_FGS-D_(@_2_)_nT_GSE,BZ_FGS-D_(@_3_)_nT_GSE
2015-03-16T04:20:03.862Z,0.454478,0.865480,3.06218
2015-03-16T04:20:08.150Z,0.404675,0.840658,3.24073
2015-03-16T04:20:12.437Z,0.152886,0.540017,3.58243
2015-03-16T04:20:16.725Z,-0.0222470,0.197137,3.69005
2015-03-16T04:20:21.012Z,-0.234316,0.0967582,3.63649
2015-03-16T04:20:25.300Z,-0.206173,-0.0212997,2.73025
2015-03-16T04:20:29.587Z,-0.382709,0.185966,2.90581
2015-03-16T04:20:33.875Z,-0.307964,-0.419523,3.04136
2015-03-16T04:20:38.162Z,-0.371705,-0.649130,3.17333
2015-03-16T04:20:42.450Z,-0.518078,-1.20279,3.06756
2015-03-16T04:20:46.737Z,-0.398027,-1.55761,1.92193
2015-03-16T04:20:51.025Z,-0.298402,-1.68773,0.946800
2015-03-16T04:20:55.312Z,-0.0450668,-1.72398,0.854884
2015-03-16T04:20:59.600Z,-0.103791,-0.991006,1.24797
2015-03-16T04:21:03.887Z,0.0432495,-0.357805,1.61992
2015-03-16T04:21:08.175Z,0.0799876,-0.227977,1.66254
2015-03-16T04:21:12.462Z,-0.173554,-0.0390191,1.99699
2015-03-16T04:21:16.750Z,-0.183389,-0.759715,1.88967
2015-03-16T04:21:21.037Z,-0.603368,-0.261953,2.43000
2015-03-16T04:21:25.325Z,-0.140806,-1.10466,1.49892
2015-03-16T04:21:29.612Z,0.362554,-0.734686,2.09973
2015-03-16T04:21:33.900Z,-0.0924585,0.0571739,2.99108
2015-03-16T04:21:38.187Z,0.217791,-0.729344,2.36973
2015-03-16T04:21:42.475Z,0.539400,-1.43609,1.56318
2015-03-16T04:21:46.762Z,0.0999956,-0.106494,1.25157
2015-03-16T04:21:51.050Z,0.388534,0.118883,0.737755
2015-03-16T04:21:55.337Z,0.323988,0.0113981,1.61198
2015-03-16T04:21:59.625Z,0.391235,-0.385853,1.42630
2015-03-16T04:22:03.912Z,0.431089,-0.354409,1.15602
2015-03-16T04:22:08.200Z,0.425199,-0.629475,2.04668
2015-03-16T04:22:12.487Z,0.646210,-0.602890,1.60647
2015-03-16T04:22:16.774Z,0.790478,-0.922268,2.41164
2015-03-16T04:22:21.062Z,0.596397,-0.880713,2.69089
2015-03-16T04:22:25.349Z,0.366884,-0.913255,2.44394
2015-03-16T04:22:29.637Z,0.182291,-1.01775,3.00172
2015-03-16T04:22:33.924Z,0.334931,-1.21740,3.38857
2015-03-16T04:22:38.212Z,0.501330,-1.33965,3.30905
2015-03-16T04:22:42.499Z,0.483041,-1.40107,3.07057
2015-03-16T04:22:46.787Z,0.557254,-1.26042,2.85439
2015-03-16T04:22:51.074Z,0.473269,-1.28256,2.60971
2015-03-16T04:22:55.362Z,0.165276,-1.15010,2.91067
2015-03-16T04:22:59.649Z,0.0485953,-1.05190,2.58302
2015-03-16T04:23:03.937Z,0.122561,-0.945781,2.31397
2015-03-16T04:23:08.224Z,0.536699,-1.27085,2.17492
2015-03-16T04:23:12.512Z,0.299140,-1.06832,2.58903
2015-03-16T04:23:16.799Z,0.00446069,-0.847776,2.88297
2015-03-16T04:23:21.087Z,-0.0430423,-1.07153,2.64750
2015-03-16T04:23:25.374Z,0.127631,-0.528376,1.69866
2015-03-16T04:23:29.662Z,-0.0968902,-0.797127,1.73882
2015-03-16T04:23:33.949Z,0.241704,-0.895292,2.44590
2015-03-16T04:23:38.237Z,-0.0727961,-0.640960,1.91440
2015-03-16T04:23:42.524Z,-0.158878,-0.858406,2.39446
2015-03-16T04:23:46.812Z,-0.435846,-1.35153,2.74922
2015-03-16T04:23:51.099Z,-0.307430,-1.06320,2.79717
2015-03-16T04:23:55.387Z,-0.497488,-0.945044,2.78053
2015-03-16T04:23:59.674Z,-0.237798,-0.747346,2.06763
2015-03-16T04:24:03.962Z,-0.492640,-1.17226,3.02582
2015-03-16T04:24:08.249Z,-0.304144,-0.975669,2.18497
2015-03-16T04:24:12.537Z,-0.621967,-1.48401,2.91656
2015-03-16T04:24:16.824Z,-0.750876,-1.56433,2.73344
2015-03-16T04:24:21.112Z,-0.375782,-1.03303,1.40553
