EPOCH__yyyy-mm-ddThh:mm:ss.sssZ,X_(@_x_)_RE,Y_(@_y_)_RE,Z_(@_z_)_RE
2015-03-17T05:00:00.000Z,7.4473963,9.2106266,-1.7194771
2015-03-17T05:01:00.000Z,7.4394274,9.2133093,-1.7213376
2015-03-17T05:02:00.000Z,7.4308167,9.2164679,-1.7231853
2015-03-17T05:03:00.000Z,7.4221773,9.2195816,-1.7250143
2015-03-17T05:04:00.000Z,7.4135079,9.2226734,-1.7268512
2015-03-17T05:05:00.000Z,7.4048238,9.2257500,-1.7286823
2015-03-17T05:06:00.000Z,7.3961120,9.2287807,-1.7304946
2015-03-17T05:07:00.000Z,7.3879967,9.2312860,-1.7323148
2015-03-17T05:08:00.000Z,7.3792415,9.2342587,-1.7341369
2015-03-17T05:09:00.000Z,7.3704557,9.2372065,-1.7359327
2015-03-17T05:10:00.000Z,7.3616571,9.2401199,-1.7377301
2015-03-17T05:11:00.000Z,7.3528142,9.2429934,-1.7395291
2015-03-17T05:12:00.000Z,7.3439708,9.2458544,-1.7413222
2015-03-17T05:13:00.000Z,7.3357086,9.2481871,-1.7431027
2015-03-17T05:14:00.000Z,7.3268075,9.2509794,-1.7448850
2015-03-17T05:15:00.000Z,7.3178773,9.2537422,-1.7466551
2015-03-17T05:16:00.000Z,7.3089333,9.2564754,-1.7484126
2015-03-17T05:17:00.000Z,7.2999592,9.2591839,-1.7501783
2015-03-17T05:18:00.000Z,7.2915807,9.2613716,-1.7519312
2015-03-17T05:19:00.000Z,7.2825646,9.2640152,-1.7536865
2015-03-17T05:20:00.000Z,7.2735186,9.2666292,-1.7554291
2015-03-17T05:21:00.000Z,7.2644434,9.2692108,-1.7571591
2015-03-17T05:22:00.000Z,7.2553544,9.2717571,-1.7588911
2015-03-17T05:23:00.000Z,7.2462354,9.2742882,-1.7606170
2015-03-17T05:24:00.000Z,7.2377219,9.2762852,-1.7623445
2015-03-17T05:25:00.000Z,7.2285600,9.2787495,-1.7640599
2015-03-17T05:26:00.000Z,7.2193694,9.2811823,-1.7657628
2015-03-17T05:27:00.000Z,7.2101650,9.2835808,-1.7674675
2015-03-17T05:28:00.000Z,7.2009287,9.2859612,-1.7691659
2015-03-17T05:29:00.000Z,7.1916661,9.2882919,-1.7708603
