EPOCH__yyyy-mm-ddThh:mm:ss.sssZ,X_(@_x_)_RE,Y_(@_y_)_RE,Z_(@_z_)_RE
2015-04-20T20:40:00.000Z,11.286172,1.9444413,-0.46580029
2015-04-20T20:41:00.000Z,11.291135,1.9536402,-0.46827316
2015-04-20T20:42:00.000Z,11.295931,1.9635948,-0.47074032
2015-04-20T20:43:00.000Z,11.300686,1.9735391,-0.47319484
2015-04-20T20:44:00.000Z,11.305393,1.9834647,-0.47566557
2015-04-20T20:45:00.000Z,11.310069,1.9933996,-0.47811556
2015-04-20T20:46:00.000Z,11.314830,2.0025611,-0.48058200
2015-04-20T20:47:00.000Z,11.319417,2.0124660,-0.48303580
2015-04-20T20:48:00.000Z,11.323971,2.0223746,-0.48548365
2015-04-20T20:49:00.000Z,11.328478,2.0322695,-0.48793316
2015-04-20T20:50:00.000Z,11.332949,2.0421627,-0.49039102
2015-04-20T20:51:00.000Z,11.337378,2.0520458,-0.49283600
2015-04-20T20:52:00.000Z,11.341900,2.0611570,-0.49528360
2015-04-20T20:53:00.000Z,11.346239,2.0710118,-0.49773240
2015-04-20T20:54:00.000Z,11.350546,2.0808709,-0.50017571
2015-04-20T20:55:00.000Z,11.354816,2.0907328,-0.50261211
2015-04-20T20:56:00.000Z,11.359028,2.1005831,-0.50506544
2015-04-20T20:57:00.000Z,11.363213,2.1104224,-0.50749159
2015-04-20T20:58:00.000Z,11.367490,2.1194873,-0.50993371
2015-04-20T20:59:00.000Z,11.371593,2.1293097,-0.51237011
2015-04-20T21:00:00.000Z,11.375656,2.1391225,-0.51479340
2015-04-20T21:01:00.000Z,11.379677,2.1489296,-0.51723981
2015-04-20T21:02:00.000Z,11.383659,2.1587317,-0.51965904
2015-04-20T21:03:00.000Z,11.387738,2.1677575,-0.52209449
2015-04-20T21:04:00.000Z,11.391644,2.1775491,-0.52450991
2015-04-20T21:05:00.000Z,11.395499,2.1873209,-0.52694106
2015-04-20T21:06:00.000Z,11.399328,2.1970766,-0.52936006
2015-04-20T21:07:00.000Z,11.403109,2.2068431,-0.53177261
2015-04-20T21:08:00.000Z,11.406841,2.2165895,-0.53420162
2015-04-20T21:09:00.000Z,11.410691,2.2255864,-0.53661013
2015-04-20T21:10:00.000Z,11.414359,2.2353141,-0.53903437
2015-04-20T21:11:00.000Z,11.417974,2.2450466,-0.54143214
2015-04-20T21:12:00.000Z,11.421549,2.2547724,-0.54385257
2015-04-20T21:13:00.000Z,11.425096,2.2644799,-0.54626012
2015-04-20T21:14:00.000Z,11.428598,2.2741742,-0.54866982
2015-04-20T21:15:00.000Z,11.432205,2.2831166,-0.55107355
2015-04-20T21:16:00.000Z,11.435634,2.2928052,-0.55346465
2015-04-20T21:17:00.000Z,11.439018,2.3024864,-0.55587816
2015-04-20T21:18:00.000Z,11.442364,2.3121586,-0.55827880
2015-04-20T21:19:00.000Z,11.445653,2.3218298,-0.56066751
2015-04-20T21:20:00.000Z,11.449086,2.3307230,-0.56306458
2015-04-20T21:21:00.000Z,11.452307,2.3403702,-0.56546307
2015-04-20T21:22:00.000Z,11.455487,2.3500087,-0.56784916
2015-04-20T21:23:00.000Z,11.458629,2.3596447,-0.57024336
2015-04-20T21:24:00.000Z,11.461743,2.3692639,-0.57262564
2015-04-20T21:25:00.000Z,11.464808,2.3788891,-0.57501531
2015-04-20T21:26:00.000Z,11.467993,2.3877239,-0.57738709
2015-04-20T21:27:00.000Z,11.470978,2.3973374,-0.57977271
2015-04-20T21:28:00.000Z,11.473925,2.4069178,-0.58215404
2015-04-20T21:29:00.000Z,11.476836,2.4165015,-0.58452916
2015-04-20T21:30:00.000Z,11.479711,2.4260821,-0.58691192
2015-04-20T21:31:00.000Z,11.482697,2.4348783,-0.58927727
2015-04-20T21:32:00.000Z,11.485508,2.4444404,-0.59165597
2015-04-20T21:33:00.000Z,11.488254,2.4539897,-0.59401608
2015-04-20T21:34:00.000Z,11.490963,2.4635377,-0.59638429
2015-04-20T21:35:00.000Z,11.493641,2.4730625,-0.59875488
2015-04-20T21:36:00.000Z,11.496285,2.4825921,-0.60111904
2015-04-20T21:37:00.000Z,11.499051,2.4913387,-0.60348511
2015-04-20T21:38:00.000Z,11.501609,2.5008447,-0.60583854
2015-04-20T21:39:00.000Z,11.504129,2.5103478,-0.60820007
2015-04-20T21:40:00.000Z,11.506607,2.5198429,-0.61054921
2015-04-20T21:41:00.000Z,11.509056,2.5293155,-0.61290026
2015-04-20T21:42:00.000Z,11.511452,2.5387940,-0.61525965
2015-04-20T21:43:00.000Z,11.513989,2.5474911,-0.61760664
2015-04-20T21:44:00.000Z,11.516325,2.5569565,-0.61994720
2015-04-20T21:45:00.000Z,11.518604,2.5663896,-0.62229776
2015-04-20T21:46:00.000Z,11.520861,2.5758433,-0.62463355
2015-04-20T21:47:00.000Z,11.523074,2.5852585,-0.62698007
2015-04-20T21:48:00.000Z,11.525416,2.5939226,-0.62930584
2015-04-20T21:49:00.000Z,11.527559,2.6033382,-0.63165402
2015-04-20T21:50:00.000Z,11.529654,2.6127326,-0.63398385
2015-04-20T21:51:00.000Z,11.531717,2.6221375,-0.63632774
2015-04-20T21:52:00.000Z,11.533731,2.6315215,-0.63865256
2015-04-20T21:53:00.000Z,11.535713,2.6409087,-0.64097142
2015-04-20T21:54:00.000Z,11.537836,2.6494992,-0.64330649
2015-04-20T21:55:00.000Z,11.539752,2.6588683,-0.64562130
2015-04-20T21:56:00.000Z,11.541620,2.6682169,-0.64795232
2015-04-20T21:57:00.000Z,11.543447,2.6775575,-0.65027094
2015-04-20T21:58:00.000Z,11.545230,2.6868882,-0.65257621
2015-04-20T21:59:00.000Z,11.546990,2.6962094,-0.65489054
2015-04-20T22:00:00.000Z,11.548879,2.7047689,-0.65721273
2015-04-20T22:01:00.000Z,11.550562,2.7140799,-0.65952277
2015-04-20T22:02:00.000Z,11.552200,2.7233760,-0.66183448
2015-04-20T22:03:00.000Z,11.553796,2.7326634,-0.66413379
2015-04-20T22:04:00.000Z,11.555367,2.7419415,-0.66644096
2015-04-20T22:05:00.000Z,11.557078,2.7504432,-0.66873622
2015-04-20T22:06:00.000Z,11.558573,2.7597103,-0.67103934
2015-04-20T22:07:00.000Z,11.560019,2.7689619,-0.67334390
2015-04-20T22:08:00.000Z,11.561427,2.7782063,-0.67563653
2015-04-20T22:09:00.000Z,11.562813,2.7874451,-0.67792296
2015-04-20T22:10:00.000Z,11.564137,2.7966731,-0.68022537
