UT__yyyy-mm-ddThh:mm:ss.sssZ,BX_FGS-D_(@_1_)_nT_GSE,BY_FGS-D_(@_2_)_nT_GSE,BZ_FGS-D_(@_3_)_nT_GSE
2015-06-12T17:40:00.078Z,0.110772,2.83827,-1.66434
2015-06-12T17:40:02.963Z,-0.143375,3.03176,-1.72747
2015-06-12T17:40:05.849Z,0.346595,2.66236,-1.81236
2015-06-12T17:40:08.734Z,0.146827,2.78508,-1.85884
2015-06-12T17:40:11.620Z,0.358062,3.14583,-1.96711
2015-06-12T17:40:14.505Z,0.367328,3.36618,-2.11917
2015-06-12T17:40:17.391Z,0.460170,3.31452,-2.10427
2015-06-12T17:40:20.276Z,0.773990,3.33254,-2.23753
2015-06-12T17:40:23.161Z,0.840910,3.07119,-2.40189
2015-06-12T17:40:26.047Z,1.03577,3.13983,-2.64848
2015-06-12T17:40:28.932Z,0.527900,3.30551,-2.25712
2015-06-12T17:40:31.818Z,0.168097,2.34116,-1.77094
2015-06-12T17:40:34.703Z,0.220710,2.45289,-1.66845
2015-06-12T17:40:37.589Z,0.417591,1.04863,-1.62694
2015-06-12T17:40:40.474Z,0.125643,1.17240,-1.73921
2015-06-12T17:40:43.360Z,0.607287,3.51022,-2.25656
2015-06-12T17:40:46.245Z,0.573998,3.56716,-2.36671
2015-06-12T17:40:49.130Z,0.330632,3.02203,-2.05378
2015-06-12T17:40:52.016Z,0.365672,3.59456,-2.26121
2015-06-12T17:40:54.901Z,0.357333,3.52987,-2.17602
2015-06-12T17:40:57.787Z,0.314299,3.43244,-2.07406
2015-06-12T17:41:00.672Z,0.398546,3.47381,-2.36969
2015-06-12T17:41:03.558Z,0.115875,3.39029,-2.18553
2015-06-12T17:41:06.443Z,0.0139120,3.22166,-1.96324
2015-06-12T17:41:09.329Z,0.00907190,3.07959,-1.99652
2015-06-12T17:41:12.214Z,-0.0263720,3.04906,-2.05319
2015-06-12T17:41:15.099Z,0.0734022,2.97238,-1.99656
2015-06-12T17:41:17.985Z,0.250061,3.06116,-2.01695
2015-06-12T17:41:20.870Z,0.163403,3.09003,-2.06356
2015-06-12T17:41:23.756Z,0.185585,3.16831,-2.10204
2015-06-12T17:41:26.641Z,0.00459514,2.96821,-2.01146
2015-06-12T17:41:29.527Z,0.0197621,2.88057,-2.06651
2015-06-12T17:41:32.412Z,0.0575913,2.80523,-2.22010
2015-06-12T17:41:35.298Z,-0.156699,2.88606,-2.14968
2015-06-12T17:41:38.183Z,-0.634867,2.39768,-2.23701
2015-06-12T17:41:41.068Z,-0.827548,2.65579,-2.02986
2015-06-12T17:41:43.954Z,-1.16368,2.69946,-2.44497
2015-06-12T17:41:46.839Z,-1.00746,2.67253,-2.31001
2015-06-12T17:41:49.725Z,-1.10663,2.74693,-2.37833
2015-06-12T17:41:52.610Z,-0.868572,2.64577,-2.06651
2015-06-12T17:41:55.496Z,-0.878764,2.71519,-2.01980
2015-06-12T17:41:58.381Z,-0.871579,2.87865,-2.27031
2015-06-12T17:42:01.267Z,-0.836156,2.97281,-2.25041
2015-06-12T17:42:04.152Z,-0.994401,2.97595,-2.28352
2015-06-12T17:42:07.037Z,-0.975975,2.84390,-2.42702
2015-06-12T17:42:09.923Z,-0.671998,2.88313,-2.38250
2015-06-12T17:42:12.808Z,-0.611083,3.04425,-2.28923
2015-06-12T17:42:15.694Z,-0.782319,3.15889,-2.28401
2015-06-12T17:42:18.579Z,-0.833129,3.12174,-2.18207
2015-06-12T17:42:21.465Z,-0.866149,2.79698,-1.98649
2015-06-12T17:42:24.350Z,-0.892831,2.60984,-1.61074
2015-06-12T17:42:27.235Z,-0.893965,2.64499,-1.73929
2015-06-12T17:42:30.121Z,-0.818111,2.52748,-1.76104
2015-06-12T17:42:33.006Z,-0.712485,2.55515,-1.97991
2015-06-12T17:42:35.892Z,-0.101293,2.65282,-2.01608
2015-06-12T17:42:38.777Z,0.0449375,2.12016,-1.85572
2015-06-12T17:42:41.663Z,-0.120391,1.39992,-1.82073
2015-06-12T17:42:44.548Z,-0.277372,1.73450,-1.69967
2015-06-12T17:42:47.434Z,-0.0753528,2.55710,-2.16629
2015-06-12T17:42:50.319Z,0.241841,2.43404,-2.46638
2015-06-12T17:42:53.204Z,0.581087,2.85246,-2.78607
2015-06-12T17:42:56.090Z,0.592085,2.73247,-2.79853
2015-06-12T17:42:58.975Z,0.0401531,2.57885,-2.63891
2015-06-12T17:43:01.861Z,-0.293057,2.52192,-2.21931
2015-06-12T17:43:04.746Z,-0.00126896,1.93485,-2.29620
2015-06-12T17:43:07.632Z,-0.0827231,2.13650,-2.29119
2015-06-12T17:43:10.517Z,0.00374757,2.61915,-2.18650
2015-06-12T17:43:13.403Z,-0.104757,1.91573,-2.01808
2015-06-12T17:43:16.288Z,-0.0322695,0.703532,-1.80164
2015-06-12T17:43:19.173Z,-0.225204,2.13115,-2.15156
2015-06-12T17:43:22.059Z,0.0930306,2.89687,-2.55241
2015-06-12T17:43:24.944Z,0.418056,3.04953,-2.67492
2015-06-12T17:43:27.830Z,0.398881,3.18381,-2.60487
2015-06-12T17:43:30.715Z,0.188422,3.06010,-2.40912
2015-06-12T17:43:33.601Z,0.135230,3.18993,-2.48591
2015-06-12T17:43:36.486Z,0.0964966,3.10708,-2.61766
2015-06-12T17:43:39.372Z,0.135907,3.21823,-2.64951
2015-06-12T17:43:42.257Z,0.311357,2.86613,-2.47431
2015-06-12T17:43:45.142Z,0.144268,2.18585,-2.20398
2015-06-12T17:43:48.028Z,-0.0378302,2.26018,-2.22792
2015-06-12T17:43:50.913Z,0.0674098,2.70510,-2.28515
2015-06-12T17:43:53.799Z,0.0385330,2.17342,-2.14620
2015-06-12T17:43:56.684Z,0.113746,2.04289,-2.08030
2015-06-12T17:43:59.570Z,0.221656,2.07917,-2.15479
2015-06-12T17:44:02.455Z,0.0896473,1.84416,-2.01837
2015-06-12T17:44:05.340Z,0.0428835,2.22111,-2.17962
2015-06-12T17:44:08.226Z,-0.0179033,1.98112,-2.07503
2015-06-12T17:44:11.111Z,0.0509623,2.82784,-2.44379
2015-06-12T17:44:13.997Z,-0.345107,2.83805,-2.42976
2015-06-12T17:44:16.882Z,-0.510338,2.77200,-2.31593
2015-06-12T17:44:19.768Z,-0.198595,2.59060,-2.39813
2015-06-12T17:44:22.653Z,0.325475,2.86203,-2.53359
2015-06-12T17:44:25.539Z,0.160989,2.93630,-2.49580
2015-06-12T17:44:28.424Z,0.251115,3.11764,-2.51444
2015-06-12T17:44:31.309Z,0.357062,2.85782,-2.61627
2015-06-12T17:44:34.195Z,-0.230969,3.02719,-2.48517
2015-06-12T17:44:37.080Z,-0.666750,3.59556,-2.69180
2015-06-12T17:44:39.966Z,-0.449339,3.18518,-2.63681
2015-06-12T17:44:42.851Z,-0.233696,3.09984,-2.64547
2015-06-12T17:44:45.737Z,-0.380700,2.80747,-2.57157
2015-06-12T17:44:48.622Z,-0.352553,2.83231,-2.57498
2015-06-12T17:44:51.508Z,-0.241588,2.81135,-2.39487
2015-06-12T17:44:54.393Z,-0.404184,2.76680,-2.39456
2015-06-12T17:44:57.278Z,-0.281644,2.82974,-2.42486
2015-06-12T17:45:00.164Z,-0.211411,2.85998,-2.50012
2015-06-12T17:45:03.049Z,-0.0551027,3.24545,-2.65255
2015-06-12T17:45:05.935Z,0.179934,3.94736,-3.14252
2015-06-12T17:45:08.820Z,0.261012,3.49355,-2.90365
2015-06-12T17:45:11.706Z,0.323760,3.58418,-2.80867
2015-06-12T17:45:14.591Z,0.000774714,3.23134,-2.87799
2015-06-12T17:45:17.477Z,-0.126336,3.09007,-2.74747
2015-06-12T17:45:20.362Z,-0.0986676,3.18088,-2.69082
2015-06-12T17:45:23.247Z,0.00823684,2.72801,-2.52378
2015-06-12T17:45:26.133Z,-0.119155,2.74697,-2.43677
2015-06-12T17:45:29.018Z,-0.0954629,2.59682,-2.41835
2015-06-12T17:45:31.904Z,-0.0588943,2.87728,-2.53211
2015-06-12T17:45:34.789Z,-0.102187,2.87645,-2.43688
2015-06-12T17:45:37.675Z,-0.299094,2.32078,-2.19246
2015-06-12T17:45:40.560Z,-0.353900,2.10629,-2.16552
2015-06-12T17:45:43.446Z,-0.351318,2.47902,-2.26259
2015-06-12T17:45:46.331Z,-0.335632,2.19816,-2.30416
2015-06-12T17:45:49.216Z,-0.204160,2.54747,-2.34134
2015-06-12T17:45:52.102Z,-0.0476539,2.58176,-2.42510
2015-06-12T17:45:54.987Z,-0.266835,2.93286,-2.76048
2015-06-12T17:45:57.873Z,-0.312543,2.94117,-2.61852
2015-06-12T17:46:00.758Z,-0.302676,2.65268,-2.22106
2015-06-12T17:46:03.644Z,-0.280629,2.44581,-2.04568
2015-06-12T17:46:06.529Z,-0.274279,2.86601,-2.51671
2015-06-12T17:46:09.414Z,-0.173568,2.72101,-2.61694
2015-06-12T17:46:12.300Z,-0.0401612,2.29738,-2.68532
2015-06-12T17:46:15.185Z,0.0510672,2.34684,-2.73893
2015-06-12T17:46:18.071Z,0.0817022,2.33202,-2.55201
2015-06-12T17:46:20.956Z,0.243804,2.74795,-2.16280
2015-06-12T17:46:23.842Z,0.289096,2.61472,-2.13441
2015-06-12T17:46:26.727Z,0.0237833,1.65543,-1.79027
2015-06-12T17:46:29.613Z,-0.0514610,2.07357,-1.80295
2015-06-12T17:46:32.498Z,0.283125,2.30414,-1.75777
2015-06-12T17:46:35.383Z,0.109345,2.50678,-1.90367
2015-06-12T17:46:38.269Z,0.0937555,2.22773,-2.04451
2015-06-12T17:46:41.154Z,0.0272075,1.99290,-1.92906
2015-06-12T17:46:44.040Z,0.0706771,2.15162,-2.16460
2015-06-12T17:46:46.925Z,-0.0229510,2.19022,-2.17699
2015-06-12T17:46:49.811Z,-0.112961,2.29655,-2.02000
2015-06-12T17:46:52.696Z,-0.134083,2.21364,-2.09001
2015-06-12T17:46:55.582Z,-0.149588,2.12553,-2.25602
2015-06-12T17:46:58.467Z,0.0108002,2.04950,-2.40314
2015-06-12T17:47:01.352Z,-0.00951359,1.85492,-2.04992
2015-06-12T17:47:04.238Z,0.159859,1.65293,-1.83140
2015-06-12T17:47:07.123Z,0.0154175,2.24237,-2.06358
2015-06-12T17:47:10.009Z,-0.0153271,2.21131,-2.02261
2015-06-12T17:47:12.894Z,-0.0215366,2.44027,-2.17716
2015-06-12T17:47:15.780Z,-0.113509,2.25050,-2.04751
2015-06-12T17:47:18.665Z,-0.135557,2.45737,-2.22288
2015-06-12T17:47:21.551Z,-0.217022,2.49866,-2.34463
2015-06-12T17:47:24.436Z,-0.239506,2.64425,-2.38642
2015-06-12T17:47:27.321Z,-0.213389,2.64531,-2.28798
2015-06-12T17:47:30.207Z,-0.167338,2.28588,-2.27613
2015-06-12T17:47:33.092Z,-0.0557498,2.26012,-2.45992
2015-06-12T17:47:35.978Z,-0.154498,2.25576,-2.16012
2015-06-12T17:47:38.863Z,-0.103596,2.19876,-1.98823
2015-06-12T17:47:41.749Z,-0.0997593,2.29713,-1.88564
2015-06-12T17:47:44.634Z,-0.225398,1.97325,-2.01124
2015-06-12T17:47:47.520Z,-0.395993,2.10089,-2.09366
2015-06-12T17:47:50.405Z,-0.428106,2.44087,-2.17396
2015-06-12T17:47:53.290Z,-0.469391,2.52746,-2.21735
2015-06-12T17:47:56.176Z,-0.322950,2.24942,-2.03379
2015-06-12T17:47:59.061Z,-0.322774,2.40731,-2.17412
2015-06-12T17:48:01.947Z,-0.207791,2.56118,-2.27124
2015-06-12T17:48:04.832Z,0.0583781,2.22778,-2.25311
2015-06-12T17:48:07.718Z,0.149562,1.97937,-1.57955
2015-06-12T17:48:10.603Z,0.558399,2.86046,-2.05909
2015-06-12T17:48:13.488Z,0.524953,2.69589,-1.99215
2015-06-12T17:48:16.374Z,0.537860,2.39346,-2.00532
2015-06-12T17:48:19.259Z,1.22310,2.55098,-1.58720
2015-06-12T17:48:22.145Z,1.58302,2.72501,-1.54182
2015-06-12T17:48:25.030Z,1.27030,2.45930,-1.46954
2015-06-12T17:48:27.916Z,1.21078,2.54058,-1.52499
2015-06-12T17:48:30.801Z,1.15005,2.29680,-1.35884
2015-06-12T17:48:33.687Z,1.20629,2.65318,-1.44995
2015-06-12T17:48:36.572Z,1.24258,2.63828,-1.74921
2015-06-12T17:48:39.457Z,1.12438,2.13305,-1.68086
2015-06-12T17:48:42.343Z,1.23064,3.05056,-1.48990
2015-06-12T17:48:45.228Z,1.19674,2.66434,-1.41614
2015-06-12T17:48:48.114Z,1.20798,2.51137,-1.45862
2015-06-12T17:48:50.999Z,1.21713,2.57003,-1.40880
2015-06-12T17:48:53.885Z,1.16767,2.41256,-1.27111
2015-06-12T17:48:56.770Z,0.999522,1.98510,-1.33000
2015-06-12T17:48:59.656Z,0.841192,1.61023,-1.28920
2015-06-12T17:49:02.541Z,0.999213,1.71898,-1.33879
2015-06-12T17:49:05.426Z,0.993009,1.80540,-1.34385
2015-06-12T17:49:08.312Z,1.11073,2.18951,-1.30341
2015-06-12T17:49:11.197Z,1.10398,1.97152,-1.21249
2015-06-12T17:49:14.083Z,0.732105,2.18180,-1.58903
2015-06-12T17:49:16.968Z,0.705460,2.08123,-1.36399
2015-06-12T17:49:19.854Z,0.865836,2.31061,-1.18163
2015-06-12T17:49:22.739Z,0.991917,2.09763,-1.18212
2015-06-12T17:49:25.625Z,1.04177,2.33799,-1.23871
