EPOCH__yyyy-mm-ddThh:mm:ss.sssZ,X_(@_x_)_RE,Y_(@_y_)_RE,Z_(@_z_)_RE
2016-06-05T05:00:00.000Z,57.548096,3.4552858,-4.8393559
2016-06-05T05:01:00.000Z,57.551401,3.4663541,-4.8396495
2016-06-05T05:02:00.000Z,57.554770,3.4774248,-4.8397991
2016-06-05T05:03:00.000Z,57.557936,3.4884394,-4.8400284
2016-06-05T05:04:00.000Z,57.561249,3.4994786,-4.8403220
2016-06-05T05:05:00.000Z,57.564563,3.5105162,-4.8406156
2016-06-05T05:06:00.000Z,57.567803,3.5215193,-4.8407033
2016-06-05T05:07:00.000Z,57.571126,3.5325273,-4.8409969
2016-06-05T05:08:00.000Z,57.574310,3.5434981,-4.8412287
2016-06-05T05:09:00.000Z,57.577490,3.5544675,-4.8414580
2016-06-05T05:10:00.000Z,57.580818,3.5654593,-4.8417516
2016-06-05T05:11:00.000Z,57.584011,3.5764011,-4.8419834
2016-06-05T05:12:00.000Z,57.587209,3.5873254,-4.8422151
2016-06-05T05:13:00.000Z,57.590407,3.5982512,-4.8424469
2016-06-05T05:14:00.000Z,57.593798,3.6092269,-4.8425954
2016-06-05T05:15:00.000Z,57.597002,3.6201368,-4.8428258
2016-06-05T05:16:00.000Z,57.600209,3.6310312,-4.8430575
2016-06-05T05:17:00.000Z,57.603356,3.6419102,-4.8434333
2016-06-05T05:18:00.000Z,57.606562,3.6527879,-4.8436627
2016-06-05T05:19:00.000Z,57.609774,3.6636677,-4.8438944
2016-06-05T05:20:00.000Z,57.612991,3.6745315,-4.8441262
2016-06-05T05:21:00.000Z,57.616064,3.6853562,-4.8442937
2016-06-05T05:22:00.000Z,57.619285,3.6962054,-4.8445254
2016-06-05T05:23:00.000Z,57.622510,3.7070394,-4.8447572
2016-06-05T05:24:00.000Z,57.625731,3.7178712,-4.8449866
2016-06-05T05:25:00.000Z,57.628762,3.7286368,-4.8453005
2016-06-05T05:26:00.000Z,57.631992,3.7394547,-4.8455322
2016-06-05T05:27:00.000Z,57.635217,3.7502718,-4.8457616
2016-06-05T05:28:00.000Z,57.638318,3.7610216,-4.8459315
2016-06-05T05:29:00.000Z,57.641497,3.7717928,-4.8463073
2016-06-05T05:30:00.000Z,57.644593,3.7825424,-4.8464748
2016-06-05T05:31:00.000Z,57.647699,3.7932775,-4.8466447
2016-06-05T05:32:00.000Z,57.650877,3.8040326,-4.8470181
2016-06-05T05:33:00.000Z,57.653987,3.8147531,-4.8471880
2016-06-05T05:34:00.000Z,57.657037,3.8254401,-4.8474996
2016-06-05T05:35:00.000Z,57.660289,3.8361822,-4.8477313
2016-06-05T05:36:00.000Z,57.663348,3.8468553,-4.8480453
2016-06-05T05:37:00.000Z,57.666462,3.8575430,-4.8482128
2016-06-05T05:38:00.000Z,57.669522,3.8682161,-4.8485254
2016-06-05T05:39:00.000Z,57.672645,3.8788749,-4.8486929
2016-06-05T05:40:00.000Z,57.675709,3.8895318,-4.8490068
2016-06-05T05:41:00.000Z,57.678837,3.9001745,-4.8491743
2016-06-05T05:42:00.000Z,57.681905,3.9108182,-4.8494883
2016-06-05T05:43:00.000Z,57.684977,3.9214287,-4.8497998
2016-06-05T05:44:00.000Z,57.688114,3.9320575,-4.8499697
2016-06-05T05:45:00.000Z,57.691048,3.9426309,-4.8502194
2016-06-05T05:46:00.000Z,57.694125,3.9532267,-4.8505310
2016-06-05T05:47:00.000Z,57.697267,3.9638394,-4.8507009
2016-06-05T05:48:00.000Z,57.700349,3.9744208,-4.8510111
2016-06-05T05:49:00.000Z,57.703301,3.9849499,-4.8512632
2016-06-05T05:50:00.000Z,57.706387,3.9955151,-4.8515747
2016-06-05T05:51:00.000Z,57.709395,4.0060588,-4.8516804
2016-06-05T05:52:00.000Z,57.712491,4.0166102,-4.8519943
2016-06-05T05:53:00.000Z,57.715448,4.0271072,-4.8522441
2016-06-05T05:54:00.000Z,57.718410,4.0376064,-4.8524961
2016-06-05T05:55:00.000Z,57.721509,4.0481257,-4.8528077
2016-06-05T05:56:00.000Z,57.724470,4.0586090,-4.8530560
2016-06-05T05:57:00.000Z,57.727437,4.0690921,-4.8533081
2016-06-05T05:58:00.000Z,57.730404,4.0795585,-4.8535578
2016-06-05T05:59:00.000Z,57.733512,4.0900480,-4.8538694
2016-06-05T06:00:00.000Z,57.736488,4.1005005,-4.8541215
2016-06-05T06:01:00.000Z,57.739462,4.1109370,-4.8543712
2016-06-05T06:02:00.000Z,57.742438,4.1213737,-4.8546196
2016-06-05T06:03:00.000Z,57.745423,4.1317964,-4.8548716
2016-06-05T06:04:00.000Z,57.748402,4.1422176,-4.8551214
2016-06-05T06:05:00.000Z,57.751382,4.1526387,-4.8553711
2016-06-05T06:06:00.000Z,57.754229,4.1630077,-4.8555589
2016-06-05T06:07:00.000Z,57.757222,4.1734005,-4.8558110
2016-06-05T06:08:00.000Z,57.760211,4.1837904,-4.8560607
2016-06-05T06:09:00.000Z,57.763144,4.1941505,-4.8564531
2016-06-05T06:10:00.000Z,57.766000,4.2044882,-4.8566410
2016-06-05T06:11:00.000Z,57.768997,4.2148483,-4.8568907
2016-06-05T06:12:00.000Z,57.772001,4.2252097,-4.8571428
2016-06-05T06:13:00.000Z,57.774800,4.2355173,-4.8574747
2016-06-05T06:14:00.000Z,57.777808,4.2458463,-4.8577230
2016-06-05T06:15:00.000Z,57.780672,4.2561540,-4.8579109
2016-06-05T06:16:00.000Z,57.783481,4.2664304,-4.8582428
2016-06-05T06:17:00.000Z,57.786498,4.2767460,-4.8584949
2016-06-05T06:18:00.000Z,57.789371,4.2870239,-4.8586827
2016-06-05T06:19:00.000Z,57.792186,4.2972844,-4.8590133
2016-06-05T06:20:00.000Z,57.795202,4.3075839,-4.8592630
2016-06-05T06:21:00.000Z,57.798024,4.3178151,-4.8595949
2016-06-05T06:22:00.000Z,57.800907,4.3280603,-4.8597828
2016-06-05T06:23:00.000Z,57.803733,4.3382763,-4.8601147
2016-06-05T06:24:00.000Z,57.806617,4.3485229,-4.8603012
2016-06-05T06:25:00.000Z,57.809448,4.3587229,-4.8606331
2016-06-05T06:26:00.000Z,57.812340,4.3689403,-4.8608209
2016-06-05T06:27:00.000Z,57.815177,4.3791409,-4.8611552
2016-06-05T06:28:00.000Z,57.818074,4.3893417,-4.8613417
2016-06-05T06:29:00.000Z,57.820914,4.3995118,-4.8616736
2016-06-05T06:30:00.000Z,57.823613,4.4096594,-4.8619437
2016-06-05T06:31:00.000Z,57.826518,4.4198296,-4.8621315
2016-06-05T06:32:00.000Z,57.829364,4.4299845,-4.8624621
2016-06-05T06:33:00.000Z,57.832071,4.4401023,-4.8627321
