UT__yyyy-mm-ddThh:mm:ss.sssZ,BX_FGS-D_(@_1_)_nT_GSE,BY_FGS-D_(@_2_)_nT_GSE,BZ_FGS-D_(@_3_)_nT_GSE
2016-06-05T06:00:01.862Z,0.556892,3.55119,2.57233
2016-06-05T06:00:05.017Z,0.934245,3.20076,3.33995
2016-06-05T06:00:08.172Z,1.12574,4.03885,3.56576
2016-06-05T06:00:11.326Z,0.940856,4.03361,3.57914
2016-06-05T06:00:14.481Z,0.990895,3.74328,3.38174
2016-06-05T06:00:17.636Z,1.21851,4.33234,3.32428
2016-06-05T06:00:20.791Z,0.606944,4.11038,2.82946
2016-06-05T06:00:23.946Z,-0.805883,5.01557,1.80162
2016-06-05T06:00:27.100Z,-1.81468,5.82983,0.331083
2016-06-05T06:00:30.255Z,-2.06328,5.80348,-0.0235999
2016-06-05T06:00:33.410Z,-3.08996,5.77061,-0.617744
2016-06-05T06:00:36.565Z,-3.21463,5.88596,-0.861467
2016-06-05T06:00:39.720Z,-3.17024,6.06587,-1.04858
2016-06-05T06:00:42.875Z,-3.21356,5.97382,-1.35394
2016-06-05T06:00:46.029Z,-3.53692,6.02733,-1.85007
2016-06-05T06:00:49.184Z,-3.50919,5.91809,-1.69031
2016-06-05T06:00:52.339Z,-3.41039,5.88888,-1.28180
2016-06-05T06:00:55.494Z,-3.41741,5.94228,-1.19871
2016-06-05T06:00:58.649Z,-3.38550,5.97412,-1.53115
2016-06-05T06:01:01.803Z,-3.34596,5.88554,-1.36998
2016-06-05T06:01:04.958Z,-3.30038,5.91494,-1.37647
2016-06-05T06:01:08.113Z,-3.20946,5.85566,-1.26912
2016-06-05T06:01:11.268Z,-3.23785,5.80508,-1.50068
2016-06-05T06:01:14.423Z,-3.17839,5.85291,-1.08515
2016-06-05T06:01:17.577Z,-3.13012,5.86139,-1.21137
2016-06-05T06:01:20.732Z,-3.14917,5.87326,-1.22574
2016-06-05T06:01:23.887Z,-3.30038,5.91494,-1.37647
2016-06-05T06:01:27.042Z,-3.18393,6.00350,-1.23028
2016-06-05T06:01:30.197Z,-3.08406,6.06214,-1.31425
2016-06-05T06:01:33.352Z,-3.23117,5.98566,-1.38016
2016-06-05T06:01:36.506Z,-3.24586,6.02986,-1.50215
2016-06-05T06:01:39.661Z,-3.11594,6.12751,-1.19820
2016-06-05T06:01:42.816Z,-3.33000,5.91766,-1.57227
