UT__yyyy-mm-ddThh:mm:ss.sssZ,BX_FGS-D_(@_1_)_nT_GSE,BY_FGS-D_(@_2_)_nT_GSE,BZ_FGS-D_(@_3_)_nT_GSE
2017-09-15T12:30:00.136Z,-2.87154,4.67158,1.23723
2017-09-15T12:30:04.370Z,-2.86403,3.70410,1.00545
2017-09-15T12:30:08.605Z,-3.46336,4.45308,1.58136
2017-09-15T12:30:12.839Z,-3.47965,4.28293,1.58903
2017-09-15T12:30:17.073Z,-3.28513,4.66813,2.00585
2017-09-15T12:30:21.307Z,-4.35714,4.80958,2.33042
2017-09-15T12:30:25.542Z,-3.23637,3.97529,2.28449
2017-09-15T12:30:29.776Z,-3.58402,4.88385,1.74689
2017-09-15T12:30:34.010Z,-3.53863,4.34632,1.77685
2017-09-15T12:30:38.245Z,-3.48773,3.11831,2.33324
2017-09-15T12:30:42.479Z,-3.17726,4.16258,1.39548
2017-09-15T12:30:46.713Z,-3.27892,4.43254,1.53575
2017-09-15T12:30:50.948Z,-1.80574,3.68257,1.08855
2017-09-15T12:30:55.182Z,-2.95637,4.39798,-0.640027
2017-09-15T12:30:59.416Z,-3.13482,5.47461,-1.01779
2017-09-15T12:31:03.651Z,-3.88720,5.03279,0.182788
2017-09-15T12:31:07.885Z,-2.79493,3.84113,-0.0511013
2017-09-15T12:31:12.119Z,-3.13916,4.99032,0.587879
2017-09-15T12:31:16.354Z,-3.23731,5.59406,1.08116
2017-09-15T12:31:20.588Z,-3.68332,5.37657,0.515899
2017-09-15T12:31:24.822Z,-3.58024,5.55106,0.0845997
2017-09-15T12:31:29.056Z,-3.82978,5.14598,0.703587
2017-09-15T12:31:33.291Z,-2.87663,5.05019,0.0834126
2017-09-15T12:31:37.525Z,-3.26472,4.39401,-0.604625
2017-09-15T12:31:41.759Z,-3.32258,4.96326,-0.587173
2017-09-15T12:31:45.994Z,-3.74906,5.30072,-1.17696
2017-09-15T12:31:50.228Z,-2.69529,3.85590,-0.975849
2017-09-15T12:31:54.462Z,-3.49520,5.37771,1.40382
2017-09-15T12:31:58.697Z,-2.94606,4.86059,1.10313
2017-09-15T12:32:02.931Z,-2.80562,4.86328,1.09033
2017-09-15T12:32:07.165Z,-2.93536,4.92160,0.255902
2017-09-15T12:32:11.400Z,-2.95628,4.88096,0.217654
2017-09-15T12:32:15.634Z,-2.82184,4.79671,0.764962
2017-09-15T12:32:19.868Z,-3.08933,4.81376,1.18668
2017-09-15T12:32:24.103Z,-2.89208,4.81406,1.13048
2017-09-15T12:32:28.337Z,-2.69764,4.88422,1.30254
2017-09-15T12:32:32.571Z,-2.70433,4.50765,1.43887
2017-09-15T12:32:36.805Z,-2.59771,5.03247,1.09776
2017-09-15T12:32:41.040Z,-2.79284,4.77012,0.922256
2017-09-15T12:32:45.274Z,-2.77383,4.65283,0.861883
2017-09-15T12:32:49.508Z,-3.07220,4.52811,0.537147
2017-09-15T12:32:53.743Z,-2.66632,5.04731,0.614216
2017-09-15T12:32:57.977Z,-2.61915,5.16432,0.512366
2017-09-15T12:33:02.211Z,-2.50454,4.48910,0.784553
2017-09-15T12:33:06.446Z,-2.77013,4.59361,1.11228
2017-09-15T12:33:10.680Z,-2.49005,4.87642,0.625101
2017-09-15T12:33:14.914Z,-2.45976,4.94613,0.772239
2017-09-15T12:33:19.149Z,-2.33303,5.01479,0.711690
2017-09-15T12:33:23.383Z,-2.17516,4.93580,0.961944
2017-09-15T12:33:27.617Z,-2.92799,3.96884,1.75854
2017-09-15T12:33:31.852Z,-2.69819,4.94272,0.597892
2017-09-15T12:33:36.086Z,-2.31553,5.58906,-1.13056
2017-09-15T12:33:40.320Z,-1.40912,5.49502,-2.66333
2017-09-15T12:33:44.554Z,-1.60384,5.79520,-1.71661
2017-09-15T12:33:48.789Z,-1.75069,5.40845,-1.23271
2017-09-15T12:33:53.023Z,-2.53163,3.15211,2.36141
2017-09-15T12:33:57.257Z,-2.30078,3.75402,2.06734
2017-09-15T12:34:01.492Z,-2.38694,3.64338,1.98683
2017-09-15T12:34:05.726Z,-2.36165,3.67602,1.89372
2017-09-15T12:34:09.960Z,-2.42666,4.14478,1.16732
2017-09-15T12:34:14.195Z,-2.33429,4.11728,1.19804
2017-09-15T12:34:18.429Z,-2.47033,4.19361,1.00926
2017-09-15T12:34:22.663Z,-2.19301,4.60635,0.452398
2017-09-15T12:34:26.898Z,-2.60340,4.59175,0.276249
2017-09-15T12:34:31.132Z,-2.45579,4.64099,0.551879
2017-09-15T12:34:35.366Z,-2.56565,4.57611,0.398548
2017-09-15T12:34:39.600Z,-3.02710,4.09552,0.652652
2017-09-15T12:34:43.835Z,-2.66530,4.39341,0.710375
2017-09-15T12:34:48.069Z,-2.25560,4.24279,1.11079
2017-09-15T12:34:52.303Z,-2.45727,4.11994,1.40366
2017-09-15T12:34:56.538Z,-2.67741,3.88796,1.84863
2017-09-15T12:35:00.772Z,-2.36428,4.18105,1.77087
2017-09-15T12:35:05.006Z,-2.21791,2.30968,1.94072
2017-09-15T12:35:09.241Z,-3.57498,0.149415,2.27390
2017-09-15T12:35:13.475Z,-3.51979,2.36710,2.09019
2017-09-15T12:35:17.709Z,-2.77260,3.74689,1.24064
2017-09-15T12:35:21.944Z,-2.22564,4.33041,1.41369
2017-09-15T12:35:26.178Z,-1.82358,4.50677,1.06581
2017-09-15T12:35:30.412Z,-3.24818,3.79284,0.916898
2017-09-15T12:35:34.647Z,-3.01084,4.82846,-0.636742
2017-09-15T12:35:38.881Z,-0.266532,5.48625,-2.89628
2017-09-15T12:35:43.115Z,-0.443852,5.22789,-3.29755
2017-09-15T12:35:47.349Z,-0.644542,5.06786,-3.73480
2017-09-15T12:35:51.584Z,-0.850204,5.27713,-2.99386
2017-09-15T12:35:55.818Z,-0.685675,5.39021,-3.23004
2017-09-15T12:36:00.052Z,-0.474132,5.06072,-3.86500
2017-09-15T12:36:04.287Z,-0.0278604,4.99704,-3.86680
2017-09-15T12:36:08.521Z,0.489212,4.69786,-4.27381
2017-09-15T12:36:12.755Z,0.802171,4.29038,-5.03371
2017-09-15T12:36:16.990Z,0.939615,3.01091,-5.87070
2017-09-15T12:36:21.224Z,2.06543,0.722571,-6.59970
2017-09-15T12:36:25.458Z,2.78468,-0.888826,-6.24851
2017-09-15T12:36:29.693Z,3.37511,-1.84549,-5.63280
2017-09-15T12:36:33.927Z,2.91515,-1.13797,-6.23066
2017-09-15T12:36:38.161Z,3.09543,-1.47443,-6.06690
2017-09-15T12:36:42.396Z,3.07985,-1.15932,-6.39744
2017-09-15T12:36:46.630Z,2.94285,-1.21655,-6.49298
2017-09-15T12:36:50.864Z,3.13534,-1.24412,-6.51416
2017-09-15T12:36:55.098Z,3.17165,-1.48708,-6.47970
2017-09-15T12:36:59.333Z,3.41824,-1.52858,-6.40119
2017-09-15T12:37:03.567Z,2.51164,-0.735567,-7.00885
2017-09-15T12:37:07.801Z,2.59018,-1.16484,-6.95043
2017-09-15T12:37:12.036Z,2.88157,-1.61104,-6.51674
2017-09-15T12:37:16.270Z,3.01516,-1.96248,-6.20145
2017-09-15T12:37:20.504Z,2.81978,-2.49046,-6.20227
2017-09-15T12:37:24.739Z,2.99226,-1.62176,-6.20920
2017-09-15T12:37:28.973Z,3.23623,-2.57502,-6.14699
2017-09-15T12:37:33.207Z,3.35428,-2.67642,-5.50560
2017-09-15T12:37:37.442Z,2.09650,-1.04836,-6.61657
2017-09-15T12:37:41.676Z,2.68788,-0.310547,-6.59276
2017-09-15T12:37:45.910Z,2.10874,-0.329588,-6.96170
2017-09-15T12:37:50.145Z,2.20538,-1.08381,-6.69232
2017-09-15T12:37:54.379Z,2.05250,-1.41707,-6.67439
2017-09-15T12:37:58.613Z,1.90679,-0.163278,-6.93881
2017-09-15T12:38:02.847Z,3.25959,-1.93300,-5.89461
2017-09-15T12:38:07.082Z,2.80226,-0.486224,-6.32373
2017-09-15T12:38:11.316Z,2.28039,-0.0364491,-6.78750
2017-09-15T12:38:15.550Z,2.99687,-0.174456,-6.32679
2017-09-15T12:38:19.785Z,2.98419,0.629135,-6.39731
2017-09-15T12:38:24.019Z,1.23917,0.133292,-6.97428
2017-09-15T12:38:28.253Z,1.36183,0.0828633,-6.77414
2017-09-15T12:38:32.488Z,1.39076,3.55966,-5.80150
2017-09-15T12:38:36.722Z,0.853985,2.97284,-6.45220
2017-09-15T12:38:40.956Z,1.23952,1.86720,-6.84795
2017-09-15T12:38:45.191Z,0.758557,2.15204,-6.76126
2017-09-15T12:38:49.425Z,1.11278,2.67064,-6.64044
2017-09-15T12:38:53.659Z,0.736639,2.94979,-6.54558
2017-09-15T12:38:57.893Z,0.782592,3.20677,-6.45370
2017-09-15T12:39:02.128Z,1.17610,3.07662,-6.44888
2017-09-15T12:39:06.362Z,0.969620,2.95540,-6.57495
2017-09-15T12:39:10.596Z,1.07673,3.18545,-6.39500
2017-09-15T12:39:14.831Z,1.98510,1.89322,-6.63320
2017-09-15T12:39:19.065Z,0.450050,3.73824,-6.17155
2017-09-15T12:39:23.299Z,0.783805,2.59157,-6.53623
2017-09-15T12:39:27.534Z,0.574695,2.47317,-6.90165
2017-09-15T12:39:31.768Z,0.956898,3.24959,-6.31960
2017-09-15T12:39:36.002Z,1.24078,3.39174,-6.13922
2017-09-15T12:39:40.237Z,1.31976,3.41231,-6.31202
2017-09-15T12:39:44.471Z,1.12803,3.08168,-6.30907
2017-09-15T12:39:48.705Z,0.874054,2.15596,-7.00324
2017-09-15T12:39:52.940Z,0.969373,2.31010,-7.04084
2017-09-15T12:39:57.174Z,0.976579,2.68131,-6.87824
2017-09-15T12:40:01.408Z,1.04149,3.26314,-6.43229
2017-09-15T12:40:05.642Z,0.883614,3.97703,-6.04942
2017-09-15T12:40:09.877Z,0.916971,3.96113,-5.66435
2017-09-15T12:40:14.111Z,1.02108,4.01915,-5.78667
2017-09-15T12:40:18.345Z,0.911823,4.50156,-5.45190
2017-09-15T12:40:22.580Z,1.00111,4.65713,-5.23879
2017-09-15T12:40:26.814Z,1.22217,4.47631,-5.26043
2017-09-15T12:40:31.048Z,1.33592,4.48542,-5.13169
2017-09-15T12:40:35.283Z,1.09910,4.69310,-4.95535
2017-09-15T12:40:39.517Z,0.905065,5.12326,-4.32919
2017-09-15T12:40:43.751Z,1.00407,5.34178,-4.32948
2017-09-15T12:40:47.986Z,0.532761,5.15387,-4.47762
2017-09-15T12:40:52.220Z,0.896915,5.01643,-4.30780
2017-09-15T12:40:56.454Z,0.685418,5.70663,-2.84124
2017-09-15T12:41:00.689Z,0.882583,5.52460,-2.62559
2017-09-15T12:41:04.923Z,0.959995,5.38586,-3.31560
2017-09-15T12:41:09.157Z,0.872313,5.67981,-2.37250
2017-09-15T12:41:13.391Z,0.716214,5.49813,-2.43586
2017-09-15T12:41:17.626Z,0.912863,5.55907,-2.57475
2017-09-15T12:41:21.860Z,1.01431,5.49764,-2.96251
2017-09-15T12:41:26.094Z,0.772440,5.63514,-2.50077
2017-09-15T12:41:30.329Z,1.22219,5.55283,-3.11257
2017-09-15T12:41:34.563Z,0.940963,5.48660,-2.99241
2017-09-15T12:41:38.797Z,0.534006,5.39330,-3.48063
2017-09-15T12:41:43.032Z,1.03548,5.41679,-2.74699
2017-09-15T12:41:47.266Z,1.05764,5.36098,-2.93758
2017-09-15T12:41:51.500Z,0.769581,5.00840,-4.32995
2017-09-15T12:41:55.735Z,0.559531,4.98725,-4.26318
2017-09-15T12:41:59.969Z,0.357034,5.13357,-4.30049
2017-09-15T12:42:04.203Z,1.01799,4.92630,-4.41945
2017-09-15T12:42:08.438Z,1.13909,4.98543,-4.27729
2017-09-15T12:42:12.672Z,1.04734,5.03105,-4.16413
2017-09-15T12:42:16.906Z,0.504426,4.21899,-5.11828
2017-09-15T12:42:21.140Z,-0.278916,4.16509,-5.42022
2017-09-15T12:42:25.375Z,0.00914261,4.11956,-5.57770
2017-09-15T12:42:29.609Z,0.326626,4.42334,-5.42769
2017-09-15T12:42:33.843Z,0.803631,5.25517,-3.74884
2017-09-15T12:42:38.078Z,0.437808,5.10491,-3.70860
2017-09-15T12:42:42.312Z,-0.212964,4.63873,-4.79671
2017-09-15T12:42:46.546Z,-0.260659,4.95962,-4.20877
2017-09-15T12:42:50.781Z,-0.594288,5.13447,-3.50246
2017-09-15T12:42:55.015Z,-0.631257,4.29008,-5.06310
2017-09-15T12:42:59.249Z,-0.490104,3.39136,-5.85718
2017-09-15T12:43:03.484Z,-0.251000,3.51648,-5.87199
2017-09-15T12:43:07.718Z,0.000935227,3.81169,-5.64359
2017-09-15T12:43:11.952Z,-0.395494,3.44168,-6.20763
2017-09-15T12:43:16.187Z,-0.509020,3.76148,-5.87606
2017-09-15T12:43:20.421Z,-0.431877,4.03661,-5.48240
2017-09-15T12:43:24.655Z,-0.365296,3.29381,-5.88494
2017-09-15T12:43:28.889Z,-0.692291,3.54674,-5.82255
2017-09-15T12:43:33.124Z,-0.684416,2.65666,-6.41172
2017-09-15T12:43:37.358Z,-0.687409,2.50225,-6.66584
2017-09-15T12:43:41.592Z,-0.476647,2.30977,-6.73633
2017-09-15T12:43:45.827Z,-0.458325,3.11042,-6.27823
2017-09-15T12:43:50.061Z,0.285894,5.04282,-4.83394
2017-09-15T12:43:54.295Z,0.260899,4.94876,-4.86150
2017-09-15T12:43:58.530Z,-0.158197,5.21343,-4.36365
2017-09-15T12:44:02.764Z,0.271515,5.05758,-4.49994
2017-09-15T12:44:06.998Z,-0.171666,5.21186,-3.77871
2017-09-15T12:44:11.233Z,-0.593091,4.74778,-4.37030
2017-09-15T12:44:15.467Z,0.756665,4.45276,-5.01054
2017-09-15T12:44:19.701Z,0.907304,4.05568,-5.32859
2017-09-15T12:44:23.936Z,1.03973,4.49459,-4.76024
2017-09-15T12:44:28.170Z,1.05565,3.89022,-5.36765
2017-09-15T12:44:32.404Z,1.18562,3.79796,-5.52646
2017-09-15T12:44:36.638Z,2.37717,4.58934,-4.04311
2017-09-15T12:44:40.873Z,1.68753,5.00847,-3.52800
2017-09-15T12:44:45.107Z,1.17588,5.05876,-3.59140
2017-09-15T12:44:49.341Z,1.46096,4.98218,-3.66594
2017-09-15T12:44:53.576Z,1.21271,5.08643,-3.49233
2017-09-15T12:44:57.810Z,1.51651,5.06799,-3.34909
2017-09-15T12:45:02.044Z,1.23114,5.17902,-3.38160
2017-09-15T12:45:06.279Z,1.59611,5.10667,-3.37801
2017-09-15T12:45:10.513Z,2.27540,4.66868,-3.49959
2017-09-15T12:45:14.747Z,2.40361,4.70522,-3.50079
2017-09-15T12:45:18.982Z,2.01418,5.12640,-3.57191
2017-09-15T12:45:23.216Z,1.86243,4.88492,-3.60011
2017-09-15T12:45:27.450Z,0.806717,5.14257,-3.73864
2017-09-15T12:45:31.684Z,0.735887,5.22884,-3.58723
2017-09-15T12:45:35.919Z,0.899397,5.15938,-3.53968
2017-09-15T12:45:40.153Z,0.829539,5.33289,-3.47037
2017-09-15T12:45:44.387Z,1.12130,5.19290,-3.47374
2017-09-15T12:45:48.622Z,1.65739,4.84690,-3.74852
2017-09-15T12:45:52.856Z,1.39479,4.92024,-3.82773
2017-09-15T12:45:57.090Z,0.997275,4.46565,-4.78803
2017-09-15T12:46:01.325Z,1.15896,4.49107,-4.91834
2017-09-15T12:46:05.559Z,1.13085,4.49305,-4.69329
2017-09-15T12:46:09.793Z,0.912943,4.19791,-5.01468
2017-09-15T12:46:14.028Z,0.836164,4.09764,-5.34543
2017-09-15T12:46:18.262Z,1.24831,5.01563,-4.00505
2017-09-15T12:46:22.496Z,1.47710,5.23590,-3.46884
2017-09-15T12:46:26.731Z,1.50659,4.48119,-4.43662
2017-09-15T12:46:30.965Z,1.35692,4.29537,-4.93010
2017-09-15T12:46:35.199Z,1.12993,4.50111,-4.81282
2017-09-15T12:46:39.433Z,0.650580,4.53796,-4.95762
2017-09-15T12:46:43.668Z,0.945613,5.06471,-4.20746
