EPOCH__yyyy-mm-ddThh:mm:ss.sssZ,X_(@_x_)_RE,Y_(@_y_)_RE,Z_(@_z_)_RE
2018-10-09T05:00:00.000Z,14.494231,-1.0347640,2.6899335
2018-10-09T05:01:00.000Z,14.498923,-1.0283584,2.6935762
2018-10-09T05:02:00.000Z,14.503583,-1.0219574,2.6972096
2018-10-09T05:03:00.000Z,14.508222,-1.0155646,2.7008356
2018-10-09T05:04:00.000Z,14.512834,-1.0091634,2.7044600
2018-10-09T05:05:00.000Z,14.517415,-1.0027525,2.7080814
2018-10-09T05:06:00.000Z,14.521976,-0.99635025,2.7116954
2018-10-09T05:07:00.000Z,14.526525,-0.98994347,2.7153063
2018-10-09T05:08:00.000Z,14.531028,-0.98352282,2.7189159
2018-10-09T05:09:00.000Z,14.535527,-0.97711507,2.7225178
2018-10-09T05:10:00.000Z,14.539991,-0.97071189,2.7261105
2018-10-09T05:11:00.000Z,14.544429,-0.96430011,2.7297019
2018-10-09T05:12:00.000Z,14.548848,-0.95788224,2.7332902
2018-10-09T05:13:00.000Z,14.553236,-0.95146963,2.7368710
2018-10-09T05:14:00.000Z,14.557595,-0.94504829,2.7404503
2018-10-09T05:15:00.000Z,14.561953,-0.93862477,2.7440269
2018-10-09T05:16:00.000Z,14.566260,-0.93220218,2.7475956
2018-10-09T05:17:00.000Z,14.570556,-0.92577443,2.7511614
2018-10-09T05:18:00.000Z,14.574832,-0.91935568,2.7547198
2018-10-09T05:19:00.000Z,14.579077,-0.91292768,2.7582765
2018-10-09T05:20:00.000Z,14.583291,-0.90650429,2.7618241
2018-10-09T05:21:00.000Z,14.587488,-0.90007552,2.7653702
2018-10-09T05:22:00.000Z,14.591653,-0.89365138,2.7689075
2018-10-09T05:23:00.000Z,14.595806,-0.88720839,2.7724494
2018-10-09T05:24:00.000Z,14.599936,-0.88078805,2.7759774
2018-10-09T05:25:00.000Z,14.604026,-0.87434010,2.7795088
2018-10-09T05:26:00.000Z,14.608110,-0.86791980,2.7830263
2018-10-09T05:27:00.000Z,14.612150,-0.86147102,2.7865471
2018-10-09T05:28:00.000Z,14.616187,-0.85503559,2.7900603
2018-10-09T05:29:00.000Z,14.620176,-0.84860079,2.7935656
2018-10-09T05:30:00.000Z,14.624165,-0.84216554,2.7970697
2018-10-09T05:31:00.000Z,14.628111,-0.83571642,2.8005707
2018-10-09T05:32:00.000Z,14.632038,-0.82927575,2.8040630
2018-10-09T05:33:00.000Z,14.635948,-0.82283025,2.8075534
2018-10-09T05:34:00.000Z,14.639830,-0.81637572,2.8110425
2018-10-09T05:35:00.000Z,14.643694,-0.80993018,2.8145241
2018-10-09T05:36:00.000Z,14.647523,-0.80348866,2.8179964
2018-10-09T05:37:00.000Z,14.651337,-0.79704123,2.8214661
2018-10-09T05:38:00.000Z,14.655123,-0.79058643,2.8249355
2018-10-09T05:39:00.000Z,14.658873,-0.78413496,2.8283959
2018-10-09T05:40:00.000Z,14.662610,-0.77767871,2.8318533
2018-10-09T05:41:00.000Z,14.666327,-0.77123085,2.8353030
2018-10-09T05:42:00.000Z,14.670015,-0.76477402,2.8387516
2018-10-09T05:43:00.000Z,14.673673,-0.75830841,2.8421985
2018-10-09T05:44:00.000Z,14.677314,-0.75185104,2.8456363
2018-10-09T05:45:00.000Z,14.680935,-0.74540228,2.8490649
2018-10-09T05:46:00.000Z,14.684530,-0.73893083,2.8525000
2018-10-09T05:47:00.000Z,14.688087,-0.73247776,2.8559196
2018-10-09T05:48:00.000Z,14.691633,-0.72600484,2.8593426
2018-10-09T05:49:00.000Z,14.695161,-0.71954210,2.8627593
2018-10-09T05:50:00.000Z,14.698656,-0.71308318,2.8661670
2018-10-09T05:51:00.000Z,14.702122,-0.70661524,2.8695716
2018-10-09T05:52:00.000Z,14.705572,-0.70014168,2.8729752
2018-10-09T05:53:00.000Z,14.709003,-0.69367760,2.8763707
2018-10-09T05:54:00.000Z,14.712401,-0.68721761,2.8797571
2018-10-09T05:55:00.000Z,14.715772,-0.68073434,2.8831484
2018-10-09T05:56:00.000Z,14.719122,-0.67427419,2.8865259
2018-10-09T05:57:00.000Z,14.722460,-0.66779512,2.8899081
2018-10-09T05:58:00.000Z,14.725764,-0.66132057,2.8932812
2018-10-09T05:59:00.000Z,14.729050,-0.65485353,2.8966453
2018-10-09T06:00:00.000Z,14.732308,-0.64837885,2.9000076
2018-10-09T06:01:00.000Z,14.735533,-0.64189391,2.9033688
2018-10-09T06:02:00.000Z,14.738742,-0.63541861,2.9067222
2018-10-09T06:03:00.000Z,14.741932,-0.62895159,2.9100667
2018-10-09T06:04:00.000Z,14.745094,-0.62246114,2.9134158
2018-10-09T06:05:00.000Z,14.748235,-0.61599418,2.9167510
2018-10-09T06:06:00.000Z,14.751350,-0.60950320,2.9200895
2018-10-09T06:07:00.000Z,14.754431,-0.60301637,2.9234190
2018-10-09T06:08:00.000Z,14.757509,-0.59654388,2.9267422
2018-10-09T06:09:00.000Z,14.760543,-0.59005713,2.9300625
2018-10-09T06:10:00.000Z,14.763561,-0.58356582,2.9333815
2018-10-09T06:11:00.000Z,14.766560,-0.57708219,2.9366911
2018-10-09T06:12:00.000Z,14.769527,-0.57060424,2.9399933
2018-10-09T06:13:00.000Z,14.772481,-0.56410691,2.9433002
2018-10-09T06:14:00.000Z,14.775414,-0.55763207,2.9465917
2018-10-09T06:15:00.000Z,14.778306,-0.55112978,2.9498881
2018-10-09T06:16:00.000Z,14.781191,-0.54465508,2.9531706
2018-10-09T06:17:00.000Z,14.784049,-0.53815627,2.9564562
2018-10-09T06:18:00.000Z,14.786874,-0.53166267,2.9597344
2018-10-09T06:19:00.000Z,14.789681,-0.52517792,2.9630049
2018-10-09T06:20:00.000Z,14.792457,-0.51868337,2.9662725
2018-10-09T06:21:00.000Z,14.795218,-0.51218348,2.9695388
2018-10-09T06:22:00.000Z,14.797962,-0.50569346,2.9727971
2018-10-09T06:23:00.000Z,14.800675,-0.49919301,2.9760528
2018-10-09T06:24:00.000Z,14.803354,-0.49269760,2.9793007
2018-10-09T06:25:00.000Z,14.806015,-0.48621139,2.9825408
2018-10-09T06:26:00.000Z,14.808666,-0.47970574,2.9857845
2018-10-09T06:27:00.000Z,14.811282,-0.47320479,2.9890204
2018-10-09T06:28:00.000Z,14.813878,-0.46671162,2.9922472
2018-10-09T06:29:00.000Z,14.816446,-0.46021034,2.9954740
2018-10-09T06:30:00.000Z,14.818997,-0.45371739,2.9986901
2018-10-09T06:31:00.000Z,14.821515,-0.44721521,3.0019065
2018-10-09T06:32:00.000Z,14.824020,-0.44070774,3.0051200
2018-10-09T06:33:00.000Z,14.826492,-0.43420532,3.0083256
2018-10-09T06:34:00.000Z,14.828945,-0.42771175,3.0115236
2018-10-09T06:35:00.000Z,14.831387,-0.42119868,3.0147250
2018-10-09T06:36:00.000Z,14.833791,-0.41470419,3.0179126
2018-10-09T06:37:00.000Z,14.836165,-0.40819989,3.0210972
2018-10-09T06:38:00.000Z,14.838525,-0.40169195,3.0242817
2018-10-09T06:39:00.000Z,14.840866,-0.39519186,3.0274573
2018-10-09T06:40:00.000Z,14.843177,-0.38868195,3.0306299
2018-10-09T06:41:00.000Z,14.845474,-0.38216742,3.0338011
2018-10-09T06:42:00.000Z,14.847732,-0.37567135,3.0369582
2018-10-09T06:43:00.000Z,14.849980,-0.36915647,3.0401203
