time_start,time_stop,MMS,THEMIS,ARTEMIS,OMNI
2011-10-24T18:10:00.000Z,2011-10-24T23:30:00.000Z,999,a,b,999
2011-12-28T16:20:00.000Z,2011-12-28T17:55:00.000Z,999,e,b,999
2013-01-17T10:30:00.000Z,2013-01-17T15:15:00.000Z,999,d,b,999
2014-02-27T16:30:00.000Z,2014-02-27T18:30:00.000Z,999,d,b,999
2014-02-27T18:30:00.000Z,2014-02-27T21:40:00.000Z,999,d,b,999
2014-04-05T19:30:00.000Z,2014-04-05T23:00:00.000Z,999,d,b,999
2015-03-16T03:50:00.000Z,2015-03-16T06:30:00.000Z,999,d,b,999
2015-03-17T04:20:00.000Z,2015-03-17T07:30:00.000Z,999,e,b,999
2017-09-15T12:00:00.000Z,2017-09-15T15:30:00.000Z,999,e,b,999
2015-04-20T20:10:00.000Z,2015-04-20T22:10:00.000Z,999,a,b,999
2015-06-12T17:10:00.000Z,2015-06-12T19:30:00.000Z,999,a,b,999
2016-06-05T05:00:00.000Z,2016-06-05T09:00:00.000Z,999,d,b,999
2018-10-09T04:00:00.000Z,2018-10-09T07:00:00.000Z,999,d,b,999
2019-11-27T13:00:00.000Z,2019-11-27T20:00:00.000Z,999,d,b,999
2016-08-02T12:15:00.000Z,2016-08-02T15:20:00.000Z,999,e,b,999
2017-09-27T04:30:00.000Z,2017-09-27T07:40:00.000Z,999,a,b,999
2018-09-13T00:00:00.000Z,2018-09-13T04:30:00.000Z,999,d,b,999
