Start	Stop	MMS	THEMIS	ARTEMIS	OMNI
2011-10-24T18:10:00	2011-10-24T23:30:00	999	999	999	999
2011-12-28T16:20:00	2011-12-28T17:55:00				
2013-01-17T10:30:00	2013-01-17T15:15:00				
2014-02-27T16:30:00	2014-02-27T18:30:00				
2014-02-27T18:30:00	2014-02-27T21:40:00				
2014-04-05THH:MM:SS	2014-04-05THH:MM:SS				
2015-03-16THH:MM:SS	2015-03-16THH:MM:SS				
2015-03-17THH:MM:SS	2015-03-17THH:MM:SS				
2017-09-15THH:MM:SS	2017-09-15THH:MM:SS				
2015-04-20THH:MM:SS	2015-04-20THH:MM:SS				
2015-06-12THH:MM:SS	2015-06-12THH:MM:SS				
2015-06-05THH:MM:SS	2015-06-05THH:MM:SS				
2018-10-09THH:MM:SS	2018-10-09THH:MM:SS				
2019-11-27THH:MM:SS	2019-11-27THH:MM:SS				
2016-08-02THH:MM:SS	2016-08-02THH:MM:SS				
2017-09-27THH:MM:SS	2017-09-27THH:MM:SS				
2018-09-13THH:MM:SS	2018-09-13THH:MM:SS				
