,Time,BX_GSE,BY_GSE,BZ_GSE,Vx,Vy,Vz,proton_density,T
0,2018-09-13 00:30:00,-0.87,2.44,-4.38,-486.2,4.6,-4.5,5.54,103695.0
1,2018-09-13 00:31:00,-0.01,2.58,-3.88,-488.1,2.6,-5.6,5.55,102230.0
2,2018-09-13 00:32:00,0.64,4.09,-2.76,-496.6,-6.0,-10.2,5.62,95834.0
3,2018-09-13 00:33:00,0.66,3.55,-3.31,-496.6,-6.0,-10.2,5.62,95834.0
4,2018-09-13 00:34:00,0.14,3.4,-3.55,-496.7,-3.3,-8.5,5.49,107741.0
5,2018-09-13 00:35:00,0.31,3.17,-3.79,-495.9,-2.3,-7.5,5.5,108369.0
6,2018-09-13 00:36:00,0.24,2.27,-4.33,-492.9,1.7,-3.8,5.55,110826.0
7,2018-09-13 00:37:00,0.41,2.13,-4.41,-493.8,5.7,-0.8,5.7,98956.0
8,2018-09-13 00:38:00,0.32,2.13,-4.49,-493.9,5.9,-0.6,5.71,98257.0
9,2018-09-13 00:39:00,0.37,1.84,-4.68,-491.8,6.5,-0.4666667,5.6766667,99902.664
10,2018-09-13 00:40:00,0.16,1.64,-4.69,-489.7,7.1,-0.33333334,5.6433334,101548.336
11,2018-09-13 00:41:00,-0.67,1.58,-4.46,-487.6,7.7,-0.2,5.61,103194.0
12,2018-09-13 00:42:00,-0.92,2.07,-4.57,-487.6,7.7,-0.2,5.61,103194.0
13,2018-09-13 00:43:00,-1.17,1.71,-4.17,-486.0,8.9,-6.5,5.7,108526.0
14,2018-09-13 00:44:00,-1.34,0.26,-4.16,-484.7,14.4,-9.4,6.26,125720.0
15,2018-09-13 00:45:00,-0.85,0.35,-3.86,-486.9,16.9,-7.5,6.42,129783.0
16,2018-09-13 00:46:00,-0.96,0.6,-4.08,-487.6,16.3,-7.3,6.31,126907.0
17,2018-09-13 00:47:00,-2.1,-0.22,-3.34,-480.2,18.166666,-10.8,5.9733334,115278.0
18,2018-09-13 00:48:00,-2.84,-0.39,-2.85,-472.8,20.033333,-14.299999,5.636667,103649.0
19,2018-09-13 00:49:00,-3.92,-0.59,-1.62,-465.4,21.9,-17.8,5.3,92020.0
20,2018-09-13 00:50:00,-4.76,-0.61,-0.21,-465.4,21.9,-17.8,5.3,92020.0
21,2018-09-13 00:51:00,-4.71,-0.14,0.2,-462.5,19.0,-26.6,5.45,117128.0
22,2018-09-13 00:52:00,-4.16,1.15,-0.61,-468.6,15.2,-24.7,5.85,124876.0
23,2018-09-13 00:53:00,-3.37,2.25,-1.16,-469.7,9.0,-25.4,5.84,120719.0
24,2018-09-13 00:54:00,-2.98,2.57,-1.05,-477.9,5.7,-23.7,6.24,128801.0
25,2018-09-13 00:55:00,-3.09,2.32,-0.94,-477.4,7.8,-23.9,6.41,135356.0
26,2018-09-13 00:56:00,-3.09,2.46,-0.99,-477.4,7.8,-23.9,6.41,135356.0
27,2018-09-13 00:57:00,-3.17,2.57,-0.78,-476.25,5.45,-25.4,6.045,135642.5
28,2018-09-13 00:58:00,-3.21,2.75,-0.55,-475.1,3.1,-26.9,5.68,135929.0
29,2018-09-13 00:59:00,-3.11,3.53,-0.07,-475.1,3.1,-26.9,5.68,135929.0
30,2018-09-13 01:00:00,-3.53,3.99,0.55,-473.4,-0.8,-28.7,4.97,98257.0
31,2018-09-13 01:01:00,-3.73,3.79,0.79,-473.6,-0.9,-28.6,5.03,99765.0
32,2018-09-13 01:02:00,-2.78,4.03,0.18,-475.4,-2.5,-27.5,5.66,116066.0
33,2018-09-13 01:03:00,-2.26,4.05,-0.23,-475.4,-5.9,-26.6,5.76,105318.0
34,2018-09-13 01:04:00,-2.21,4.25,-0.3,-475.4,-6.3,-26.5,5.77,104196.0
35,2018-09-13 01:05:00,-1.8,4.41,-0.05,-475.25,-5.6000004,-28.2,5.7650003,106737.0
36,2018-09-13 01:06:00,-1.99,4.26,0.27,-475.1,-4.9,-29.9,5.76,109278.0
37,2018-09-13 01:07:00,-2.05,4.23,0.36,-475.1,-4.9,-29.9,5.76,109278.0
38,2018-09-13 01:08:00,-1.98,4.2,0.53,-474.15002,-3.15,-31.5,5.455,107240.5
39,2018-09-13 01:09:00,-2.77,3.86,1.26,-473.2,-1.4,-33.1,5.15,105203.0
40,2018-09-13 01:10:00,-2.12,4.19,0.49,-476.5,-3.1,-32.5,5.24,112313.0
41,2018-09-13 01:11:00,-1.71,4.64,0.51,-479.2,-9.1,-29.4,5.25,107619.0
42,2018-09-13 01:12:00,-1.17,4.67,0.51,-487.2,-13.8,-30.3,5.27,118005.0
43,2018-09-13 01:13:00,-1.35,4.57,1.08,-487.3,-13.8,-30.3,5.27,118195.0
