,Time,BX_GSE,BY_GSE,BZ_GSE,Vx,Vy,Vz,proton_density,T
0,2015-03-16 04:20:00,2.63,-2.74,5.99,-347.0,7.0,-6.7,28.08,38077.0
1,2015-03-16 04:21:00,2.7,-2.97,6.91,-347.1,7.2,-6.1,28.24,38420.0
2,2015-03-16 04:22:00,2.71,-2.25,7.47,-348.7,2.4,-14.0,25.24,34270.0
3,2015-03-16 04:23:00,2.27,-1.26,7.67,-348.7,2.4,-14.0,25.24,34270.0
4,2015-03-16 04:24:00,2.96,-3.56,7.37,-348.03336,0.30000004,-14.4,25.226667,33238.332
5,2015-03-16 04:25:00,2.63,-3.73,7.4,-347.36667,-1.8000001,-14.8,25.213333,32206.666
6,2015-03-16 04:26:00,2.39,-2.4,7.87,-346.7,-3.9,-15.2,25.2,31175.0
7,2015-03-16 04:27:00,2.34,-0.19,8.24,-346.7,-3.9,-15.2,25.2,31175.0
8,2015-03-16 04:28:00,1.58,-1.79,8.49,-346.5,-0.2,-16.6,25.5,31175.0
9,2015-03-16 04:29:00,1.35,-2.93,8.26,-346.4,0.9,-17.0,25.59,31175.0
10,2015-03-16 04:30:00,1.03,-3.94,7.97,-345.0,2.9,-17.0,24.62,35139.0
11,2015-03-16 04:31:00,1.05,-3.47,8.38,-345.0,2.9,-17.0,24.62,35139.0
12,2015-03-16 04:32:00,1.36,-3.73,8.27,-344.8,2.95,-16.85,24.455002,33851.5
13,2015-03-16 04:33:00,1.32,-4.02,8.17,-344.6,3.0,-16.7,24.29,32564.0
14,2015-03-16 04:34:00,0.99,-4.7,8.04,-344.6,3.0,-16.7,24.29,32564.0
15,2015-03-16 04:35:00,0.37,-5.78,7.67,-343.3,4.6,-15.2,23.78,31473.0
16,2015-03-16 04:36:00,0.23,-6.54,6.89,-341.3,7.0,-13.0,23.0,29817.0
17,2015-03-16 04:37:00,0.76,-6.2,5.49,-343.7,6.3,-11.2,23.96,36135.0
18,2015-03-16 04:38:00,2.14,0.16,5.03,-344.2,6.1,-10.8,24.17,37511.0
19,2015-03-16 04:39:00,2.85,-0.55,5.48,-345.6,6.1,-11.9,29.94,45421.0
20,2015-03-16 04:40:00,2.28,-1.87,5.29,-345.7,3.9,-11.0,29.82,43638.0
21,2015-03-16 04:41:00,0.33,-4.69,3.16,-346.1,-0.2,-9.7,29.88,40720.0
22,2015-03-16 04:42:00,0.13,-6.4,1.69,-347.0,-8.2,-8.2,30.92,36612.0
23,2015-03-16 04:43:00,-0.48,-6.07,2.2,-346.8,-8.1,-9.5,31.83,38392.0
24,2015-03-16 04:44:00,-0.1,-5.62,2.2,-346.9,-10.3,-10.4,31.38,37867.0
25,2015-03-16 04:45:00,-0.02,-5.61,2.08,-347.0,-11.7,-10.9,31.13,37558.0
26,2015-03-16 04:46:00,0.55,-3.09,3.16,-346.8,-7.8,-5.2,34.41,40143.0
27,2015-03-16 04:47:00,0.54,-3.23,3.28,-346.2,-5.4,-1.5,34.96,40716.0
28,2015-03-16 04:48:00,0.11,-3.3,3.15,-343.8,-3.2,2.5,35.11,42864.0
29,2015-03-16 04:49:00,0.43,-3.37,3.29,-342.2,-2.5,3.8,35.15,43918.0
30,2015-03-16 04:50:00,-0.34,-3.43,2.9,-344.3,-5.3,-1.1,35.29,40417.0
31,2015-03-16 04:51:00,-0.18,-3.72,2.99,-346.6,-8.5,-3.3,34.31,40234.0
32,2015-03-16 04:52:00,-0.75,-3.69,1.77,-347.1,-8.5,-2.6,34.74,39175.0
33,2015-03-16 04:53:00,-2.22,-2.87,-0.91,-348.3,5.4,-15.9,25.95,29817.0
34,2015-03-16 04:54:00,-1.35,-2.83,1.08,-347.3,2.1,-10.1,30.24,33298.0
35,2015-03-16 04:55:00,-3.0,-2.76,-1.49,-346.5,-0.5,-5.3,33.72,36129.0
36,2015-03-16 04:56:00,-3.29,-2.7,-1.81,-344.6,-1.2,-1.5,35.88,38116.0
37,2015-03-16 04:57:00,-1.95,-1.85,-0.79,-344.7,-2.5,-0.3,35.43,40453.0
38,2015-03-16 04:58:00,-2.8,-1.97,-3.28,-345.8,-3.2,-0.7,35.86,39285.0
39,2015-03-16 04:59:00,-2.82,-2.24,-3.37,-346.5,-2.9,-0.3,35.62,34681.0
40,2015-03-16 05:00:00,-2.61,-2.13,-3.34,-345.4,-0.1,-2.7,36.39,34149.0
41,2015-03-16 05:01:00,-3.23,-1.28,-4.73,-345.4,-0.1,-2.7,36.34,34170.0
42,2015-03-16 05:02:00,-3.09,-1.24,-4.94,-344.9,3.4,-6.3,34.39,32004.0
43,2015-03-16 05:03:00,-3.135,-1.315,-5.05,-344.9,3.4,-6.3,34.39,32004.0
44,2015-03-16 05:04:00,-3.18,-1.39,-5.16,-345.0,4.1000004,-5.05,35.265,32850.0
45,2015-03-16 05:05:00,-3.19,-0.93,-4.8,-345.1,4.8,-3.8,36.14,33696.0
46,2015-03-16 05:06:00,-4.13,-0.57,-5.32,-345.8,4.1,-4.6,34.71,32977.0
47,2015-03-16 05:07:00,-4.11,-1.0,-4.98,-345.8,3.9,-4.9,34.34,32439.0
48,2015-03-16 05:08:00,-3.18,-1.25,-5.09,-344.2,4.7,-4.1,35.92,32004.0
49,2015-03-16 05:09:00,-3.34,-1.66,-4.51,-341.7,3.7,-4.1,36.67,31733.0
50,2015-03-16 05:10:00,-3.48,-1.48,-4.84,-342.1,3.8,-3.8,36.57,31880.0
51,2015-03-16 05:11:00,-3.73,-1.4,-5.44,-342.3,3.5,-3.5,36.22,31704.0
52,2015-03-16 05:12:00,-3.46,-1.35,-5.86,-342.9,2.7,-4.7,34.64,31406.0
53,2015-03-16 05:13:00,-3.39,-1.12,-7.11,-346.5,1.9,-9.5,30.4,32415.0
54,2015-03-16 05:14:00,-3.17,-0.93,-7.35,-346.2,2.2,-9.0,30.74,33126.0
55,2015-03-16 05:15:00,-3.18,-0.8,-7.37,-346.2,2.2,-9.0,30.74,33127.0
56,2015-03-16 05:16:00,-3.29,-0.91,-7.25,-346.4,2.5,-8.6,30.15,31175.0
57,2015-03-16 05:17:00,-3.46,-0.84,-7.04,-346.4,2.5,-8.6,30.15,31175.0
58,2015-03-16 05:18:00,-3.44,-0.99,-6.88,-345.59998,2.4,-7.4,31.41,31038.0
59,2015-03-16 05:19:00,-3.2,-0.99,-6.7,-344.8,2.3,-6.2,32.67,30901.0
60,2015-03-16 05:20:00,-2.95,-0.83,-6.81,-344.8,2.3,-6.2,32.67,30901.0
61,2015-03-16 05:21:00,-2.96,-1.18,-6.48,-344.8,2.3,-6.2,32.67,30901.0
62,2015-03-16 05:22:00,-2.86,-1.58,-5.95,-344.7,2.0,-5.7,33.42,31175.5
63,2015-03-16 05:23:00,-2.96,-1.52,-5.93,-344.6,1.7,-5.2,34.17,31450.0
64,2015-03-16 05:24:00,-3.08,-1.59,-5.98,-344.6,1.7,-5.2,34.17,31450.0
65,2015-03-16 05:25:00,-2.51,-0.16,-6.59,-344.6,1.7,-5.2,34.17,31450.0
66,2015-03-16 05:26:00,-2.51,-0.16,-6.59,-344.75,1.625,-5.725,33.899998,31312.75
67,2015-03-16 05:27:00,-2.38,0.07,-6.87,-344.90002,1.55,-6.25,33.629997,31175.5
68,2015-03-16 05:28:00,-2.36,0.04,-6.94,-345.05002,1.475,-6.775,33.36,31038.25
69,2015-03-16 05:29:00,-2.59,0.2,-6.81,-345.2,1.4,-7.3,33.09,30901.0
70,2015-03-16 05:30:00,-2.62,0.42,-6.86,-345.2,1.4,-7.3,33.09,30901.0
71,2015-03-16 05:31:00,-2.62,0.53,-6.77,-345.2,1.4,-7.3,33.09,30901.0
72,2015-03-16 05:32:00,-2.5966666,0.3633333,-6.5233335,-345.15002,1.25,-7.2000003,33.427498,31316.75
73,2015-03-16 05:33:00,-2.5733333,0.19666666,-6.2766666,-345.1,1.1,-7.1000004,33.765,31732.5
74,2015-03-16 05:34:00,-2.55,0.03,-6.03,-345.05,0.95,-7.0,34.1025,32148.25
75,2015-03-16 05:35:00,-2.6,0.16,-5.88,-345.0,0.8,-6.9,34.44,32564.0
76,2015-03-16 05:36:00,-2.53,0.59,-5.72,-344.2,-0.5,-5.7,35.87,32337.0
77,2015-03-16 05:37:00,-2.39,0.94,-5.79,-343.4,-2.1,-4.2,37.82,32125.0
78,2015-03-16 05:38:00,-2.52,0.46,-5.94,-345.0,-0.0,-5.4,36.87,32838.0
79,2015-03-16 05:39:00,-2.49,-0.04,-6.48,-347.7,1.2,-4.3,39.15,33964.0
80,2015-03-16 05:40:00,-2.31,-0.08,-6.63,-347.7,1.2,-4.3,39.19,33982.0
81,2015-03-16 05:41:00,-2.07,-0.06,-6.33,-348.43335,0.70000005,-4.5333333,39.623333,34661.0
82,2015-03-16 05:42:00,-2.19,0.22,-6.28,-349.16666,0.2,-4.766667,40.056667,35340.0
83,2015-03-16 05:43:00,-2.25,0.57,-6.3,-349.9,-0.3,-5.0,40.49,36019.0
84,2015-03-16 05:44:00,-2.345,0.76,-6.38,-349.9,-0.3,-5.0,40.49,36019.0
85,2015-03-16 05:45:00,-2.44,0.95,-6.46,-350.075,-0.77500004,-4.95,40.8975,35653.75
86,2015-03-16 05:46:00,-2.57,1.36,-6.34,-350.25,-1.25,-4.9,41.305,35288.5
87,2015-03-16 05:47:00,-2.45,1.64,-6.25,-350.425,-1.725,-4.8500004,41.7125,34923.25
88,2015-03-16 05:48:00,-2.39,1.51,-6.31,-350.6,-2.2,-4.8,42.12,34558.0
89,2015-03-16 05:49:00,-2.49,2.17,-6.04,-350.6,-2.2,-4.8,42.12,34558.0
90,2015-03-16 05:50:00,-2.43,2.02,-6.2,-350.9,-1.3,-4.7,42.18,35559.0
91,2015-03-16 05:51:00,-2.1,2.19,-6.13,-351.0,-1.2,-4.7,42.19,35725.0
92,2015-03-16 05:52:00,-1.99,1.26,-6.37,-351.7,2.6,1.0,44.55,37777.0
93,2015-03-16 05:53:00,-2.17,0.66,-6.43,-352.4,2.1,-0.1,44.16,36088.0
94,2015-03-16 05:54:00,-1.97,1.75,-6.09,-351.7,-0.3,-3.9,43.34,34921.0
95,2015-03-16 05:55:00,-2.12,1.81,-6.11,-351.4,-1.0,-4.9,43.19,34848.0
96,2015-03-16 05:56:00,-2.09,1.95,-6.3,-351.6,-0.6142857,-4.0,42.36857,34724.285
97,2015-03-16 05:57:00,-1.8599999,1.6500001,-6.205,-351.8,-0.22857141,-3.1000001,41.547142,34600.57
98,2015-03-16 05:58:00,-1.63,1.35,-6.11,-352.0,0.15714288,-2.2,40.72571,34476.855
99,2015-03-16 05:59:00,-1.6,1.37,-5.81,-352.19998,0.54285717,-1.3000001,39.904285,34353.145
