,Time,BX_GSE,BY_GSE,BZ_GSE,Vx,Vy,Vz,proton_density,T,Xpos
0,2016-06-05 05:30:00,-1.26,6.51,-1.9,-318.9,-37.6,4.2,29.8,32845.0,1303947.0
1,2016-06-05 05:31:00,-0.96,6.6,-2.72,-318.9,-37.6,4.2,29.8,32845.0,1303947.0
2,2016-06-05 05:32:00,-2.04,6.27,-2.33,-318.9,-37.6,4.2,29.8,32845.0,1303947.0
3,2016-06-05 05:33:00,-2.01,6.29,-2.23,-318.8,-36.6,4.3,29.66,32564.0,1303947.0
4,2016-06-05 05:34:00,-2.81,6.18,-1.7,-318.8,-36.6,4.3,29.66,32564.0,1303947.0
5,2016-06-05 05:35:00,-2.68,6.42,-1.52,-318.8,-36.6,4.3,29.66,32564.0,1303947.0
6,2016-06-05 05:36:00,-1.65,5.8,-3.83,-318.8,-37.5,6.5,29.7,28752.0,1303947.0
7,2016-06-05 05:37:00,-1.45,6.29,-3.06,-318.8,-37.5,6.5,29.7,28752.0,1303947.0
8,2016-06-05 05:38:00,-1.83,5.93,-3.2,-320.0,-36.4,8.3,30.66,31757.0,1303947.0
9,2016-06-05 05:39:00,-1.46,5.81,-3.6,-320.1,-36.3,8.4,30.74,32004.0,1303947.0
10,2016-06-05 05:40:00,-1.8,5.69,-4.16,-321.5,-39.0,6.5,30.62,32845.0,1303947.0
11,2016-06-05 05:41:00,-1.24,6.33,-3.28,-321.5,-39.0,6.5,30.62,32845.0,1303947.0
12,2016-06-05 05:42:00,-1.02,6.22,-2.94,-320.1,-36.9,9.9,30.29,32564.0,1303947.0
13,2016-06-05 05:43:00,-0.9,6.07,-2.9,-320.1,-36.9,9.9,30.29,32564.0,1303947.0
14,2016-06-05 05:44:00,-0.77,6.25,-2.68,-320.9,-36.7,10.2,31.44,31727.0,1303947.0
15,2016-06-05 05:45:00,-1.42,6.38,-1.32,-320.9,-36.7,10.2,31.44,31727.0,1303947.0
16,2016-06-05 05:46:00,-0.79,6.28,1.39,-321.1,-35.3,9.4,31.94,26680.0,1303947.0
17,2016-06-05 05:47:00,-0.89,6.02,2.1,-321.1,-35.3,9.4,31.94,26713.0,1303947.0
18,2016-06-05 05:48:00,-1.12,5.93,2.12,-321.0,-35.8,11.1,32.01,27966.0,1303947.0
19,2016-06-05 05:49:00,-0.62,5.77,2.73,-320.1,-37.4,12.4,31.17,28090.0,1303947.0
20,2016-06-05 05:50:00,-0.26,5.7,2.95,-320.0,-37.5,12.6,31.06,28088.0,1303947.0
21,2016-06-05 05:51:00,-0.58,5.1,3.48,-318.8,-37.6,12.1,33.17,30086.0,1303947.0
22,2016-06-05 05:52:00,-0.24,4.95,4.06,-320.9,-36.5,10.4,32.09,30231.0,1303947.0
23,2016-06-05 05:53:00,-0.04,4.94,3.68,-321.6,-36.0,9.6,31.84,30172.0,1303947.0
24,2016-06-05 05:54:00,-1.47,6.15,2.95,-319.2,-39.8,10.2,30.82,25924.0,1303947.0
25,2016-06-05 05:55:00,-1.32,6.19,3.45,-319.3,-39.4,12.3,31.33,26259.0,1303947.0
26,2016-06-05 05:56:00,-1.21,6.13,3.34,-319.1,-39.3,14.1,31.47,26135.0,1303947.0
27,2016-06-05 05:57:00,-1.0,5.92,3.23,-318.8,-39.4,15.3,31.28,25674.0,1303947.0
28,2016-06-05 05:58:00,-0.75,5.73,4.58,-319.3,-37.9,12.7,32.44,27189.0,1303947.0
29,2016-06-05 05:59:00,-0.81,5.79,4.36,-319.3,-37.9,12.7,32.44,27191.0,1303947.0
30,2016-06-05 06:00:00,-1.09,5.7,3.37,-320.3,-36.3,10.1,31.25,21950.0,1303947.0
31,2016-06-05 06:01:00,-3.05,6.51,-0.22,-320.4,-37.5,9.4,32.35,21272.0,1303947.0
32,2016-06-05 06:02:00,-3.08,5.84,-1.18,-320.6,-39.1,8.5,33.95,20443.0,1303947.0
33,2016-06-05 06:03:00,-3.12,5.74,-0.86,-322.6,-37.2,7.5,35.0,19169.0,1303947.0
34,2016-06-05 06:04:00,-3.07,5.67,-0.77,-322.5,-38.0,7.9,35.49,19169.0,1303947.0
35,2016-06-05 06:05:00,-2.95,5.52,-0.51,-322.5,-38.5,8.2,35.84,19169.0,1303947.0
36,2016-06-05 06:06:00,-2.67,5.66,0.1,-320.6,-38.7,7.7,35.74,19169.0,1303947.0
37,2016-06-05 06:07:00,-3.07,5.51,-0.54,-320.5,-38.7,7.7,35.73,19169.0,1303947.0
38,2016-06-05 06:08:00,-3.46,4.92,-1.29,-324.0,-39.3,3.0,38.22,16910.0,1303947.0
39,2016-06-05 06:09:00,-3.61,5.18,-1.15,-324.1,-39.3,2.9,38.26,16873.0,1303947.0
40,2016-06-05 06:10:00,-3.37,5.47,-0.85,-322.4,-39.1,4.4,36.9,16272.0,1303947.0
41,2016-06-05 06:11:00,-3.08,5.55,-0.71,-322.4,-39.1,4.4,36.9,16272.0,1303947.0
42,2016-06-05 06:12:00,-2.75,5.87,-0.49,-321.5,-39.6,4.9,36.03,15682.0,1303947.0
43,2016-06-05 06:13:00,-2.77,5.91,-0.44,-321.7,-39.6,4.9,36.11,15733.0,1303947.0
44,2016-06-05 06:14:00,-2.5,5.54,-0.9,-323.5,-39.5,4.9,36.98,16272.0,1303947.0
45,2016-06-05 06:15:00,-2.66,5.22,-1.02,-324.1,-39.6,5.1,37.4,16803.0,1303947.0
46,2016-06-05 06:16:00,-2.47,5.39,-0.67,-324.1,-39.6,5.1,37.37,16857.0,1303947.0
47,2016-06-05 06:17:00,-2.91,5.49,-1.43,-323.5,-40.1,5.3,36.28,16671.0,1303947.0
48,2016-06-05 06:18:00,-2.56,5.69,-0.68,-323.5,-40.1,5.3,36.28,16671.0,1303947.0
49,2016-06-05 06:19:00,-2.65,5.63,-0.68,-325.4,-41.1,1.0,36.14,16472.0,1303947.0
50,2016-06-05 06:20:00,-2.6,5.31,-1.22,-326.5,-39.9,1.6,37.05,18279.0,1303947.0
51,2016-06-05 06:21:00,-2.72,4.86,-1.54,-328.1,-36.5,1.6,36.71,22921.0,1303947.0
52,2016-06-05 06:22:00,-2.42,1.41,-3.15,-328.8,-33.4,1.5,35.48,26808.0,1303947.0
53,2016-06-05 06:23:00,-1.15,2.85,1.03,-325.1,-31.8,10.4,38.77,24659.0,1303883.1
54,2016-06-05 06:24:00,-1.09,3.12,1.02,-326.3,-33.6,10.3,37.57,23661.0,1303883.1
55,2016-06-05 06:25:00,-1.43,3.69,1.42,-326.5,-34.2,10.6,35.99,23479.0,1303883.1
56,2016-06-05 06:26:00,-0.76,3.62,1.04,-324.4,-31.3,11.8,36.99,23959.0,1303883.1
