,Time,BX_GSM,BY_GSM,BZ_GSM,Vx,Vy,Vz,proton_density,T
0,2015-03-16 03:00:00,-2.04,2.67,-3.6,-342.7,12.3,-2.9,33.99,39980.0
1,2015-03-16 03:01:00,-2.72,3.43,-5.76,-342.72144,11.585714,-3.1142857,34.252857,39634.215
2,2015-03-16 03:02:00,-2.635,3.42,-5.715,-342.74286,10.8714285,-3.3285716,34.515717,39288.43
3,2015-03-16 03:03:00,-2.55,3.41,-5.67,-342.76428,10.157143,-3.5428572,34.778572,38942.645
4,2015-03-16 03:04:00,-2.475,3.4,-5.6949997,-342.78574,9.442858,-3.757143,35.041428,38596.855
5,2015-03-16 03:05:00,-2.4,3.39,-5.72,-342.80716,8.728572,-3.9714286,35.304287,38251.07
6,2015-03-16 03:06:00,-2.4,3.38,-5.72,-342.82858,8.014286,-4.1857142,35.567142,37905.285
7,2015-03-16 03:07:00,-2.475,3.24,-5.7349997,-342.85,7.3,-4.4,35.83,37559.5
8,2015-03-16 03:08:00,-2.55,3.1,-5.75,-342.87143,6.5857143,-4.614286,36.092857,37213.715
9,2015-03-16 03:09:00,-2.57,3.0349998,-5.745,-342.89285,5.8714285,-4.8285713,36.355713,36867.93
10,2015-03-16 03:10:00,-2.59,2.97,-5.74,-342.91428,5.1571426,-5.042857,36.618572,36522.145
11,2015-03-16 03:11:00,-2.35,3.135,-5.805,-342.93573,4.4428573,-5.257143,36.881428,36176.355
12,2015-03-16 03:12:00,-2.11,3.3,-5.87,-342.95715,3.7285714,-5.471429,37.144283,35830.57
13,2015-03-16 03:13:00,-1.7099999,3.21,-5.585,-342.97858,3.0142856,-5.6857142,37.407143,35484.785
14,2015-03-16 03:14:00,-1.31,3.12,-5.3,-343.0,2.3,-5.9,37.67,35139.0
15,2015-03-16 03:15:00,-1.2449999,3.145,-5.125,-343.0,2.3,-5.9,37.67,35139.0
16,2015-03-16 03:16:00,-1.18,3.17,-4.95,-342.975,3.275,-6.3875003,37.675,34953.75
17,2015-03-16 03:17:00,-0.93499994,3.3600001,-4.825,-342.95,4.25,-6.875,37.68,34768.5
18,2015-03-16 03:18:00,-0.69,3.55,-4.7,-342.925,5.225,-7.3625,37.684998,34583.25
19,2015-03-16 03:19:00,-0.3,3.695,-4.63,-342.9,6.2000003,-7.8500004,37.69,34398.0
20,2015-03-16 03:20:00,0.09,3.84,-4.56,-342.875,7.175,-8.337501,37.695,34212.75
21,2015-03-16 03:21:00,-0.65999997,3.55,-4.26,-342.84998,8.150001,-8.825,37.699997,34027.5
22,2015-03-16 03:22:00,-1.41,3.26,-3.96,-342.82498,9.125,-9.3125,37.704998,33842.25
23,2015-03-16 03:23:00,-1.87,3.47,-3.09,-342.8,10.1,-9.8,37.71,33657.0
24,2015-03-16 03:24:00,-1.19,4.14,-3.97,-342.6,10.2,-9.4,36.39,35003.0
25,2015-03-16 03:25:00,-1.28,5.39,-4.51,-342.90002,9.9,-9.35,38.309998,32359.5
26,2015-03-16 03:26:00,-0.63,3.92,-2.58,-343.2,9.6,-9.3,40.23,29716.0
27,2015-03-16 03:27:00,-1.39,5.25,-4.27,-342.2,17.0,-9.9,36.07,35052.0
28,2015-03-16 03:28:00,-0.32,2.72,-0.85,-343.5,12.1,-8.3,35.24,39543.0
