,Time,BX_GSE,BY_GSE,BZ_GSE,Vx,Vy,Vz,proton_density,T
0,2018-10-09 04:30:00,-4.92,1.69,-0.5,-579.8,7.9,-27.4,2.63,165831.0
1,2018-10-09 04:31:00,-4.79,1.68,-1.14,-580.8,6.5,-24.4,2.66,161787.0
2,2018-10-09 04:32:00,-4.63,1.94,-1.46,-583.2,4.1,-17.6,2.73,153070.0
3,2018-10-09 04:33:00,-4.46,1.99,-1.78,-587.4,8.3,-16.5,2.87,147579.0
4,2018-10-09 04:34:00,-4.27,2.26,-1.78,-587.8,8.7,-16.4,2.88,147078.0
5,2018-10-09 04:35:00,-4.1,2.24,-1.88,-591.2,8.4,-17.4,3.15,164222.0
6,2018-10-09 04:36:00,-4.14,2.02,-1.94,-591.9,9.0,-14.9,3.21,162755.0
7,2018-10-09 04:37:00,-3.84,2.04,-2.58,-593.4,10.1,-9.9,3.34,159839.0
8,2018-10-09 04:38:00,-3.58,1.88,-3.06,-596.5,13.9,-5.8,3.49,149095.0
9,2018-10-09 04:39:00,-3.9,1.8,-2.76,-594.5,16.4,-3.6,3.29,133936.0
10,2018-10-09 04:40:00,-3.6,2.99,-1.44,-596.3,9.3,-15.6,3.21,126815.0
11,2018-10-09 04:41:00,-3.96,2.84,-1.24,-589.9,-0.2,-32.9,3.26,128638.0
12,2018-10-09 04:42:00,-4.17,2.5,-1.33,-588.0,4.9,-17.5,3.22,131204.0
13,2018-10-09 04:43:00,-4.38,2.56,-0.68,-581.4,5.9,-30.2,3.14,142318.0
14,2018-10-09 04:44:00,-4.6,2.3,-0.69,-579.4,7.2,-28.7,3.12,151723.0
15,2018-10-09 04:45:00,-4.84,1.79,-0.73,-578.1,9.5,-24.1,3.13,163481.0
16,2018-10-09 04:46:00,-4.51,2.66,-0.22,-581.5,7.5,-33.1,3.33,148242.0
17,2018-10-09 04:47:00,-4.49,2.5,-1.21,-582.1,5.7,-14.8,3.13,143175.0
18,2018-10-09 04:48:00,-4.45,2.59,-1.16,-578.0,7.7,-24.2,2.86,115172.0
19,2018-10-09 04:49:00,-4.9,1.89,-0.5,-576.3,8.8,-30.0,2.75,109632.0
20,2018-10-09 04:50:00,-4.55,1.9,-1.32,-580.3,7.4,-28.0,2.99,168826.0
21,2018-10-09 04:51:00,-4.61,1.79,-1.38,-574.3,3.2,-28.2,2.82,140921.0
22,2018-10-09 04:52:00,-4.9,1.86,-1.2,-574.8,9.1,-25.5,2.84,140556.0
23,2018-10-09 04:53:00,-4.96,2.18,-0.75,-575.1,10.2,-26.7,2.82,137235.0
24,2018-10-09 04:54:00,-4.82,2.74,-0.34,-575.4,8.0,-31.7,2.75,129134.0
25,2018-10-09 04:55:00,-4.8,2.74,-0.28,-575.8,2.4,-32.8,2.81,115008.0
26,2018-10-09 04:56:00,-4.75,2.81,-0.23,-575.8,2.4,-32.8,2.81,115008.0
27,2018-10-09 04:57:00,-4.74,2.83,-0.48,-575.8,2.4,-32.8,2.81,115008.0
28,2018-10-09 04:58:00,-4.72,2.89,-0.45,-577.0,1.7,-31.833332,2.8166666,118790.0
29,2018-10-09 04:59:00,-4.62,2.65,-0.81,-578.2,1.0,-30.866667,2.8233333,122572.0
30,2018-10-09 05:00:00,-4.5,2.63,-0.81,-579.4,0.3,-29.9,2.83,126354.0
31,2018-10-09 05:01:00,-4.58,2.83,-0.46,-579.4,0.3,-29.9,2.83,126354.0
32,2018-10-09 05:02:00,-4.43,2.95,-0.45,-582.05005,1.6,-24.0,2.835,132583.0
33,2018-10-09 05:03:00,-4.43,2.77,-0.83,-584.7,2.9,-18.1,2.84,138812.0
34,2018-10-09 05:04:00,-4.3,2.71,-1.26,-584.7,2.9,-18.1,2.84,138812.0
35,2018-10-09 05:05:00,-4.43,2.44,-1.16,-586.4,7.4,-17.5,2.89,141874.0
36,2018-10-09 05:06:00,-4.03,2.08,-2.37,-592.8,23.8,-15.5,3.06,153070.0
37,2018-10-09 05:07:00,-3.79,2.18,-2.66,-592.8,23.8,-15.4,3.06,153135.0
38,2018-10-09 05:08:00,-4.0,2.24,-2.12,-595.5,25.4,-6.8,3.18,161710.0
39,2018-10-09 05:09:00,-3.75,1.48,-3.04,-595.5,25.4,-6.8,3.18,161710.0
40,2018-10-09 05:10:00,-2.76,1.23,-3.29,-606.6,31.4,-20.0,3.59,193815.0
41,2018-10-09 05:11:00,-3.16,1.32,-2.91,-606.6,31.4,-20.0,3.59,193815.0
42,2018-10-09 05:12:00,-2.12,2.3,-0.11,-606.6,31.4,-20.0,3.59,193815.0
43,2018-10-09 05:13:00,-1.9,4.03,1.66,-602.25,27.25,-30.2,3.42,186428.0
44,2018-10-09 05:14:00,-2.93,3.64,0.72,-597.9,23.1,-40.4,3.25,179041.0
45,2018-10-09 05:15:00,-3.67,2.9,1.19,-597.9,23.1,-40.4,3.25,179041.0
46,2018-10-09 05:16:00,-3.89,2.74,0.82,-596.30005,30.05,-35.45,3.145,171316.5
47,2018-10-09 05:17:00,-4.38,1.8,-0.4,-594.7,37.0,-30.5,3.04,163592.0
48,2018-10-09 05:18:00,-4.21,1.45,-1.62,-594.7,37.0,-30.5,3.04,163592.0
49,2018-10-09 05:19:00,-3.3,1.3,-3.21,-594.7,37.0,-30.5,3.04,163592.0
50,2018-10-09 05:20:00,-3.25,1.67,-3.15,-597.1667,34.433334,-22.833334,3.2,165923.33
51,2018-10-09 05:21:00,-2.86,1.39,-3.7,-599.6333,31.866667,-15.166667,3.36,168254.67
52,2018-10-09 05:22:00,-3.03,1.52,-3.42,-602.1,29.3,-7.5,3.52,170586.0
53,2018-10-09 05:23:00,-3.0,1.79,-3.43,-602.1,29.3,-7.5,3.52,170586.0
54,2018-10-09 05:24:00,-3.09,1.76,-3.29,-602.7,28.2,-9.8,3.51,168664.0
55,2018-10-09 05:25:00,-3.25,1.54,-3.27,-602.7,28.2,-9.8,3.51,168664.0
56,2018-10-09 05:26:00,-2.85,0.52,-3.84,-605.3,38.1,-3.7,3.63,176418.0
57,2018-10-09 05:27:00,-2.88,0.24,-3.86,-602.7,33.7,-10.6,3.57,175608.0
58,2018-10-09 05:28:00,-3.67,2.98,0.07,-594.9,20.6,-31.5,3.37,173166.0
59,2018-10-09 05:29:00,-3.79,3.05,-0.42,-594.9,20.6,-31.5,3.37,173166.0
60,2018-10-09 05:30:00,-3.91,2.94,-0.59,-599.0,26.2,-25.85,3.685,192240.5
61,2018-10-09 05:31:00,-0.4,-1.24,-2.23,-603.1,31.8,-20.2,4.0,211315.0
62,2018-10-09 05:32:00,-0.21,-1.9,-2.35,-603.2,31.8,-20.2,4.0,211076.0
63,2018-10-09 05:33:00,0.9,-2.63,-3.05,-624.5,47.1,-24.0,3.73,137078.0
64,2018-10-09 05:34:00,2.01,-3.31,-3.35,-626.8,44.8,-21.8,3.77,141145.0
65,2018-10-09 05:35:00,2.0,-3.63,-3.01,-628.1,43.4,-20.6,3.79,143487.0
66,2018-10-09 05:36:00,0.94,-2.92,-3.25,-623.1,46.7,-22.2,3.84,146443.0
67,2018-10-09 05:37:00,2.08,-3.6,-3.16,-622.1,41.8,-22.0,3.48,141853.0
68,2018-10-09 05:38:00,2.22,-3.83,-3.08,-624.1,42.6,-23.8,3.44,144178.0
69,2018-10-09 05:39:00,2.25,-3.99,-2.2,-626.1,45.7,-25.3,3.58,148240.0
70,2018-10-09 05:40:00,2.45,-3.75,-2.5,-624.3,39.6,-21.4,3.28,143487.0
71,2018-10-09 05:41:00,2.32,-3.72,-2.84,-624.3,39.6,-21.4,3.28,143487.0
72,2018-10-09 05:42:00,2.12,-3.16,-3.51,-624.3,39.6,-21.4,3.28,143487.0
73,2018-10-09 05:43:00,2.05,-3.59,-3.23,-623.05,42.05,-18.849998,3.4,129511.5
74,2018-10-09 05:44:00,1.94,-3.75,-3.11,-621.8,44.5,-16.3,3.52,115536.0
75,2018-10-09 05:45:00,1.96,-4.32,-2.64,-621.8,44.5,-16.3,3.52,115536.0
76,2018-10-09 05:46:00,1.76,-4.65,-2.72,-623.15,49.15,-22.55,3.685,131290.5
77,2018-10-09 05:47:00,1.66,-4.17,-2.25,-624.5,53.8,-28.8,3.85,147045.0
78,2018-10-09 05:48:00,2.11,-4.36,-1.11,-624.5,53.8,-28.8,3.85,147045.0
79,2018-10-09 05:49:00,1.83,-4.3,-1.79,-625.2,52.2,-24.9,4.02,143397.0
80,2018-10-09 05:50:00,1.91,-3.64,-2.5,-626.1,50.3,-20.0,4.23,138812.0
81,2018-10-09 05:51:00,2.61,-2.78,-2.79,-625.9,42.9,-24.2,3.73,148444.0
82,2018-10-09 05:52:00,2.51,-3.03,-2.7,-628.1,39.3,-23.0,3.59,150416.0
83,2018-10-09 05:53:00,2.41,-3.05,-2.48,-626.4,40.8,-25.6,3.45,160173.0
84,2018-10-09 05:54:00,2.17,-3.27,-2.59,-624.1,42.4,-28.9,3.33,168026.0
85,2018-10-09 05:55:00,2.5,-3.31,-2.25,-624.1,42.4,-28.9,3.33,168026.0
86,2018-10-09 05:56:00,2.1,-3.07,-2.01,-605.0,22.5,-9.2,3.52,183012.0
87,2018-10-09 05:57:00,-1.75,2.01,-2.51,-605.0,22.5,-9.2,3.52,183012.0
