,Start,Stop,Pearson,Slope,MAPE,Ratio,RMSE,RMSE_Artemis,RMSE_Omni,RMSE_Avg
0,2013-01-17 11:00:00,2013-01-17 11:59:00,1,1,22,22,21,21,5,21
1,2013-01-17 11:01:00,2013-01-17 12:00:00,1,1,22,22,23,22,5,21
2,2013-01-17 11:02:00,2013-01-17 12:01:00,1,1,23,23,24,22,5,21
3,2013-01-17 11:03:00,2013-01-17 12:02:00,1,1,23,23,25,22,5,21
4,2013-01-17 11:04:00,2013-01-17 12:03:00,1,1,23,23,26,26,5,27
5,2013-01-17 11:05:00,2013-01-17 12:04:00,5,5,23,23,27,26,5,28
6,2013-01-17 11:06:00,2013-01-17 12:05:00,5,5,23,23,28,27,5,28
7,2013-01-17 11:07:00,2013-01-17 12:06:00,5,5,23,23,29,28,5,28
8,2013-01-17 11:08:00,2013-01-17 12:07:00,5,5,29,29,30,29,5,30
9,2013-01-17 11:09:00,2013-01-17 12:08:00,6,6,29,29,30,30,5,30
10,2013-01-17 11:10:00,2013-01-17 12:09:00,5,6,29,29,30,30,5,30
11,2013-01-17 11:11:00,2013-01-17 12:10:00,5,5,29,29,30,30,5,30
12,2013-01-17 11:12:00,2013-01-17 12:11:00,5,5,29,29,30,30,5,30
13,2013-01-17 11:13:00,2013-01-17 12:12:00,5,5,29,29,30,30,5,30
14,2013-01-17 11:14:00,2013-01-17 12:13:00,29,6,29,29,30,30,13,30
15,2013-01-17 11:15:00,2013-01-17 12:14:00,29,6,29,29,30,30,13,30
16,2013-01-17 11:16:00,2013-01-17 12:15:00,23,7,29,29,30,30,13,30
17,2013-01-17 11:17:00,2013-01-17 12:16:00,29,7,29,29,30,30,13,30
18,2013-01-17 11:18:00,2013-01-17 12:17:00,29,7,30,30,30,30,13,30
19,2013-01-17 11:19:00,2013-01-17 12:18:00,29,7,30,30,30,30,13,30
20,2013-01-17 11:20:00,2013-01-17 12:19:00,29,7,30,30,30,30,13,30
21,2013-01-17 11:21:00,2013-01-17 12:20:00,29,7,30,30,30,30,13,30
22,2013-01-17 11:22:00,2013-01-17 12:21:00,29,7,30,30,30,30,13,30
23,2013-01-17 11:23:00,2013-01-17 12:22:00,29,8,30,30,30,30,3,30
24,2013-01-17 11:24:00,2013-01-17 12:23:00,29,8,30,30,30,30,1,30
25,2013-01-17 11:25:00,2013-01-17 12:24:00,29,1,30,30,30,30,1,30
26,2013-01-17 11:26:00,2013-01-17 12:25:00,23,1,30,30,30,30,1,30
27,2013-01-17 11:27:00,2013-01-17 12:26:00,23,1,30,30,30,30,1,30
28,2013-01-17 11:28:00,2013-01-17 12:27:00,23,1,30,30,30,30,1,30
29,2013-01-17 11:29:00,2013-01-17 12:28:00,23,1,30,30,30,30,1,30
30,2013-01-17 11:30:00,2013-01-17 12:29:00,23,1,30,30,30,30,1,30
31,2013-01-17 11:31:00,2013-01-17 12:30:00,23,1,30,30,30,30,1,30
32,2013-01-17 11:32:00,2013-01-17 12:31:00,24,1,30,30,30,30,1,30
33,2013-01-17 11:33:00,2013-01-17 12:32:00,24,1,30,30,30,30,1,30
34,2013-01-17 11:34:00,2013-01-17 12:33:00,25,1,30,30,30,30,1,30
35,2013-01-17 11:35:00,2013-01-17 12:34:00,1,1,30,30,30,30,1,30
36,2013-01-17 11:36:00,2013-01-17 12:35:00,1,1,30,30,30,30,1,30
37,2013-01-17 11:37:00,2013-01-17 12:36:00,1,1,30,30,30,30,1,30
38,2013-01-17 11:38:00,2013-01-17 12:37:00,1,1,30,30,30,30,2,30
39,2013-01-17 11:39:00,2013-01-17 12:38:00,1,1,30,30,30,30,2,30
40,2013-01-17 11:40:00,2013-01-17 12:39:00,1,1,30,30,30,30,1,30
41,2013-01-17 11:41:00,2013-01-17 12:40:00,1,1,30,30,30,30,1,30
42,2013-01-17 11:42:00,2013-01-17 12:41:00,1,1,30,30,30,30,1,30
43,2013-01-17 11:43:00,2013-01-17 12:42:00,3,1,30,30,30,30,2,30
44,2013-01-17 11:44:00,2013-01-17 12:43:00,4,4,30,30,30,30,2,30
45,2013-01-17 11:45:00,2013-01-17 12:44:00,5,5,30,30,30,30,2,30
46,2013-01-17 11:46:00,2013-01-17 12:45:00,6,5,30,30,30,30,2,30
47,2013-01-17 11:47:00,2013-01-17 12:46:00,7,8,30,30,30,30,2,30
48,2013-01-17 11:48:00,2013-01-17 12:47:00,8,8,30,30,30,30,2,30
49,2013-01-17 11:49:00,2013-01-17 12:48:00,9,11,30,30,30,30,2,30
50,2013-01-17 11:50:00,2013-01-17 12:49:00,10,12,30,30,30,30,2,30
51,2013-01-17 11:51:00,2013-01-17 12:50:00,12,13,30,30,30,30,2,25
52,2013-01-17 11:52:00,2013-01-17 12:51:00,13,14,24,24,28,30,2,25
53,2013-01-17 11:53:00,2013-01-17 12:52:00,15,15,30,30,29,30,2,25
54,2013-01-17 11:54:00,2013-01-17 12:53:00,16,16,30,30,30,30,2,1
55,2013-01-17 11:55:00,2013-01-17 12:54:00,16,16,30,30,27,30,2,1
56,2013-01-17 11:56:00,2013-01-17 12:55:00,16,14,30,30,28,30,2,1
57,2013-01-17 11:57:00,2013-01-17 12:56:00,16,12,30,30,29,30,1,1
58,2013-01-17 11:58:00,2013-01-17 12:57:00,15,12,30,30,30,30,1,1
59,2013-01-17 11:59:00,2013-01-17 12:58:00,15,13,30,30,1,30,1,1
60,2013-01-17 12:00:00,2013-01-17 12:59:00,14,13,30,30,1,30,1,1
61,2013-01-17 12:01:00,2013-01-17 13:00:00,14,14,30,30,1,30,1,1
62,2013-01-17 12:02:00,2013-01-17 13:01:00,15,12,30,30,1,30,27,1
63,2013-01-17 12:03:00,2013-01-17 13:02:00,16,12,30,30,1,30,27,1
64,2013-01-17 12:04:00,2013-01-17 13:03:00,15,12,30,30,1,1,27,1
65,2013-01-17 12:05:00,2013-01-17 13:04:00,16,12,1,1,1,1,27,1
66,2013-01-17 12:06:00,2013-01-17 13:05:00,16,12,1,1,1,1,27,1
67,2013-01-17 12:07:00,2013-01-17 13:06:00,16,12,1,1,1,1,27,1
68,2013-01-17 12:08:00,2013-01-17 13:07:00,16,12,1,1,1,1,27,1
69,2013-01-17 12:09:00,2013-01-17 13:08:00,16,12,1,1,3,1,27,1
70,2013-01-17 12:10:00,2013-01-17 13:09:00,16,12,1,1,4,1,27,1
71,2013-01-17 12:11:00,2013-01-17 13:10:00,13,12,1,1,5,1,27,1
72,2013-01-17 12:12:00,2013-01-17 13:11:00,13,12,1,1,6,1,27,1
73,2013-01-17 12:13:00,2013-01-17 13:12:00,13,12,1,1,7,1,27,1
74,2013-01-17 12:14:00,2013-01-17 13:13:00,13,12,1,1,8,1,27,1
75,2013-01-17 12:15:00,2013-01-17 13:14:00,13,13,1,1,8,1,27,1
76,2013-01-17 12:16:00,2013-01-17 13:15:00,13,13,1,1,9,1,27,1
77,2013-01-17 12:17:00,2013-01-17 13:16:00,13,13,1,1,1,1,27,1
78,2013-01-17 12:18:00,2013-01-17 13:17:00,13,13,1,1,1,1,27,1
79,2013-01-17 12:19:00,2013-01-17 13:18:00,13,13,1,1,1,1,27,1
80,2013-01-17 12:20:00,2013-01-17 13:19:00,13,13,2,2,2,2,27,2
81,2013-01-17 12:21:00,2013-01-17 13:20:00,13,13,3,3,3,3,27,2
82,2013-01-17 12:22:00,2013-01-17 13:21:00,13,13,4,4,4,2,27,1
83,2013-01-17 12:23:00,2013-01-17 13:22:00,13,13,5,5,5,1,27,1
84,2013-01-17 12:24:00,2013-01-17 13:23:00,13,13,6,6,6,1,27,1
85,2013-01-17 12:25:00,2013-01-17 13:24:00,13,13,1,1,7,1,27,1
86,2013-01-17 12:26:00,2013-01-17 13:25:00,13,13,1,1,8,1,27,1
87,2013-01-17 12:27:00,2013-01-17 13:26:00,13,13,1,1,9,1,27,1
88,2013-01-17 12:28:00,2013-01-17 13:27:00,13,13,1,1,10,1,27,1
89,2013-01-17 12:29:00,2013-01-17 13:28:00,14,14,1,1,11,1,27,1
90,2013-01-17 12:30:00,2013-01-17 13:29:00,15,15,1,1,12,1,27,1
91,2013-01-17 12:31:00,2013-01-17 13:30:00,15,16,1,1,13,1,27,1
92,2013-01-17 12:32:00,2013-01-17 13:31:00,14,17,1,1,14,1,27,1
93,2013-01-17 12:33:00,2013-01-17 13:32:00,14,18,1,1,15,1,27,1
94,2013-01-17 12:34:00,2013-01-17 13:33:00,14,19,1,1,16,1,27,1
95,2013-01-17 12:35:00,2013-01-17 13:34:00,14,28,1,1,17,1,27,1
96,2013-01-17 12:36:00,2013-01-17 13:35:00,14,28,1,1,18,1,27,1
97,2013-01-17 12:37:00,2013-01-17 13:36:00,14,28,20,20,19,1,27,1
98,2013-01-17 12:38:00,2013-01-17 13:37:00,28,28,20,20,13,1,27,1
99,2013-01-17 12:39:00,2013-01-17 13:38:00,28,28,21,21,14,21,27,1
100,2013-01-17 12:40:00,2013-01-17 13:39:00,28,28,22,22,14,22,27,1
101,2013-01-17 12:41:00,2013-01-17 13:40:00,28,28,23,23,23,23,27,1
102,2013-01-17 12:42:00,2013-01-17 13:41:00,28,28,24,24,24,24,27,1
103,2013-01-17 12:43:00,2013-01-17 13:42:00,28,28,24,24,25,24,27,1
104,2013-01-17 12:44:00,2013-01-17 13:43:00,29,29,24,24,26,20,27,1
105,2013-01-17 12:45:00,2013-01-17 13:44:00,30,30,21,21,27,21,27,1
106,2013-01-17 12:46:00,2013-01-17 13:45:00,14,30,22,22,28,21,27,1
107,2013-01-17 12:47:00,2013-01-17 13:46:00,14,14,22,22,29,22,27,1
108,2013-01-17 12:48:00,2013-01-17 13:47:00,13,14,23,23,30,23,27,2
109,2013-01-17 12:49:00,2013-01-17 13:48:00,13,13,23,23,30,24,27,24
110,2013-01-17 12:50:00,2013-01-17 13:49:00,13,13,24,24,25,24,27,25
111,2013-01-17 12:51:00,2013-01-17 13:50:00,13,13,24,24,26,25,27,25
112,2013-01-17 12:52:00,2013-01-17 13:51:00,13,13,27,27,27,25,27,25
113,2013-01-17 12:53:00,2013-01-17 13:52:00,13,13,27,27,27,25,27,25
114,2013-01-17 12:54:00,2013-01-17 13:53:00,13,13,27,27,29,25,27,25
115,2013-01-17 12:55:00,2013-01-17 13:54:00,13,13,27,27,30,25,27,25
116,2013-01-17 12:56:00,2013-01-17 13:55:00,13,13,27,27,30,30,27,25
117,2013-01-17 12:57:00,2013-01-17 13:56:00,13,13,27,27,30,30,27,25
118,2013-01-17 12:58:00,2013-01-17 13:57:00,13,13,27,27,30,30,27,25
119,2013-01-17 12:59:00,2013-01-17 13:58:00,13,13,27,27,30,30,27,26
120,2013-01-17 13:00:00,2013-01-17 13:59:00,13,13,27,27,30,30,27,25
121,2013-01-17 13:01:00,2013-01-17 14:00:00,13,13,27,27,30,30,12,30
122,2013-01-17 13:02:00,2013-01-17 14:01:00,13,13,27,27,30,30,12,30
123,2013-01-17 13:03:00,2013-01-17 14:02:00,13,13,27,27,30,30,12,30
124,2013-01-17 13:04:00,2013-01-17 14:03:00,13,13,27,27,30,30,12,27
125,2013-01-17 13:05:00,2013-01-17 14:04:00,13,13,27,27,30,30,12,27
126,2013-01-17 13:06:00,2013-01-17 14:05:00,13,13,27,27,30,30,12,25
127,2013-01-17 13:07:00,2013-01-17 14:06:00,13,13,27,27,30,30,12,25
128,2013-01-17 13:08:00,2013-01-17 14:07:00,13,13,27,27,30,30,12,25
129,2013-01-17 13:09:00,2013-01-17 14:08:00,13,13,27,27,30,30,12,24
130,2013-01-17 13:10:00,2013-01-17 14:09:00,14,14,27,27,30,30,12,25
131,2013-01-17 13:11:00,2013-01-17 14:10:00,14,14,27,27,30,30,12,30
132,2013-01-17 13:12:00,2013-01-17 14:11:00,14,14,27,27,30,30,12,30
133,2013-01-17 13:13:00,2013-01-17 14:12:00,14,14,27,27,30,30,12,30
134,2013-01-17 13:14:00,2013-01-17 14:13:00,14,14,27,27,30,30,12,30
135,2013-01-17 13:15:00,2013-01-17 14:14:00,14,14,27,27,30,30,12,30
136,2013-01-17 13:16:00,2013-01-17 14:15:00,14,14,27,27,30,30,12,30
137,2013-01-17 13:17:00,2013-01-17 14:16:00,14,14,27,27,30,30,12,30
138,2013-01-17 13:18:00,2013-01-17 14:17:00,14,1,27,27,30,30,12,30
139,2013-01-17 13:19:00,2013-01-17 14:18:00,14,2,27,27,30,30,12,30
140,2013-01-17 13:20:00,2013-01-17 14:19:00,14,3,27,27,30,30,12,30
141,2013-01-17 13:21:00,2013-01-17 14:20:00,14,4,27,27,30,30,12,30
142,2013-01-17 13:22:00,2013-01-17 14:21:00,5,5,27,27,30,30,12,30
143,2013-01-17 13:23:00,2013-01-17 14:22:00,6,6,27,27,30,30,12,30
144,2013-01-17 13:24:00,2013-01-17 14:23:00,7,1,27,27,30,30,12,30
145,2013-01-17 13:25:00,2013-01-17 14:24:00,7,2,27,27,30,30,12,30
146,2013-01-17 13:26:00,2013-01-17 14:25:00,7,3,27,27,30,30,12,30
147,2013-01-17 13:27:00,2013-01-17 14:26:00,7,4,27,27,30,30,12,30
148,2013-01-17 13:28:00,2013-01-17 14:27:00,7,6,27,27,30,30,15,30
149,2013-01-17 13:29:00,2013-01-17 14:28:00,7,6,27,27,30,30,15,30
