,Start,Stop,Pearson,Slope,MAPE,Ratio,RMSE,RMSE_Artemis,RMSE_Omni,RMSE_Avg
0,2014-02-27 17:00:00,2014-02-27 17:59:00,26,19,4,4,26,4,30,19
1,2014-02-27 17:01:00,2014-02-27 18:00:00,26,19,4,4,24,4,30,20
2,2014-02-27 17:02:00,2014-02-27 18:01:00,24,19,4,4,23,4,30,21
3,2014-02-27 17:03:00,2014-02-27 18:02:00,24,19,4,4,24,4,30,24
4,2014-02-27 17:04:00,2014-02-27 18:03:00,24,19,4,4,24,4,30,25
5,2014-02-27 17:05:00,2014-02-27 18:04:00,26,19,4,4,26,4,25,26
6,2014-02-27 17:06:00,2014-02-27 18:05:00,1,19,4,4,26,4,16,26
7,2014-02-27 17:07:00,2014-02-27 18:06:00,1,18,4,4,18,4,12,26
8,2014-02-27 17:08:00,2014-02-27 18:07:00,1,18,4,4,18,4,12,19
9,2014-02-27 17:09:00,2014-02-27 18:08:00,1,19,4,4,19,4,12,19
10,2014-02-27 17:10:00,2014-02-27 18:09:00,1,18,4,4,18,4,12,19
11,2014-02-27 17:11:00,2014-02-27 18:10:00,1,18,5,5,18,4,12,11
12,2014-02-27 17:12:00,2014-02-27 18:11:00,1,18,4,4,18,4,12,11
13,2014-02-27 17:13:00,2014-02-27 18:12:00,1,18,4,4,5,4,12,11
14,2014-02-27 17:14:00,2014-02-27 18:13:00,2,18,4,4,4,4,14,11
15,2014-02-27 17:15:00,2014-02-27 18:14:00,4,18,5,5,4,4,12,7
16,2014-02-27 17:16:00,2014-02-27 18:15:00,4,19,5,5,4,4,12,7
17,2014-02-27 17:17:00,2014-02-27 18:16:00,4,18,5,5,5,6,12,7
18,2014-02-27 17:18:00,2014-02-27 18:17:00,5,19,6,6,5,6,12,7
19,2014-02-27 17:19:00,2014-02-27 18:18:00,4,20,7,7,11,7,12,7
20,2014-02-27 17:20:00,2014-02-27 18:19:00,4,21,6,6,11,8,14,10
21,2014-02-27 17:21:00,2014-02-27 18:20:00,6,22,7,7,11,7,14,8
22,2014-02-27 17:22:00,2014-02-27 18:21:00,6,23,7,7,6,7,12,8
23,2014-02-27 17:23:00,2014-02-27 18:22:00,6,6,8,8,6,11,12,8
24,2014-02-27 17:24:00,2014-02-27 18:23:00,7,7,7,7,7,9,12,8
25,2014-02-27 17:25:00,2014-02-27 18:24:00,7,7,7,7,7,26,12,8
26,2014-02-27 17:26:00,2014-02-27 18:25:00,7,7,7,7,7,7,12,8
27,2014-02-27 17:27:00,2014-02-27 18:26:00,7,7,7,7,7,7,12,8
28,2014-02-27 17:28:00,2014-02-27 18:27:00,7,7,7,7,7,7,12,8
29,2014-02-27 17:29:00,2014-02-27 18:28:00,7,7,7,7,7,7,12,8
30,2014-02-27 17:30:00,2014-02-27 18:29:00,7,7,7,7,7,7,12,8
