,Start,Stop,Pearson,Slope,MAPE,Ratio,RMSE,RMSE_Artemis,RMSE_Omni,RMSE_Avg
0,2014-02-27 17:00:00,2014-02-27 17:59:00,2,2,17,17,2,13,27,19
1,2014-02-27 17:01:00,2014-02-27 18:00:00,2,2,17,17,2,14,27,16
2,2014-02-27 17:02:00,2014-02-27 18:01:00,2,2,17,17,3,16,27,16
3,2014-02-27 17:03:00,2014-02-27 18:02:00,2,2,17,17,3,16,27,16
4,2014-02-27 17:04:00,2014-02-27 18:03:00,2,2,17,17,3,1,27,16
5,2014-02-27 17:05:00,2014-02-27 18:04:00,2,2,17,17,3,1,27,16
6,2014-02-27 17:06:00,2014-02-27 18:05:00,2,2,1,1,3,1,27,16
7,2014-02-27 17:07:00,2014-02-27 18:06:00,2,3,1,1,3,1,27,16
8,2014-02-27 17:08:00,2014-02-27 18:07:00,2,2,1,1,3,1,27,16
9,2014-02-27 17:09:00,2014-02-27 18:08:00,2,2,1,1,2,1,27,16
10,2014-02-27 17:10:00,2014-02-27 18:09:00,2,2,1,1,2,1,27,16
11,2014-02-27 17:11:00,2014-02-27 18:10:00,2,2,1,1,2,1,27,16
12,2014-02-27 17:12:00,2014-02-27 18:11:00,2,2,1,1,2,1,27,16
13,2014-02-27 17:13:00,2014-02-27 18:12:00,2,2,1,1,2,1,27,16
14,2014-02-27 17:14:00,2014-02-27 18:13:00,2,2,1,1,2,1,27,16
15,2014-02-27 17:15:00,2014-02-27 18:14:00,2,2,1,1,2,1,27,5
16,2014-02-27 17:16:00,2014-02-27 18:15:00,2,2,1,1,2,1,27,5
17,2014-02-27 17:17:00,2014-02-27 18:16:00,2,2,2,2,3,1,27,5
18,2014-02-27 17:18:00,2014-02-27 18:17:00,2,2,2,2,3,1,27,5
19,2014-02-27 17:19:00,2014-02-27 18:18:00,3,3,3,3,3,1,28,5
20,2014-02-27 17:20:00,2014-02-27 18:19:00,3,3,3,3,3,3,28,5
21,2014-02-27 17:21:00,2014-02-27 18:20:00,3,4,3,3,3,3,28,5
22,2014-02-27 17:22:00,2014-02-27 18:21:00,3,3,3,3,3,4,28,5
23,2014-02-27 17:23:00,2014-02-27 18:22:00,3,3,3,3,3,13,28,5
24,2014-02-27 17:24:00,2014-02-27 18:23:00,3,4,3,3,4,13,28,5
25,2014-02-27 17:25:00,2014-02-27 18:24:00,3,4,3,3,4,13,28,5
26,2014-02-27 17:26:00,2014-02-27 18:25:00,3,4,3,3,4,13,28,5
27,2014-02-27 17:27:00,2014-02-27 18:26:00,4,4,3,3,4,13,28,5
28,2014-02-27 17:28:00,2014-02-27 18:27:00,3,4,3,3,4,13,28,5
29,2014-02-27 17:29:00,2014-02-27 18:28:00,3,4,3,3,3,13,28,5
30,2014-02-27 17:30:00,2014-02-27 18:29:00,4,4,3,3,4,13,28,5
