,Start,Stop,Pearson,Slope,MAPE,Ratio,RMSE,RMSE_Artemis,RMSE_Omni,RMSE_Avg
0,2014-02-27 17:00:00,2014-02-27 17:59:00,25,15,4,4,13,6,14,14
1,2014-02-27 17:01:00,2014-02-27 18:00:00,25,1,4,4,14,6,14,14
2,2014-02-27 17:02:00,2014-02-27 18:01:00,25,16,3,3,6,6,6,6
3,2014-02-27 17:03:00,2014-02-27 18:02:00,25,16,2,2,5,5,6,5
4,2014-02-27 17:04:00,2014-02-27 18:03:00,25,2,2,2,1,1,5,1
5,2014-02-27 17:05:00,2014-02-27 18:04:00,25,16,2,2,1,1,1,1
6,2014-02-27 17:06:00,2014-02-27 18:05:00,22,2,1,1,1,1,1,1
7,2014-02-27 17:07:00,2014-02-27 18:06:00,22,2,1,1,1,1,1,1
8,2014-02-27 17:08:00,2014-02-27 18:07:00,22,13,1,1,1,1,1,1
9,2014-02-27 17:09:00,2014-02-27 18:08:00,5,12,1,1,1,1,1,1
10,2014-02-27 17:10:00,2014-02-27 18:09:00,4,10,1,1,1,1,1,1
11,2014-02-27 17:11:00,2014-02-27 18:10:00,4,20,1,1,1,1,1,1
12,2014-02-27 17:12:00,2014-02-27 18:11:00,5,18,1,1,1,1,1,1
13,2014-02-27 17:13:00,2014-02-27 18:12:00,5,16,1,1,1,1,1,1
14,2014-02-27 17:14:00,2014-02-27 18:13:00,4,4,1,1,1,1,1,1
15,2014-02-27 17:15:00,2014-02-27 18:14:00,4,5,1,1,1,1,1,1
16,2014-02-27 17:16:00,2014-02-27 18:15:00,4,5,1,1,1,1,1,1
17,2014-02-27 17:17:00,2014-02-27 18:16:00,5,30,1,1,1,1,1,1
18,2014-02-27 17:18:00,2014-02-27 18:17:00,5,6,1,1,1,1,1,1
19,2014-02-27 17:19:00,2014-02-27 18:18:00,5,6,1,1,1,1,1,1
20,2014-02-27 17:20:00,2014-02-27 18:19:00,5,7,1,1,1,1,1,1
21,2014-02-27 17:21:00,2014-02-27 18:20:00,5,7,1,1,1,1,1,1
22,2014-02-27 17:22:00,2014-02-27 18:21:00,5,7,1,1,1,1,1,1
23,2014-02-27 17:23:00,2014-02-27 18:22:00,5,9,1,1,1,1,1,1
24,2014-02-27 17:24:00,2014-02-27 18:23:00,5,14,1,1,1,1,1,1
25,2014-02-27 17:25:00,2014-02-27 18:24:00,5,15,1,1,1,1,1,1
26,2014-02-27 17:26:00,2014-02-27 18:25:00,5,14,1,1,1,1,1,1
27,2014-02-27 17:27:00,2014-02-27 18:26:00,5,13,1,1,1,1,1,1
28,2014-02-27 17:28:00,2014-02-27 18:27:00,5,11,1,1,1,1,1,1
29,2014-02-27 17:29:00,2014-02-27 18:28:00,5,10,1,1,1,1,1,1
30,2014-02-27 17:30:00,2014-02-27 18:29:00,5,11,1,1,1,1,1,1
