,Start,Stop,Pearson,Slope,MAPE,Ratio,RMSE,RMSE_Artemis,RMSE_Omni,RMSE_Avg
0,2014-02-27 19:00:00,2014-02-27 19:59:00,7,7,7,7,7,8,24,7
1,2014-02-27 19:01:00,2014-02-27 20:00:00,7,7,7,7,7,8,24,7
2,2014-02-27 19:02:00,2014-02-27 20:01:00,7,7,7,7,7,8,24,7
3,2014-02-27 19:03:00,2014-02-27 20:02:00,6,6,7,7,6,8,24,7
4,2014-02-27 19:04:00,2014-02-27 20:03:00,6,6,7,7,6,8,24,7
5,2014-02-27 19:05:00,2014-02-27 20:04:00,6,6,6,6,6,7,24,7
6,2014-02-27 19:06:00,2014-02-27 20:05:00,6,6,7,7,6,7,24,7
7,2014-02-27 19:07:00,2014-02-27 20:06:00,6,6,7,7,6,7,24,7
8,2014-02-27 19:08:00,2014-02-27 20:07:00,6,6,6,6,6,7,24,7
9,2014-02-27 19:09:00,2014-02-27 20:08:00,6,6,7,7,6,7,24,7
10,2014-02-27 19:10:00,2014-02-27 20:09:00,6,7,7,7,6,7,24,7
11,2014-02-27 19:11:00,2014-02-27 20:10:00,6,6,7,7,6,7,24,7
12,2014-02-27 19:12:00,2014-02-27 20:11:00,7,7,7,7,7,7,24,7
13,2014-02-27 19:13:00,2014-02-27 20:12:00,7,7,7,7,7,8,24,7
14,2014-02-27 19:14:00,2014-02-27 20:13:00,7,7,7,7,7,8,7,7
15,2014-02-27 19:15:00,2014-02-27 20:14:00,7,7,7,7,7,9,7,7
16,2014-02-27 19:16:00,2014-02-27 20:15:00,7,7,7,7,7,9,7,7
17,2014-02-27 19:17:00,2014-02-27 20:16:00,7,7,7,7,7,9,7,7
18,2014-02-27 19:18:00,2014-02-27 20:17:00,7,7,7,7,7,9,7,7
19,2014-02-27 19:19:00,2014-02-27 20:18:00,7,7,7,7,7,9,7,7
20,2014-02-27 19:20:00,2014-02-27 20:19:00,7,7,7,7,7,9,7,7
21,2014-02-27 19:21:00,2014-02-27 20:20:00,7,7,7,7,7,5,7,7
22,2014-02-27 19:22:00,2014-02-27 20:21:00,6,6,6,6,6,5,7,7
23,2014-02-27 19:23:00,2014-02-27 20:22:00,7,7,7,7,7,5,7,7
24,2014-02-27 19:24:00,2014-02-27 20:23:00,7,7,7,7,7,5,7,7
25,2014-02-27 19:25:00,2014-02-27 20:24:00,7,7,7,7,7,9,7,7
26,2014-02-27 19:26:00,2014-02-27 20:25:00,6,6,7,7,6,9,7,7
27,2014-02-27 19:27:00,2014-02-27 20:26:00,6,6,7,7,6,9,7,7
28,2014-02-27 19:28:00,2014-02-27 20:27:00,6,6,7,7,6,9,7,7
29,2014-02-27 19:29:00,2014-02-27 20:28:00,6,6,7,7,6,9,7,7
30,2014-02-27 19:30:00,2014-02-27 20:29:00,6,6,7,7,6,9,7,7
31,2014-02-27 19:31:00,2014-02-27 20:30:00,6,6,7,7,6,7,7,7
32,2014-02-27 19:32:00,2014-02-27 20:31:00,6,6,7,7,6,7,7,7
33,2014-02-27 19:33:00,2014-02-27 20:32:00,6,6,7,7,6,7,7,7
34,2014-02-27 19:34:00,2014-02-27 20:33:00,6,6,7,7,6,7,7,7
35,2014-02-27 19:35:00,2014-02-27 20:34:00,6,6,7,7,6,7,7,7
36,2014-02-27 19:36:00,2014-02-27 20:35:00,6,5,7,7,6,7,7,7
37,2014-02-27 19:37:00,2014-02-27 20:36:00,7,6,7,7,6,7,7,8
38,2014-02-27 19:38:00,2014-02-27 20:37:00,7,6,7,7,6,7,7,8
39,2014-02-27 19:39:00,2014-02-27 20:38:00,7,6,7,7,6,7,7,8
40,2014-02-27 19:40:00,2014-02-27 20:39:00,6,6,7,7,6,7,7,8
41,2014-02-27 19:41:00,2014-02-27 20:40:00,7,6,7,7,6,7,7,8
42,2014-02-27 19:42:00,2014-02-27 20:41:00,6,6,7,7,6,7,7,8
43,2014-02-27 19:43:00,2014-02-27 20:42:00,6,6,7,7,6,7,7,8
44,2014-02-27 19:44:00,2014-02-27 20:43:00,7,6,7,7,6,7,7,8
45,2014-02-27 19:45:00,2014-02-27 20:44:00,7,6,16,16,6,30,7,8
46,2014-02-27 19:46:00,2014-02-27 20:45:00,7,6,30,30,6,30,7,8
47,2014-02-27 19:47:00,2014-02-27 20:46:00,7,6,30,30,6,30,7,8
48,2014-02-27 19:48:00,2014-02-27 20:47:00,7,6,30,30,7,30,7,8
49,2014-02-27 19:49:00,2014-02-27 20:48:00,7,6,30,30,7,30,7,8
50,2014-02-27 19:50:00,2014-02-27 20:49:00,7,7,30,30,7,30,7,8
51,2014-02-27 19:51:00,2014-02-27 20:50:00,6,6,30,30,6,30,7,8
52,2014-02-27 19:52:00,2014-02-27 20:51:00,6,6,30,30,6,30,7,8
53,2014-02-27 19:53:00,2014-02-27 20:52:00,6,6,30,30,6,30,7,8
54,2014-02-27 19:54:00,2014-02-27 20:53:00,7,7,30,30,7,30,7,8
55,2014-02-27 19:55:00,2014-02-27 20:54:00,7,7,30,30,7,30,7,8
56,2014-02-27 19:56:00,2014-02-27 20:55:00,7,8,30,30,7,30,7,8
57,2014-02-27 19:57:00,2014-02-27 20:56:00,8,8,30,30,7,30,7,8
58,2014-02-27 19:58:00,2014-02-27 20:57:00,7,8,30,30,7,30,7,8
59,2014-02-27 19:59:00,2014-02-27 20:58:00,8,8,30,30,7,30,7,8
60,2014-02-27 20:00:00,2014-02-27 20:59:00,8,8,23,23,8,23,7,8
61,2014-02-27 20:01:00,2014-02-27 21:00:00,8,8,26,26,8,26,7,8
