,Start,Stop,Pearson,Slope,MAPE,Ratio,RMSE,RMSE_Artemis,RMSE_Omni,RMSE_Avg
0,2014-02-27 19:00:00,2014-02-27 19:59:00,1,1,1,1,1,1,1,1
1,2014-02-27 19:01:00,2014-02-27 20:00:00,1,1,1,1,1,1,1,1
2,2014-02-27 19:02:00,2014-02-27 20:01:00,1,1,1,1,1,1,1,1
3,2014-02-27 19:03:00,2014-02-27 20:02:00,1,1,1,1,1,1,1,1
4,2014-02-27 19:04:00,2014-02-27 20:03:00,1,1,1,1,1,1,1,1
5,2014-02-27 19:05:00,2014-02-27 20:04:00,1,1,1,1,1,1,1,1
6,2014-02-27 19:06:00,2014-02-27 20:05:00,1,1,1,1,1,1,1,1
7,2014-02-27 19:07:00,2014-02-27 20:06:00,1,1,1,1,1,1,1,1
8,2014-02-27 19:08:00,2014-02-27 20:07:00,1,1,1,1,1,1,1,1
9,2014-02-27 19:09:00,2014-02-27 20:08:00,1,1,1,1,1,1,1,1
10,2014-02-27 19:10:00,2014-02-27 20:09:00,1,2,1,1,1,1,1,1
11,2014-02-27 19:11:00,2014-02-27 20:10:00,1,5,1,1,1,1,1,1
12,2014-02-27 19:12:00,2014-02-27 20:11:00,1,4,1,1,1,1,1,1
13,2014-02-27 19:13:00,2014-02-27 20:12:00,1,1,1,1,1,1,1,1
14,2014-02-27 19:14:00,2014-02-27 20:13:00,1,1,1,1,1,1,1,1
15,2014-02-27 19:15:00,2014-02-27 20:14:00,1,1,1,1,1,1,1,1
16,2014-02-27 19:16:00,2014-02-27 20:15:00,1,1,1,1,1,1,1,1
17,2014-02-27 19:17:00,2014-02-27 20:16:00,1,1,1,1,1,1,1,1
18,2014-02-27 19:18:00,2014-02-27 20:17:00,1,2,1,1,1,1,2,2
19,2014-02-27 19:19:00,2014-02-27 20:18:00,1,4,1,1,2,2,3,2
20,2014-02-27 19:20:00,2014-02-27 20:19:00,1,5,1,1,3,2,3,3
21,2014-02-27 19:21:00,2014-02-27 20:20:00,1,6,2,2,3,3,3,3
22,2014-02-27 19:22:00,2014-02-27 20:21:00,1,6,2,2,3,3,4,4
23,2014-02-27 19:23:00,2014-02-27 20:22:00,1,6,2,2,4,3,4,4
24,2014-02-27 19:24:00,2014-02-27 20:23:00,2,7,2,2,4,4,5,4
25,2014-02-27 19:25:00,2014-02-27 20:24:00,2,7,2,2,4,4,5,5
26,2014-02-27 19:26:00,2014-02-27 20:25:00,2,7,2,2,4,4,5,5
27,2014-02-27 19:27:00,2014-02-27 20:26:00,2,7,3,3,4,4,5,5
28,2014-02-27 19:28:00,2014-02-27 20:27:00,2,7,7,7,4,4,5,5
29,2014-02-27 19:29:00,2014-02-27 20:28:00,2,7,7,7,4,4,5,5
30,2014-02-27 19:30:00,2014-02-27 20:29:00,2,7,6,6,4,4,5,5
31,2014-02-27 19:31:00,2014-02-27 20:30:00,2,8,6,6,4,4,5,5
32,2014-02-27 19:32:00,2014-02-27 20:31:00,3,8,9,9,5,5,6,5
33,2014-02-27 19:33:00,2014-02-27 20:32:00,3,8,9,9,5,5,6,6
34,2014-02-27 19:34:00,2014-02-27 20:33:00,4,8,11,11,6,6,7,6
35,2014-02-27 19:35:00,2014-02-27 20:34:00,4,8,11,11,6,6,8,7
36,2014-02-27 19:36:00,2014-02-27 20:35:00,5,8,11,11,6,6,8,7
37,2014-02-27 19:37:00,2014-02-27 20:36:00,5,1,11,11,6,6,9,7
38,2014-02-27 19:38:00,2014-02-27 20:37:00,4,7,11,11,1,1,9,7
39,2014-02-27 19:39:00,2014-02-27 20:38:00,4,7,1,1,1,1,1,1
40,2014-02-27 19:40:00,2014-02-27 20:39:00,4,8,1,1,1,1,1,1
41,2014-02-27 19:41:00,2014-02-27 20:40:00,4,8,1,1,1,1,1,1
42,2014-02-27 19:42:00,2014-02-27 20:41:00,4,8,1,1,1,1,1,1
43,2014-02-27 19:43:00,2014-02-27 20:42:00,4,8,1,1,1,1,1,1
44,2014-02-27 19:44:00,2014-02-27 20:43:00,4,7,1,1,1,1,1,1
45,2014-02-27 19:45:00,2014-02-27 20:44:00,4,7,1,1,2,1,2,1
46,2014-02-27 19:46:00,2014-02-27 20:45:00,4,6,1,1,2,2,2,2
47,2014-02-27 19:47:00,2014-02-27 20:46:00,5,3,2,2,3,3,3,3
48,2014-02-27 19:48:00,2014-02-27 20:47:00,5,4,3,3,4,4,4,4
49,2014-02-27 19:49:00,2014-02-27 20:48:00,5,5,4,4,4,4,4,4
50,2014-02-27 19:50:00,2014-02-27 20:49:00,5,5,5,5,5,5,5,5
51,2014-02-27 19:51:00,2014-02-27 20:50:00,6,6,5,5,5,6,6,6
52,2014-02-27 19:52:00,2014-02-27 20:51:00,6,6,6,6,6,6,6,6
53,2014-02-27 19:53:00,2014-02-27 20:52:00,6,6,7,7,7,7,7,7
54,2014-02-27 19:54:00,2014-02-27 20:53:00,6,7,8,8,7,7,8,7
55,2014-02-27 19:55:00,2014-02-27 20:54:00,7,7,9,9,8,8,8,8
56,2014-02-27 19:56:00,2014-02-27 20:55:00,7,7,9,9,9,9,9,9
57,2014-02-27 19:57:00,2014-02-27 20:56:00,8,8,10,10,10,10,10,10
58,2014-02-27 19:58:00,2014-02-27 20:57:00,9,9,11,11,11,11,11,11
59,2014-02-27 19:59:00,2014-02-27 20:58:00,9,10,12,12,11,11,12,11
60,2014-02-27 20:00:00,2014-02-27 20:59:00,10,10,13,13,12,12,12,12
61,2014-02-27 20:01:00,2014-02-27 21:00:00,10,11,14,14,13,13,13,13
62,2014-02-27 20:02:00,2014-02-27 21:01:00,10,10,15,15,14,14,14,14
63,2014-02-27 20:03:00,2014-02-27 21:02:00,9,9,16,16,14,14,15,15
64,2014-02-27 20:04:00,2014-02-27 21:03:00,9,9,18,18,15,15,16,16
65,2014-02-27 20:05:00,2014-02-27 21:04:00,9,9,19,19,16,16,17,16
66,2014-02-27 20:06:00,2014-02-27 21:05:00,9,9,20,20,17,18,19,18
67,2014-02-27 20:07:00,2014-02-27 21:06:00,9,9,21,21,19,19,20,19
68,2014-02-27 20:08:00,2014-02-27 21:07:00,10,10,22,22,20,20,20,20
69,2014-02-27 20:09:00,2014-02-27 21:08:00,10,10,23,23,21,21,21,21
70,2014-02-27 20:10:00,2014-02-27 21:09:00,10,10,24,24,22,22,22,22
71,2014-02-27 20:11:00,2014-02-27 21:10:00,10,10,24,24,24,24,24,24
72,2014-02-27 20:12:00,2014-02-27 21:11:00,10,10,25,25,28,28,27,28
73,2014-02-27 20:13:00,2014-02-27 21:12:00,10,10,27,27,29,29,29,29
74,2014-02-27 20:14:00,2014-02-27 21:13:00,10,10,29,29,30,30,30,30
75,2014-02-27 20:15:00,2014-02-27 21:14:00,10,10,30,30,30,30,30,30
76,2014-02-27 20:16:00,2014-02-27 21:15:00,10,10,30,30,30,30,30,30
77,2014-02-27 20:17:00,2014-02-27 21:16:00,10,10,30,30,30,30,30,30
78,2014-02-27 20:18:00,2014-02-27 21:17:00,11,10,30,30,30,30,30,30
79,2014-02-27 20:19:00,2014-02-27 21:18:00,11,11,30,30,30,30,30,30
80,2014-02-27 20:20:00,2014-02-27 21:19:00,11,11,30,30,30,30,30,30
81,2014-02-27 20:21:00,2014-02-27 21:20:00,11,11,30,30,30,30,30,30
82,2014-02-27 20:22:00,2014-02-27 21:21:00,11,11,30,30,30,30,30,30
83,2014-02-27 20:23:00,2014-02-27 21:22:00,11,11,30,30,30,30,30,30
84,2014-02-27 20:24:00,2014-02-27 21:23:00,11,11,30,30,30,30,30,30
85,2014-02-27 20:25:00,2014-02-27 21:24:00,11,11,30,30,30,30,30,30
