,Start,Stop,Pearson,Slope,MAPE,Ratio,RMSE,RMSE_Artemis,RMSE_Omni,RMSE_Avg
0,2019-11-27 13:30:00,2019-11-27 14:29:00,25,1,1,1,1,1,1,1
1,2019-11-27 13:31:00,2019-11-27 14:30:00,25,15,1,1,1,1,1,1
2,2019-11-27 13:32:00,2019-11-27 14:31:00,25,5,1,1,1,1,1,1
3,2019-11-27 13:33:00,2019-11-27 14:32:00,30,5,1,1,1,1,1,1
4,2019-11-27 13:34:00,2019-11-27 14:33:00,18,13,1,1,1,1,1,1
5,2019-11-27 13:35:00,2019-11-27 14:34:00,18,13,1,1,1,1,1,1
6,2019-11-27 13:36:00,2019-11-27 14:35:00,18,13,1,1,1,1,1,1
7,2019-11-27 13:37:00,2019-11-27 14:36:00,19,13,1,1,1,1,1,1
8,2019-11-27 13:38:00,2019-11-27 14:37:00,19,25,1,1,1,1,1,1
9,2019-11-27 13:39:00,2019-11-27 14:38:00,19,24,1,1,1,1,1,1
10,2019-11-27 13:40:00,2019-11-27 14:39:00,19,5,1,1,1,1,1,1
11,2019-11-27 13:41:00,2019-11-27 14:40:00,19,4,1,1,1,1,1,1
12,2019-11-27 13:42:00,2019-11-27 14:41:00,18,14,2,2,1,1,1,1
13,2019-11-27 13:43:00,2019-11-27 14:42:00,18,14,3,3,1,2,1,1
14,2019-11-27 13:44:00,2019-11-27 14:43:00,18,15,4,4,1,3,1,1
15,2019-11-27 13:45:00,2019-11-27 14:44:00,18,16,5,5,1,1,1,1
16,2019-11-27 13:46:00,2019-11-27 14:45:00,18,1,6,6,1,1,1,1
17,2019-11-27 13:47:00,2019-11-27 14:46:00,18,18,1,1,1,1,1,1
18,2019-11-27 13:48:00,2019-11-27 14:47:00,18,18,1,1,1,1,1,1
19,2019-11-27 13:49:00,2019-11-27 14:48:00,18,18,1,1,1,1,1,1
20,2019-11-27 13:50:00,2019-11-27 14:49:00,18,18,1,1,1,1,1,1
21,2019-11-27 13:51:00,2019-11-27 14:50:00,18,18,1,1,1,1,1,1
22,2019-11-27 13:52:00,2019-11-27 14:51:00,18,18,1,1,1,1,1,1
23,2019-11-27 13:53:00,2019-11-27 14:52:00,18,18,1,1,1,1,1,1
24,2019-11-27 13:54:00,2019-11-27 14:53:00,17,17,1,1,1,1,1,1
25,2019-11-27 13:55:00,2019-11-27 14:54:00,17,17,1,1,1,1,1,1
26,2019-11-27 13:56:00,2019-11-27 14:55:00,14,14,2,2,2,2,3,2
27,2019-11-27 13:57:00,2019-11-27 14:56:00,15,15,3,3,3,3,4,3
28,2019-11-27 13:58:00,2019-11-27 14:57:00,15,15,4,4,4,4,5,4
29,2019-11-27 13:59:00,2019-11-27 14:58:00,15,15,4,4,5,5,6,5
30,2019-11-27 14:00:00,2019-11-27 14:59:00,15,15,5,5,6,6,7,6
31,2019-11-27 14:01:00,2019-11-27 15:00:00,15,15,6,6,7,7,8,7
32,2019-11-27 14:02:00,2019-11-27 15:01:00,15,15,8,8,8,8,9,8
33,2019-11-27 14:03:00,2019-11-27 15:02:00,14,14,9,9,9,9,10,9
34,2019-11-27 14:04:00,2019-11-27 15:03:00,14,14,10,10,10,10,11,10
35,2019-11-27 14:05:00,2019-11-27 15:04:00,14,14,11,11,11,11,12,11
36,2019-11-27 14:06:00,2019-11-27 15:05:00,15,14,12,12,12,12,13,12
37,2019-11-27 14:07:00,2019-11-27 15:06:00,15,15,13,13,13,13,14,13
38,2019-11-27 14:08:00,2019-11-27 15:07:00,15,15,14,14,14,14,15,14
39,2019-11-27 14:09:00,2019-11-27 15:08:00,15,15,15,15,15,15,15,15
40,2019-11-27 14:10:00,2019-11-27 15:09:00,30,30,16,16,16,16,16,16
41,2019-11-27 14:11:00,2019-11-27 15:10:00,15,16,17,17,17,17,17,17
42,2019-11-27 14:12:00,2019-11-27 15:11:00,15,30,18,18,18,18,18,18
43,2019-11-27 14:13:00,2019-11-27 15:12:00,15,30,20,20,19,19,18,19
44,2019-11-27 14:14:00,2019-11-27 15:13:00,15,30,21,21,20,20,19,20
45,2019-11-27 14:15:00,2019-11-27 15:14:00,15,30,21,21,21,21,20,21
46,2019-11-27 14:16:00,2019-11-27 15:15:00,15,30,22,22,22,22,23,22
47,2019-11-27 14:17:00,2019-11-27 15:16:00,30,30,23,23,23,23,24,23
48,2019-11-27 14:18:00,2019-11-27 15:17:00,15,30,24,24,24,24,25,24
49,2019-11-27 14:19:00,2019-11-27 15:18:00,15,30,25,25,25,25,25,25
50,2019-11-27 14:20:00,2019-11-27 15:19:00,15,30,26,26,26,26,26,26
51,2019-11-27 14:21:00,2019-11-27 15:20:00,24,25,28,28,27,27,27,27
52,2019-11-27 14:22:00,2019-11-27 15:21:00,25,26,29,29,28,28,27,28
53,2019-11-27 14:23:00,2019-11-27 15:22:00,25,27,30,30,28,29,28,28
54,2019-11-27 14:24:00,2019-11-27 15:23:00,25,28,30,30,29,30,29,29
55,2019-11-27 14:25:00,2019-11-27 15:24:00,25,25,30,30,30,30,30,30
56,2019-11-27 14:26:00,2019-11-27 15:25:00,25,25,30,30,30,30,30,30
57,2019-11-27 14:27:00,2019-11-27 15:26:00,25,25,30,30,30,30,30,30
58,2019-11-27 14:28:00,2019-11-27 15:27:00,25,25,30,30,30,30,30,30
59,2019-11-27 14:29:00,2019-11-27 15:28:00,25,25,30,30,30,30,30,30
60,2019-11-27 14:30:00,2019-11-27 15:29:00,25,25,30,30,30,30,30,30
61,2019-11-27 14:31:00,2019-11-27 15:30:00,25,25,30,30,30,30,30,30
62,2019-11-27 14:32:00,2019-11-27 15:31:00,25,25,30,30,30,30,30,30
63,2019-11-27 14:33:00,2019-11-27 15:32:00,25,25,30,30,30,30,30,30
64,2019-11-27 14:34:00,2019-11-27 15:33:00,25,26,30,30,30,30,30,30
65,2019-11-27 14:35:00,2019-11-27 15:34:00,25,27,30,30,30,30,30,30
66,2019-11-27 14:36:00,2019-11-27 15:35:00,26,29,30,30,30,30,30,30
67,2019-11-27 14:37:00,2019-11-27 15:36:00,25,30,30,30,30,30,30,30
68,2019-11-27 14:38:00,2019-11-27 15:37:00,25,29,30,30,30,30,30,30
69,2019-11-27 14:39:00,2019-11-27 15:38:00,25,30,30,30,30,30,30,30
70,2019-11-27 14:40:00,2019-11-27 15:39:00,25,30,30,30,30,30,30,30
71,2019-11-27 14:41:00,2019-11-27 15:40:00,25,25,30,30,30,30,30,30
72,2019-11-27 14:42:00,2019-11-27 15:41:00,25,25,30,30,30,30,30,30
73,2019-11-27 14:43:00,2019-11-27 15:42:00,25,25,30,30,30,30,30,30
74,2019-11-27 14:44:00,2019-11-27 15:43:00,25,25,30,30,30,30,30,30
75,2019-11-27 14:45:00,2019-11-27 15:44:00,26,25,30,30,30,30,30,30
76,2019-11-27 14:46:00,2019-11-27 15:45:00,25,25,30,30,30,30,30,30
77,2019-11-27 14:47:00,2019-11-27 15:46:00,25,25,30,30,30,30,30,30
78,2019-11-27 14:48:00,2019-11-27 15:47:00,25,25,30,30,30,30,30,30
79,2019-11-27 14:49:00,2019-11-27 15:48:00,25,25,30,30,30,30,30,30
80,2019-11-27 14:50:00,2019-11-27 15:49:00,25,25,30,30,30,30,30,30
81,2019-11-27 14:51:00,2019-11-27 15:50:00,25,25,30,30,30,30,30,30
82,2019-11-27 14:52:00,2019-11-27 15:51:00,25,25,30,30,30,30,30,30
83,2019-11-27 14:53:00,2019-11-27 15:52:00,25,25,30,30,30,30,30,30
84,2019-11-27 14:54:00,2019-11-27 15:53:00,25,25,30,30,30,30,30,30
85,2019-11-27 14:55:00,2019-11-27 15:54:00,25,25,30,30,30,30,30,30
86,2019-11-27 14:56:00,2019-11-27 15:55:00,26,25,30,30,30,30,30,30
87,2019-11-27 14:57:00,2019-11-27 15:56:00,26,25,30,30,30,30,30,30
88,2019-11-27 14:58:00,2019-11-27 15:57:00,26,25,30,30,30,30,30,30
89,2019-11-27 14:59:00,2019-11-27 15:58:00,26,25,30,30,30,30,30,30
90,2019-11-27 15:00:00,2019-11-27 15:59:00,26,25,30,30,30,30,30,30
91,2019-11-27 15:01:00,2019-11-27 16:00:00,26,25,30,30,30,30,30,30
92,2019-11-27 15:02:00,2019-11-27 16:01:00,26,26,30,30,30,30,30,30
93,2019-11-27 15:03:00,2019-11-27 16:02:00,26,27,30,30,30,30,30,30
94,2019-11-27 15:04:00,2019-11-27 16:03:00,30,28,30,30,30,30,30,30
95,2019-11-27 15:05:00,2019-11-27 16:04:00,30,30,30,30,30,30,30,30
96,2019-11-27 15:06:00,2019-11-27 16:05:00,30,30,30,30,30,30,30,30
97,2019-11-27 15:07:00,2019-11-27 16:06:00,30,30,30,30,30,30,30,30
98,2019-11-27 15:08:00,2019-11-27 16:07:00,30,30,30,30,30,30,30,30
99,2019-11-27 15:09:00,2019-11-27 16:08:00,25,30,30,30,30,30,30,30
100,2019-11-27 15:10:00,2019-11-27 16:09:00,25,25,30,30,30,30,30,30
101,2019-11-27 15:11:00,2019-11-27 16:10:00,25,25,30,30,30,30,30,30
102,2019-11-27 15:12:00,2019-11-27 16:11:00,25,25,30,30,30,30,30,30
103,2019-11-27 15:13:00,2019-11-27 16:12:00,25,25,30,30,30,30,30,30
104,2019-11-27 15:14:00,2019-11-27 16:13:00,25,25,30,30,30,30,30,30
105,2019-11-27 15:15:00,2019-11-27 16:14:00,25,3,30,30,30,30,30,30
106,2019-11-27 15:16:00,2019-11-27 16:15:00,3,3,30,30,30,30,30,30
107,2019-11-27 15:17:00,2019-11-27 16:16:00,3,3,30,30,1,30,1,30
108,2019-11-27 15:18:00,2019-11-27 16:17:00,3,3,30,30,1,30,3,1
109,2019-11-27 15:19:00,2019-11-27 16:18:00,3,3,30,30,1,1,3,1
110,2019-11-27 15:20:00,2019-11-27 16:19:00,3,3,1,1,1,1,3,1
111,2019-11-27 15:21:00,2019-11-27 16:20:00,3,3,1,1,1,1,3,1
112,2019-11-27 15:22:00,2019-11-27 16:21:00,3,3,1,1,1,1,1,1
113,2019-11-27 15:23:00,2019-11-27 16:22:00,3,3,1,1,1,1,3,1
114,2019-11-27 15:24:00,2019-11-27 16:23:00,3,3,1,1,1,1,3,1
115,2019-11-27 15:25:00,2019-11-27 16:24:00,3,3,1,1,1,1,3,1
116,2019-11-27 15:26:00,2019-11-27 16:25:00,3,3,1,1,1,1,3,1
117,2019-11-27 15:27:00,2019-11-27 16:26:00,3,3,1,1,1,1,3,1
118,2019-11-27 15:28:00,2019-11-27 16:27:00,3,3,1,1,1,1,3,1
119,2019-11-27 15:29:00,2019-11-27 16:28:00,3,3,1,1,1,1,3,1
120,2019-11-27 15:30:00,2019-11-27 16:29:00,3,3,1,1,1,1,3,1
121,2019-11-27 15:31:00,2019-11-27 16:30:00,3,3,1,1,1,1,3,1
122,2019-11-27 15:32:00,2019-11-27 16:31:00,3,3,1,1,1,1,3,1
123,2019-11-27 15:33:00,2019-11-27 16:32:00,3,3,1,1,1,1,3,1
124,2019-11-27 15:34:00,2019-11-27 16:33:00,3,3,1,1,1,1,3,1
125,2019-11-27 15:35:00,2019-11-27 16:34:00,3,3,1,1,3,1,3,1
126,2019-11-27 15:36:00,2019-11-27 16:35:00,3,4,1,1,1,1,3,1
127,2019-11-27 15:37:00,2019-11-27 16:36:00,4,17,1,1,1,1,1,1
128,2019-11-27 15:38:00,2019-11-27 16:37:00,4,17,1,1,1,1,1,1
129,2019-11-27 15:39:00,2019-11-27 16:38:00,16,1,1,1,1,1,1,1
130,2019-11-27 15:40:00,2019-11-27 16:39:00,17,1,1,1,1,1,1,1
131,2019-11-27 15:41:00,2019-11-27 16:40:00,17,1,1,1,1,1,1,1
132,2019-11-27 15:42:00,2019-11-27 16:41:00,17,1,1,1,1,1,1,1
133,2019-11-27 15:43:00,2019-11-27 16:42:00,17,2,1,1,1,1,1,1
134,2019-11-27 15:44:00,2019-11-27 16:43:00,4,3,1,1,1,1,1,1
